"Time [s]","Process load","System load"
0.0,0,0
1.0,23.26,35.34
2.0,24.43,31.57
3.01,25.38,31.61
4.01,20.92,34.3
5.01,15.98,30.27
6.02,15.82,30.08
7.02,21.96,35.08
8.02,19.97,25.93
9.03,16.63,34.3
10.03,23.62,36.09
11.03,14.53,20.38
12.04,8.83,15.72
13.04,7.91,10.63
14.04,8.56,19.86
15.05,9.33,16.46
16.05,8.98,13.78
17.05,8.43,15.57
18.06,8.43,15.95
19.06,9.62,15.47
20.06,8.83,15.57
21.07,11.13,17.88
22.07,12.21,17.02
23.07,19.53,32.15
24.08,71.06,89.74
25.08,53.61,79.32
26.08,24.41,36.09
27.09,0.78,5.58
28.09,7.67,17.29
29.09,20.17,33.59
30.09,25.08,32.36
31.09,14.14,25.7
32.1,17.91,24.65
33.1,17.7,32.81
34.1,10.88,26.04
35.11,13.63,28.29
36.11,10.13,30.56
37.11,9.21,27.62
38.12,14.43,24.05
39.12,14.32,23.83
40.12,15.85,23.77
41.12,12.06,18.55
42.13,11.29,20.38
43.13,9.87,15.59
44.13,10.25,18.95
45.14,9.34,16.09
46.14,11.82,14.82
47.14,14.51,27.71
48.15,9.97,25.39
49.15,10.39,26.24
50.16,8.82,21.53
51.16,8.71,20.02
52.16,9.6,21.29
53.16,11.17,23.91
54.17,8.81,19.06
55.17,8.32,18.59
56.17,8.84,45.6
57.17,8.72,23.7
58.18,26.06,42.92
59.18,27.44,34.2
60.18,23.21,29.69
61.19,25.59,37.42
62.19,31.93,37.13
63.19,28.04,35.18
64.2,29.46,39.84
65.2,28.94,32.07
66.2,30.73,40.2
81.82,8.98,14.92
