"Name","Instance Count","Size (bytes)"
"byte[]",637655,206053048
"java.lang.Object[]",525105,31041712
"java.util.ArrayList",502458,12058992
"java.lang.Integer",205306,3284896
"java.util.Arrays$ArrayList",190832,4579968
"java.util.HashMap$Node",121482,3887424
"java.lang.String",95133,2283192
"org.apache.commons.compress.harmony.unpack200.bytecode.ClassFileEntry[]",75669,1839792
"int[]",66543,89447648
"org.apache.commons.compress.harmony.unpack200.bytecode.ByteCode",54025,2161000
"java.lang.StringBuilder",44007,1056168
"java.util.ArrayList$Itr",39385,1260320
"java.util.TreeMap$Entry",33642,1345680
"java.util.LinkedHashMap$Entry",27738,1109520
"jdk.internal.loader.AbstractClassLoaderValue$Sub",24710,593040
"int[][]",22806,619664
"java.util.Optional",21733,347728
"org.apache.commons.compress.harmony.unpack200.CpBands$$Lambda.0x0000000034535b88",19066,457584
"java.util.stream.ReferencePipeline$Head",18811,1053416
"java.util.LinkedHashMap$LinkedEntryIterator",15600,499200
"char[]",15446,3171368
"org.apache.commons.compress.harmony.unpack200.CpBands$$Lambda.0x0000000034535dc8",13834,332016
"org.objectweb.asm.Label",11625,651000
"org.apache.commons.compress.harmony.unpack200.bytecode.CPMethodRef",10244,491712
"org.apache.commons.compress.harmony.unpack200.CpBands$$Lambda.0x000000003452f400",9611,153776
"java.util.ArrayList$ArrayListSpliterator",8996,287872
"java.util.stream.ReferencePipeline$3$1",8360,200640
"java.util.stream.ReferencePipeline$3",8326,466256
"java.util.HashMap$Node[]",7663,1833584
"java.util.stream.ReferencePipeline$2$1",6879,165096
"java.util.Formatter$FixedString",6855,164520
"java.util.stream.ReferencePipeline$2",6800,380800
"org.apache.commons.compress.harmony.unpack200.bytecode.CPUTF8[]",6082,223888
"java.util.LinkedHashMap",5633,360512
"org.apache.commons.compress.harmony.unpack200.bytecode.CPUTF8",5507,176224
"java.lang.String[]",5426,341336
"java.util.stream.Collectors$CollectorImpl",4833,154656
"java.util.stream.MatchOps$$Lambda.0x0000000034175d38",4426,106224
"java.util.stream.MatchOps$1MatchSink",4380,105120
"java.util.HashMap",4311,206928
"java.util.stream.MatchOps$MatchOp",4304,103296
"org.apache.maven.surefire.junitplatform.RunListenerAdapter$$Lambda.0x0000000034290fc0",4168,66688
"java.util.stream.ReduceOps$3",4154,132928
"java.util.stream.ReduceOps$3ReducingSink",4154,132928
