"Time [s]","Process load","System load"
0.0,0,0
1.01,22.36,27.96
2.01,24.61,34.59
3.01,23.33,31.25
4.02,19.47,28.29
5.02,16.73,35.92
6.03,13.09,23.33
7.03,21.5,31.35
8.04,23.12,32.09
9.04,14.58,20.44
10.04,18.97,35.99
11.04,17.65,21.16
12.04,9.63,15.75
13.05,8.16,15.54
14.05,8.54,10.48
15.06,8.69,16.08
16.06,8.68,12.95
17.07,8.3,14.15
18.07,8.44,16.77
19.07,8.84,10.91
20.07,8.85,15.23
21.07,9.88,15.46
22.08,10.49,14.78
23.08,16.39,28.09
24.08,39.55,57.71
25.09,56.37,77.99
26.09,56.02,70.55
27.09,2.47,9.48
28.09,0.52,6.36
29.09,10.54,20.96
30.1,18.58,31.31
31.1,25.7,35.83
32.1,14.52,23.08
33.11,17.74,25
34.11,15.32,22.59
35.11,13.13,28.09
36.12,13.39,23.4
37.12,10.55,26.69
38.12,9.48,31.44
39.12,11.54,21.94
40.12,13.54,23.56
41.13,14.16,23.91
42.13,12.2,20.38
43.14,10.76,18.02
44.14,9.33,15.17
45.14,11.58,22.89
46.14,8.44,14.82
47.15,12.32,17.37
48.15,11.26,22.54
49.16,10.25,20.51
50.16,8.31,20.14
51.16,11.18,26.4
52.17,9.08,17.63
53.17,9.73,22.84
54.17,10.39,22.6
55.18,9.72,19.06
56.18,9.08,22.33
57.18,8.95,16.72
58.19,8.3,22.84
59.19,15.35,33.85
60.19,28.77,39.05
61.19,25.89,38.37
62.2,22.17,29.95
63.2,27.2,36.85
64.2,28.59,35.99
65.2,30.66,34.83
66.21,27.1,39.29
67.21,23.8,31.61
68.21,20.64,37.9
83.32,8.29,16.37
