"Time [s]","Committed size","Free size","Used size"
0.0,258048000,249364000,8684000
1.0,258048000,238170000,19878000
2.01,258048000,215489000,42559000
3.01,143360000,84415000,58945000
4.01,143360000,56380000,86980000
5.01,143360000,122576000,20784000
6.02,186368000,57769000,128599000
7.02,944128000,529520000,414608000
8.02,944128000,584377000,359751000
9.02,944128000,448185000,495943000
10.03,944128000,383673000,560455000
11.03,944128000,336569000,607559000
12.03,944128000,663219000,280909000
13.04,944128000,550579000,393549000
14.04,944128000,399027000,545101000
15.05,944128000,245427000,698701000
16.05,944128000,91827000,852301000
17.05,944128000,498670000,445458000
18.05,944128000,345070000,599058000
19.06,944128000,616807000,327321000
20.06,944128000,446822000,497306000
21.06,944128000,344422000,599706000
22.07,944128000,720663000,223465000
23.07,944128000,721150000,222978000
24.08,1409024000,873273000,535751000
25.08,2095104000,1153500000,941604000
26.08,2095104000,758719000,1336385000
27.09,2095104000,381887000,1713217000
28.09,2095104000,982337000,1112767000
29.09,2095104000,979601000,1115503000
30.1,2095104000,978577000,1116527000
31.1,2095104000,944785000,1150319000
32.1,55296000,29934000,25362000
33.11,157696000,125100000,32596000
34.11,194560000,70130000,124430000
35.11,194560000,109651000,84909000
36.11,194560000,164699000,29861000
37.12,301056000,103827000,197229000
38.12,301056000,64922000,236134000
39.12,301056000,31130000,269926000
40.13,307200000,274851000,32349000
41.13,307200000,236970000,70230000
42.13,307200000,205224000,101976000
43.13,307200000,141294000,165906000
44.14,307200000,163311000,143889000
45.14,307200000,134543000,172657000
46.14,307200000,221930000,85270000
47.15,307200000,241916000,65284000
48.15,307200000,178182000,129018000
49.15,1198080000,32571000,1165509000
50.15,1202176000,598987000,603189000
51.15,2299904000,18902000,2281002000
52.16,3291136000,16611000,3274525000
53.16,3594240000,616413000,2977827000
54.16,3594240000,540686000,3053554000
55.16,3594240000,445454000,3148786000
56.16,3594240000,359438000,3234802000
57.16,3594240000,279566000,3314674000
58.17,3594240000,190478000,3403762000
59.17,3594240000,126990000,3467250000
60.17,3594240000,74766000,3519474000
61.18,3594240000,19470000,3574770000
62.18,3889152000,3282070000,607082000
63.18,3889152000,3233989000,655163000
64.18,3889152000,3211202000,677950000
65.19,3889152000,3209413000,679739000
66.19,3889152000,3158213000,730939000
67.19,3889152000,3051717000,837435000
68.2,3889152000,2860229000,1028923000
69.2,3889152000,2757829000,1131323000
70.2,3889152000,2626757000,1262395000
71.21,3889152000,2482373000,1406779000
72.21,3889152000,2343109000,1546043000
73.22,3889152000,2242757000,1646395000
74.22,3889152000,2159813000,1729339000
75.22,3889152000,2072773000,1816379000
76.23,3889152000,2010309000,1878843000
87.49,3889152000,1946821000,1942331000
