"Name","Instance Count","Size (bytes)"
"byte[]",20135,1065672
"java.lang.String",10302,247248
"java.lang.StringBuilder",6556,157344
"java.util.stream.ReferencePipeline$Head",3878,217168
"java.util.concurrent.ConcurrentHashMap$Node",2842,90944
"java.util.ArrayList$ArrayListSpliterator",2732,87424
"java.util.Optional",2367,37872
"java.util.stream.MatchOps$$Lambda.0x00000000bb175f80",2281,54744
"java.lang.Object[]",2280,79880
"java.util.stream.MatchOps$1MatchSink",2260,54240
"java.util.stream.MatchOps$MatchOp",2225,53400
"jdk.internal.loader.AbstractClassLoaderValue$Sub",2127,51048
"java.util.LinkedHashMap$LinkedEntryIterator",1755,56160
"java.util.ArrayList",1543,37032
"java.util.HashMap$Node",1458,46656
"java.util.LinkedHashMap$Entry",1410,56400
"java.nio.HeapByteBuffer",1399,78344
"java.util.LinkedHashMap",1120,71680
"java.util.stream.ReferencePipeline$3",1023,57288
"java.util.stream.ReferencePipeline$3$1",965,23160
"java.lang.Object",769,12304
"int[]",733,57328
"java.util.stream.ReferencePipeline$2",732,40992
"java.lang.Class[]",707,17400
"java.util.stream.ReferencePipeline$2$1",707,16968
"java.util.LinkedHashSet",669,10704
"java.lang.ref.SoftReference",605,24200
"java.lang.Long",571,13704
"java.lang.String[]",562,20512
"java.util.stream.Collectors$CollectorImpl",555,17760
"java.util.HashMap$Node[]",526,46456
"java.util.stream.ReduceOps$3ReducingSink",511,16352
"java.util.LinkedHashMap$LinkedKeySet",504,12096
"java.util.stream.ReduceOps$3",489,15648
"org.junit.platform.launcher.TestIdentifier",466,18640
"org.junit.platform.engine.UniqueId",447,14304
"java.nio.StringCharBuffer",434,24304
"org.apache.maven.surefire.junitplatform.RunListenerAdapter$$Lambda.0x00000000bb291cf8",431,6896
"org.apache.maven.surefire.junitplatform.RunListenerAdapter$$Lambda.0x00000000bb291ab8",430,6880
"org.apache.maven.surefire.api.util.internal.ClassMethod",429,10296
"java.lang.Class",419,134080
"org.junit.platform.engine.support.descriptor.MethodSource",400,12800
"org.junit.platform.engine.UniqueId$Segment",384,9216
"java.lang.invoke.BoundMethodHandle$Species_LL",377,15080
"java.lang.reflect.Method",369,32472
"java.util.ArrayList$Itr",365,11680
"java.util.stream.Streams$StreamBuilderImpl",349,8376
"java.util.Collections$UnmodifiableCollection$1",348,8352
"java.lang.invoke.MethodType",343,13720
"java.util.stream.Streams$2",343,8232
"java.math.MutableBigInteger",334,8016
"java.util.stream.Streams$ConcatSpliterator$OfRef",323,7752
"java.util.HashMap",312,14976
"java.util.Collections$UnmodifiableSet",295,4720
"jdk.internal.util.WeakReferenceKey",293,9376
"java.lang.invoke.DirectMethodHandle",290,11600
"java.util.Collections$UnmodifiableRandomAccessList",268,6432
"org.junit.jupiter.engine.extension.MutableExtensionRegistry$$Lambda.0x00000000bb28c190",263,4208
"java.util.LinkedHashMap$LinkedKeyIterator",258,8256
"org.junit.jupiter.engine.extension.MutableExtensionRegistry$$Lambda.0x00000000bb28bf40",241,3856
"java.util.HashSet",237,3792
"java.util.Collections$SynchronizedSet",234,5616
"sun.util.locale.LocaleObjectCache$CacheEntry",223,8920
"java.lang.reflect.Parameter[]",208,3568
"java.util.LinkedHashMap$LinkedEntrySet",204,4896
"sun.reflect.annotation.AnnotationInvocationHandler",202,4848
"java.util.Spliterators$ArraySpliterator",196,7840
"java.util.regex.Pattern$BmpCharProperty",196,4704
"java.lang.reflect.Field[]",188,3208
"org.junit.jupiter.engine.descriptor.MethodBasedTestDescriptor$MethodInfo",185,5920
"jdk.internal.reflect.DirectMethodHandleAccessor",182,5824
"java.lang.annotation.Annotation[]",178,2848
"org.junit.jupiter.engine.descriptor.TestMethodTestDescriptor",176,8448
"java.util.LinkedHashMap$LinkedValues",169,4056
"java.lang.reflect.Executable$ParameterData",166,3984
"jdk.proxy2.$Proxy14",161,2576
"java.lang.invoke.DirectMethodHandle$Constructor",157,7536
"java.lang.reflect.Method[]",157,7528
"java.util.TreeMap$Entry",155,6200
"java.util.stream.Nodes$SpinedNodeBuilder",147,5880
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",144,8064
"org.junit.jupiter.engine.execution.NamespaceAwareStore",142,3408
