"Time [s]","Process load","System load"
0.0,0,0
1.0,20.83,27.85
2.0,22.09,26.63
3.0,19.89,26.67
4.0,24.27,34.13
5.01,13.78,18.86
6.01,14.28,25.96
7.01,17.43,28.22
8.01,21.46,24.58
9.01,16.5,28.06
10.02,12.08,27.39
11.02,20.89,28.04
12.02,13.12,20.14
13.02,8.85,14.97
14.02,8.59,12.1
15.03,8.16,10.37
16.03,8.59,13.66
17.03,8.18,13.12
18.04,8.55,11.27
19.04,8.82,17.24
20.04,8.59,14.45
21.04,10.28,12.5
22.04,10.41,15.35
23.05,12.97,19.84
24.05,13.38,18.45
25.05,55.93,68.8
26.06,54.98,74.05
27.06,33.16,41.23
28.06,0.52,5.98
29.06,2.59,10.52
30.06,14.17,23.51
31.07,19.07,27.9
32.07,22.91,30.85
33.07,15.21,20.66
34.08,17.5,22.69
35.08,21.71,31.21
36.08,14.97,27.47
37.08,9.47,17.24
38.08,10.79,21.2
39.09,7.92,19.75
40.09,10.28,26.69
41.09,11.93,25.54
42.1,12.45,18.67
43.1,14.05,19.4
44.1,14.28,22.46
45.1,10.51,16.35
46.11,10.88,14.52
47.11,14.02,24.15
48.11,7.93,15.34
49.12,9.73,12.2
50.12,10.92,18.33
51.12,10.65,19.88
52.13,9.32,17.74
53.13,8.82,18.8
54.13,9.88,21.71
55.13,9.24,26.28
56.14,8.41,21.24
57.14,8.71,18.98
58.14,13.01,21.47
59.14,9.76,18.75
60.14,10.8,22.25
61.15,8.17,15.3
62.15,8.55,21.27
63.16,9.08,31.64
64.16,11.26,30.44
65.16,28.98,35.47
66.17,33.68,42.92
67.17,23.09,28.01
68.17,27.05,32.65
69.17,28.64,37.1
70.18,30.56,33.81
71.18,30.14,37.69
72.18,29.44,39.16
73.19,27,31.28
74.19,21.48,30.73
85.18,8.53,13.04
