"Name","Instance Count","Size (bytes)"
"byte[]",706524,264234032
"java.lang.Object[]",562311,32188568
"java.util.ArrayList",526320,12631680
"java.lang.Integer",206938,3311008
"java.util.Arrays$ArrayList",190413,4569912
"java.lang.String",137130,3291120
"java.util.HashMap$Node",125888,4028416
"java.util.LinkedHashMap$Entry",114469,4578760
"org.apache.commons.compress.harmony.unpack200.bytecode.ClassFileEntry[]",76479,1859240
"int[]",73735,761844432
"java.lang.StringBuilder",58375,1401000
"jdk.internal.loader.AbstractClassLoaderValue$Sub",54620,1310880
"org.apache.commons.compress.harmony.unpack200.bytecode.ByteCode",54066,2162640
"java.util.ArrayList$Itr",48631,1556192
"java.util.Optional",35948,575168
"java.util.TreeMap$Entry",33550,1342000
"java.util.stream.ReferencePipeline$Head",28541,1598296
"java.util.LinkedHashMap$LinkedEntryIterator",25820,826240
"int[][]",22807,617352
"org.apache.commons.compress.harmony.unpack200.CpBands$$Lambda.0x00000000095571b0",18956,454944
"char[]",18918,4155808
"java.util.HashMap$Node[]",18545,2656184
"java.util.LinkedHashMap",16194,1036416
"java.util.stream.ReferencePipeline$3",13794,772464
"java.util.stream.ReferencePipeline$3$1",13793,331032
"org.apache.commons.compress.harmony.unpack200.CpBands$$Lambda.0x00000000095573f0",13689,328536
"java.lang.Class[]",13199,315928
"java.util.ArrayList$ArrayListSpliterator",13072,418304
"java.util.stream.ReferencePipeline$2$1",11978,287472
"java.util.stream.ReferencePipeline$2",11742,657552
"org.objectweb.asm.Label",11670,653520
"java.lang.reflect.Method",11523,1014024
"java.util.HashMap$EntryIterator",11084,354688
"sun.reflect.annotation.AnnotationInvocationHandler",11078,265872
"sun.reflect.generics.tree.ClassTypeSignature",11045,176720
"sun.reflect.generics.tree.SimpleClassTypeSignature",11023,264552
"sun.reflect.generics.tree.TypeArgument[]",11017,176328
"jdk.proxy2.$Proxy65",10998,175968
"sun.reflect.generics.scope.ClassScope",10985,263640
"sun.reflect.generics.factory.CoreReflectionFactory",10920,262080
"sun.reflect.generics.parser.SignatureParser",10914,261936
"sun.reflect.generics.visitor.Reifier",10879,261096
"sun.reflect.annotation.AnnotationParser$1",10843,260232
"org.apache.commons.compress.harmony.unpack200.bytecode.CP.CPMethodRef",10190,489120
"org.apache.commons.compress.harmony.unpack200.CpBands$$Lambda.0x000000000954c340",9568,153088
"java.lang.String[]",8108,462240
"java.util.stream.Collectors$CollectorImpl",7891,252512
"java.util.HashMap",7074,339552
"java.util.Formatter$FixedString",7002,168048
"java.util.stream.ReduceOps$3",6918,221376
"java.util.stream.ReduceOps$3ReducingSink",6884,220288
"org.apache.maven.surefire.junitplatform.RunListenerAdapter$$Lambda.0x00000000092908f8",6707,107312
"org.apache.maven.surefire.junitplatform.RunListenerAdapter$$Lambda.0x0000000009290b38",6591,105456
"org.apache.commons.compress.harmony.unpack200.bytecode.CP.CPUTF8[]",6103,246640
"java.nio.HeapByteBuffer",6055,339080
"java.util.HashSet",6044,96704
"org.apache.commons.compress.harmony.unpack200.bytecode.CP.CPUTF8",5581,178592
"java.nio.StringCharBuffer",5232,292992
"java.util.stream.Streams$2",5143,123432
"java.util.stream.Streams$StreamBuilderImpl",5077,121848
"java.util.stream.Streams$ConcatSpliterator$OfRef",5058,121392
"java.util.stream.MatchOps$1MatchSink",4578,109872
"java.util.stream.MatchOps$$Lambda.0x0000000009176360",4574,109776
"java.util.stream.MatchOps$MatchOp",4493,107832
"java.util.LinkedHashSet",4491,71856
"boolean[]",4385,105992
"java.lang.reflect.Field[]",4177,86344
"java.util.concurrent.ConcurrentHashMap$Node",4126,132032
"java.util.Collections$UnmodifiableRandomAccessList",4117,98808
"java.lang.Long",4073,97752
"org.junit.jupiter.engine.extension.MutableExtensionRegistry$$Lambda.0x000000000928ac00",3883,62128
"org.junit.jupiter.engine.extension.MutableExtensionRegistry$$Lambda.0x000000000928ae50",3842,61472
"java.util.Formatter$FormatSpecifier",3828,122496
"org.apache.commons.compress.harmony.unpack200.bytecode.attribute.BCIRenumberedAttribute$$Lambda.0x0000000009557860",3798,91152
"java.util.LinkedHashMap$LinkedKeyIterator",3687,117984
"org.apache.commons.compress.harmony.pack200.CPUTF8",3469,83256
"java.util.Formatter",3433,82392
"java.util.Arrays$ArrayItr",3353,80472
"java.util.stream.Nodes$SpinedNodeBuilder",3130,125200
"sun.nio.fs.WindowsNativeDispatcher$FirstFile",3107,99424
"org.apache.commons.compress.harmony.unpack200.CpBands$$Lambda.0x0000000009558000",3014,72336
"org.apache.commons.compress.harmony.unpack200.AttributeLayout",2918,140064
"org.apache.commons.compress.harmony.unpack200.bytecode.CP.CPFieldRef",2838,113520
"java.util.LinkedHashMap$LinkedKeySet",2779,66696
"java.lang.annotation.Annotation[][]",2733,101088
"org.apache.commons.compress.harmony.unpack200.bytecode.CP.CPMember$$Lambda.0x0000000009552d18",2564,41024
"java.util.regex.Pattern$BmpCharProperty",2448,58752
"java.util.LinkedHashMap$LinkedEntrySet",2372,56928
"java.io.ByteArrayOutputStream",2328,55872
"java.lang.Object",2268,36288
"java.util.Collections$UnmodifiableCollection$1",2216,53184
"org.apache.commons.compress.harmony.unpack200.bytecode.attribute.CodeAttribute$$Lambda.0x0000000009552f48",2192,35072
"org.apache.commons.compress.harmony.unpack200.bytecode.attribute.CodeAttribute$$Lambda.0x0000000009553178",2086,33376
"java.util.Spliterators$ArraySpliterator",2057,82280
"org.apache.commons.compress.harmony.unpack200.bytecode.attribute.CodeAttribute$$Lambda.0x00000000095533a8",2043,32688
"org.junit.platform.engine.support.store.Namespace",2037,32592
"org.junit.platform.commons.util.Preconditions$$Lambda.0x000000000915d568",2004,32064
"org.junit.platform.engine.support.store.NamespacedHierarchicalStore$CompositeKey",1984,47616
"java.util.stream.ForEachOps$ForEachOp$OfRef",1961,47064
"org.apache.commons.compress.harmony.unpack200.bytecode.CP.CPMethod",1955,78200
"org.apache.commons.compress.harmony.unpack200.bytecode.attribute.CodeAttribute",1952,109312
"org.junit.jupiter.engine.execution.NamespaceAwareStore",1915,45960
"java.nio.file.LinkOption[]",1897,33560
"org.apache.commons.compress.harmony.unpack200.bytecode.attribute.CodeAttribute$$Lambda.0x0000000009557630",1883,30128
"java.util.regex.Pattern$$Lambda.0x0000000009136bb0",1878,30048
"org.apache.commons.compress.harmony.pack200.CPMethodOrField",1846,59072
"org.apache.commons.compress.harmony.unpack200.bytecode.attribute.LineNumberTableAttribute",1825,73000
"java.util.StringJoiner",1817,72680
"sun.nio.fs.WindowsFileAttributes",1817,116288
"org.apache.commons.compress.harmony.unpack200.bytecode.attribute.LocalVariableTableAttribute",1811,115904
"org.apache.commons.compress.harmony.pack200.CPNameAndType",1798,43152
"java.util.stream.Collectors$$Lambda.0x00000000091c5e88",1787,42888
"long[]",1725,169648
"java.util.Collections$UnmodifiableSet",1628,26048
"org.objectweb.asm.Label[]",1505,338088
"java.util.HashMap$TreeNode",1427,79912
"org.apache.commons.compress.harmony.unpack200.bytecode.CP.CPNameAndType",1399,55960
"java.lang.reflect.Method[]",1385,74424
"org.apache.maven.surefire.junitplatform.RunListenerAdapter$$Lambda.0x00000000092ad238",1362,21792
"sun.nio.fs.WindowsPath",1350,54000
"org.apache.commons.compress.harmony.unpack200.bytecode.CPClass[]",1336,32080
"org.apache.commons.compress.harmony.unpack200.bytecode.attribute.ExceptionsAttribute",1304,41728
"byte[][]",1293,1691520
"java.util.stream.ReferencePipeline$7$1",1260,30240
"java.lang.invoke.MethodType",1230,49200
"org.junit.platform.commons.util.AnnotationUtils$$Lambda.0x00000000091b8840",1212,19392
"java.time.LocalDateTime",1194,28656
"java.util.stream.ReferencePipeline$7",1189,66584
"org.junit.platform.launcher.core.CompositeTestExecutionListener$$Lambda.0x00000000092765a0",1179,28296
"sun.reflect.annotation.AnnotationInvocationHandler$1",1121,17936
"sun.nio.fs.WindowsPathParser$Result",1108,26592
"java.lang.reflect.Field",1079,77688
"jdk.internal.util.StrongReferenceKey",1078,17248
"java.util.regex.IntHashSet[]",1065,17040
"java.util.regex.Pattern",1052,92576
"org.junit.platform.commons.util.ReflectionUtils$$Lambda.0x000000000928a138",1048,16768
"java.util.regex.Pattern$CharProperty",1040,24960
"java.util.regex.Matcher",1035,82800
"org.apache.maven.surefire.junitplatform.RunListenerAdapter$$Lambda.0x0000000009290220",1010,16160
"java.util.regex.Pattern$Begin",998,15968
"java.math.MutableBigInteger",990,23760
"org.junit.platform.commons.util.ReflectionUtils$$Lambda.0x0000000009289cd0",976,15616
"org.apache.commons.compress.harmony.unpack200.bytecode.CP.CPString",975,39000
"org.junit.jupiter.engine.descriptor.CallbackSupport$$Lambda.0x00000000092bea58",951,22824
"sun.nio.fs.WindowsFileAttributeViews$Basic",950,22800
"java.util.ArrayList$ListItr",943,30176
"java.io.File",942,30144
"java.util.concurrent.ConcurrentHashMap$MapEntry",939,22536
"java.util.regex.Pattern$CharPropertyGreedy",939,22536
"java.util.regex.Pattern$Dollar",936,22464
"java.util.regex.Pattern$GroupHead[]",934,52304
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",932,52192
"java.lang.annotation.Annotation[]",916,14656
"java.util.function.Function$$Lambda.0x00000000091c7c78",916,21984
"org.apache.maven.surefire.api.util.internal.ClassMethod",914,21936
"org.apache.commons.compress.harmony.pack200.CPSignature",891,28512
"org.apache.maven.surefire.junitplatform.RunListenerAdapter$$Lambda.0x00000000092af6a0",891,14256
"java.util.TreeMap",889,42672
"java.lang.reflect.Parameter[]",862,19560
"org.junit.jupiter.engine.descriptor.MethodBasedTestDescriptor$$Lambda.0x0000000009216f10",835,13360
"java.math.BigInteger",832,33280
"java.time.LocalDate",794,19056
"org.apache.commons.compress.harmony.pack200.CPString",789,18936
"java.util.Spliterators$IteratorSpliterator",763,30520
"org.apache.commons.compress.harmony.unpack200.bytecode.ExceptionTableEntry",759,36432
"java.util.stream.FindOps$FindSink$OfRef",752,18048
"org.junit.jupiter.engine.execution.NamespaceAwareStore$$Lambda.0x0000000009294898",746,23872
"org.junit.jupiter.engine.extension.TimeoutConfiguration$$Lambda.0x00000000092b8668",744,11904
"java.util.TreeMap$KeyIterator",728,23296
"org.junit.jupiter.engine.execution.NamespaceAwareStore$$Lambda.0x000000000929dea8",721,17304
"org.junit.platform.launcher.core.CompositeEngineExecutionListener$$Lambda.0x0000000009285c48",705,16920
