"Time [s]","Process load","System load"
0.0,0,0
1.0,17.29,23.28
2.0,11.97,14.96
3.01,21.76,27.33
4.01,17.31,22
5.01,20.83,26.69
6.02,21.15,25.04
7.02,25.81,32.16
8.03,32.71,37.77
9.03,27.72,30.57
10.03,34.17,39.37
11.03,32.94,38.15
12.04,31.67,36.99
13.04,28.25,35.67
14.04,28,33.85
15.04,26.38,31.71
16.05,26.06,31.12
17.05,28.01,35.01
18.05,27.94,39.62
19.05,25.88,28.36
20.06,25.65,32.9
21.06,27.67,34.18
22.07,31.77,35.13
23.07,27.25,33.74
24.08,25.31,34.66
25.08,22.52,26.04
26.08,23.08,29.18
27.08,19.64,25.23
28.08,23.04,26.69
29.09,15.2,20.4
30.09,14.96,20.42
31.09,13.13,16.91
32.09,11.44,17.42
33.1,20.75,27.24
34.1,18.45,21.17
35.1,21.53,25.68
36.11,15.59,22.35
37.11,16.99,21.39
38.11,16.35,19.34
39.12,11.43,16.1
40.12,14.68,19.23
41.12,15.56,18.8
42.12,12.74,20.28
43.12,16.4,21.87
44.13,15.33,17.67
45.13,11.8,17.38
46.14,12.97,18.17
47.14,11.81,13.63
48.14,16.51,24.19
49.14,9.35,14.42
50.15,22.53,26.04
51.15,18.56,24.92
52.15,23.33,31.12
53.15,18.36,22.25
54.16,21.13,27.63
55.16,25.65,34.5
56.16,25.59,31.32
57.17,24.76,29.44
58.17,23.26,31.31
59.17,30.5,38.94
60.17,56.5,76.04
61.18,55.71,78.89
62.18,38.13,52.78
63.18,33.52,41.19
64.19,39.16,48.76
65.19,37.9,46.47
66.19,30.17,36.67
67.2,26.38,33.26
68.2,24.9,28.14
69.21,24.25,33.2
70.21,24.71,32.51
71.21,27.65,33.88
72.21,26.38,33.78
73.22,22.02,30.05
74.22,21.48,29.04
75.22,20.49,24.9
76.22,23.56,31.37
77.23,25.31,33.1
78.23,21.65,23.73
79.24,19.19,26.46
80.24,17.67,24.55
81.24,15.6,18.08
82.25,15.17,20.75
83.25,19.59,26.73
84.25,25.62,29.79
85.25,18.95,27.38
86.26,20.62,27.49
87.26,18.32,24.3
88.26,18.45,21.95
89.26,22.52,27.86
90.27,19.36,25.59
91.27,19.4,22.26
92.27,19.73,24.8
93.27,19.47,25.04
94.27,18.33,21.59
95.28,19.04,25.77
96.28,17.11,22.82
97.29,18.97,23.65
98.29,17.83,22.65
99.29,16.87,21.93
100.3,18.16,23.21
101.3,19.08,22.72
102.3,18.97,29.23
103.31,19.04,24.61
104.31,17.94,19.25
105.31,18.06,25.07
106.31,17.05,23.05
107.31,18.17,21.41
108.32,17,28.29
109.32,19.38,26.93
110.32,18.69,21.93
111.33,18.17,22.59
112.33,18.18,25.73
113.33,17.51,22.43
114.34,26.08,28.94
115.34,20.68,26.14
116.34,19.69,24.61
117.35,18.2,21.85
118.35,24.92,32.31
119.35,19.73,23.37
120.35,19.4,22.39
121.36,20.53,26.24
122.36,22.26,29.16
123.36,20.16,23.55
124.36,22.45,28.81
125.37,20.88,28.01
126.37,17.91,22.07
127.37,25.31,32.45
128.37,17.81,23.8
129.37,19.53,23.17
130.38,19.86,26.74
131.38,26.69,34.07
132.39,20.11,24.53
133.39,20.16,27.44
134.39,19.49,26.5
135.39,24.25,27.75
136.4,17.96,22.26
137.4,16.85,22.69
138.4,23.21,26.58
139.41,20.29,25.75
140.41,18.78,27.08
141.42,25.55,30.34
142.42,17.4,21.04
143.42,20.96,28.25
144.42,24.37,29.05
145.42,16.01,18.48
146.42,18.21,25.1
147.43,16.1,21.69
148.43,21.05,23.65
149.43,17.91,24.01
150.44,21.69,28.19
151.44,21.48,24.48
152.44,20.16,25.49
153.44,17.62,23.71
154.45,17.38,21.26
155.45,22.39,27.6
156.45,20.62,26.06
157.45,19.12,26.01
158.46,18.28,21.78
159.46,23.91,31.45
160.46,17.05,23.3
161.46,16,19.38
162.46,24.97,31.47
163.47,19.36,24.04
164.47,19.1,21.56
165.5,22.32,28.52
166.51,20.23,27.35
167.51,21.58,24.45
168.51,19.31,25
169.52,18.18,26.5
170.52,24.55,27.55
171.52,21.25,25.64
172.52,19.65,26.17
173.53,18.65,22.15
174.53,18.33,22.11
175.53,22.61,28.45
176.54,19.58,25.15
177.54,18.02,22.43
178.56,17.61,24.55
179.56,16.22,21.67
180.56,22.39,27.08
181.56,18.97,25.08
182.57,18.93,24.63
183.57,18.82,21.8
184.57,24.53,29.07
185.58,19.17,25.91
186.58,17.78,21.16
187.61,20.13,26.6
188.62,20.14,25.59
189.62,18.86,23.54
190.62,17.63,22.82
191.62,24.19,30.43
192.63,19.99,23.49
193.63,17.15,22.22
194.63,24.01,29.07
195.64,17.36,22.41
196.64,24.92,28.68
197.64,20.44,26.17
198.65,17.77,23.47
199.65,25.98,33.39
200.66,16.85,22.55
201.66,22.52,28.12
202.66,18.32,20.53
203.66,24.74,30.99
204.66,17.12,22.17
205.67,28.09,31.21
206.67,19.07,24.53
207.67,26.2,32.16
208.68,21.65,24.64
209.68,21.8,27.51
210.69,24.25,30.47
211.69,16.73,18.8
212.69,15.99,22.24
213.71,20.07,25.73
214.71,22.78,26.55
215.71,19.17,24.48
216.71,15.1,21.22
217.71,11.85,14.45
218.71,14.56,20.16
219.72,11.04,16.5
220.72,14.7,18.08
221.72,15.3,22.04
222.73,10,15.2
223.73,11.92,15.95
224.73,11.42,16.09
225.74,13.01,18.21
226.74,14.19,20.7
227.74,12.85,16.35
228.74,9.08,14.91
229.75,11.3,18.06
230.75,11.69,14.42
231.75,18.56,25.18
232.76,11.66,17.51
233.76,11.93,14.79
234.76,12.76,17.7
235.76,11.54,18.43
236.77,18.47,20.54
237.77,11.91,16.97
238.77,12.1,18.47
239.78,11.54,13.89
240.78,17.51,21.14
241.78,12.34,18.18
242.79,13,16.25
243.79,10.64,14.52
244.79,15.32,21.18
245.79,15.48,20.16
246.8,11.53,16.21
247.8,12.21,18.32
248.81,13.99,18.92
249.81,11.16,12.99
250.81,13.87,19.84
251.82,12.06,18.15
252.82,11.54,13.36
253.82,10.02,16.53
254.83,10.25,16.08
255.83,14.01,18.3
256.83,10.9,17
257.84,11.31,16.9
258.84,10.87,15.29
259.85,11.92,18.78
260.85,13.25,20.14
261.85,10.27,14.82
262.85,18.04,22.45
263.86,10.78,17.54
264.86,19.59,25.83
265.86,13.77,24.04
266.87,29.18,37.47
267.87,27.81,32.49
268.87,28.85,34.17
269.88,28.49,35.37
270.88,30.76,36.34
271.89,17.87,22.8
272.89,2.33,8.54
273.9,2.84,6.47
274.9,2.34,7.41
275.9,1.81,7.66
276.9,1.69,5.96
277.91,7.65,12.47
278.91,24.66,31.15
279.91,14.79,20.64
280.92,20.55,25.88
281.92,20.4,30.67
282.92,17.58,22.65
283.92,15.44,18.82
284.92,14.43,22.5
285.92,16.28,22.13
286.93,12.32,14.41
287.93,11.97,17.31
288.93,14.02,20.51
289.93,16.37,22.34
290.94,12.57,24.38
291.94,11.17,17.28
292.94,14.53,18.04
293.95,15.3,24.76
294.95,15.68,22.56
295.95,13.25,17.28
296.96,11.54,17.5
297.96,11.71,16.8
298.96,12.84,18.67
299.97,15.57,20.51
300.97,11.65,19.81
301.98,10.37,15.56
302.98,14.45,18.23
303.98,14.3,23.15
304.98,12.22,20.16
305.98,16.51,22.5
306.99,12.7,18
307.99,12.48,19.24
308.99,14.81,20.14
309.99,12.21,20.66
311.0,14.78,20.48
312.0,16.6,21.4
313.0,13.27,18.98
314.0,12.89,19.91
315.01,11.69,13.51
316.01,13.75,18.56
317.01,12.62,17.16
318.02,15.93,22.15
319.02,36.54,43.83
320.02,34.5,44
321.02,42.49,51.58
322.02,50.86,58.15
323.02,65.1,75.62
324.02,70.7,80.99
325.03,49.59,70.23
326.03,55.87,66.27
327.03,53.64,64.45
328.04,36.7,44.74
329.04,38.67,44.4
330.04,28.25,38.15
331.04,27.65,38.03
332.04,24.82,29.1
333.05,34.88,50.06
334.05,35.86,44.96
335.05,29.78,47.99
336.05,32.95,50.65
337.05,32.77,46.3
338.05,25,40.1
339.06,29.89,51.32
340.06,28.49,47.03
341.06,31.54,39.34
342.07,37.03,41.97
343.07,34.92,40.23
344.07,16.88,23.37
345.08,15.57,22.32
346.08,26.24,33
347.09,34.85,42.36
348.09,35.92,41.5
349.09,34.56,39.89
350.09,39.58,49.87
351.1,25.08,38.19
352.1,22.11,27.58
353.1,26.17,32.29
354.1,23.54,30.31
355.1,21.16,24.14
356.1,22.63,28.87
357.11,18.97,23.91
358.11,18.33,22.62
359.11,23.6,30.08
360.12,22.28,28.25
361.12,24.82,32.09
362.13,23.83,30.83
363.13,16.63,23.38
364.13,33.94,37.46
365.13,33,41.97
366.13,26.16,33.2
367.13,30.4,35.08
368.14,25.16,33.07
369.14,27.83,33.94
370.14,28.69,34.27
371.15,28.07,41.72
372.16,19.59,25.31
373.16,16.24,20.53
374.16,4.42,30.69
375.16,3.77,8.33
376.17,4.4,8.03
377.17,7.41,14.16
378.17,15.49,19.53
379.17,14.05,15.75
380.18,18.02,23.33
