"Time [s]","Committed size","Free size","Used size"
0.0,258048000,250880000,7168000
1.01,258048000,236281000,21767000
2.01,45056000,22778000,22278000
3.02,45056000,16738000,28318000
4.02,151552000,118762000,32790000
5.02,151552000,77648000,73904000
6.03,151552000,106960000,44592000
7.03,151552000,97846000,53706000
8.03,151552000,89611000,61941000
9.04,151552000,42461000,109091000
10.04,151552000,71576000,79976000
11.04,151552000,46899000,104653000
12.05,151552000,59181000,92371000
13.05,151552000,77733000,73819000
14.06,151552000,39150000,112402000
15.06,151552000,33274000,118278000
16.06,151552000,67625000,83927000
17.06,151552000,42471000,109081000
18.07,151552000,37438000,114114000
19.07,151552000,64993000,86559000
20.07,151552000,53295000,98257000
21.07,151552000,41424000,110128000
22.07,151552000,30768000,120784000
23.08,151552000,33077000,118475000
24.08,151552000,23828000,127724000
25.08,151552000,34609000,116943000
26.08,151552000,22365000,129187000
27.09,151552000,21782000,129770000
28.09,151552000,18670000,132882000
29.09,151552000,23493000,128059000
30.1,204800000,111210000,93590000
31.1,204800000,81015000,123785000
32.11,204800000,90644000,114156000
33.11,204800000,48057000,156743000
34.11,204800000,57573000,147227000
35.11,204800000,39839000,164961000
36.12,204800000,68322000,136478000
37.12,204800000,87254000,117546000
38.12,204800000,82636000,122164000
39.13,204800000,36556000,168244000
40.13,204800000,56244000,148556000
41.13,204800000,64544000,140256000
42.14,204800000,71340000,133460000
43.14,204800000,61132000,143668000
44.14,204800000,48274000,156526000
45.14,204800000,66790000,138010000
46.15,204800000,25310000,179490000
47.15,204800000,72612000,132188000
48.16,204800000,52134000,152666000
49.16,204800000,43199000,161601000
50.17,204800000,30150000,174650000
51.17,204800000,43016000,161784000
52.17,204800000,47271000,157529000
53.18,204800000,29576000,175224000
54.18,204800000,42929000,161871000
55.18,204800000,26428000,178372000
56.18,204800000,27163000,177637000
57.19,204800000,34363000,170437000
58.19,204800000,27288000,177512000
59.19,204800000,25681000,179119000
60.19,204800000,22162000,182638000
61.2,290816000,112334000,178482000
62.2,290816000,126473000,164343000
63.2,290816000,124437000,166379000
64.21,290816000,115658000,175158000
65.21,290816000,87601000,203215000
66.21,290816000,91428000,199388000
67.22,290816000,75736000,215080000
68.22,290816000,81537000,209279000
69.23,290816000,51148000,239668000
70.23,290816000,62079000,228737000
71.23,290816000,67868000,222948000
72.23,290816000,41544000,249272000
73.23,290816000,46734000,244082000
74.24,290816000,54633000,236183000
75.24,290816000,42794000,248022000
76.24,290816000,59082000,231734000
77.25,290816000,48994000,241822000
78.25,290816000,44381000,246435000
79.25,290816000,49928000,240888000
80.25,290816000,39299000,251517000
81.25,290816000,42862000,247954000
82.26,290816000,38204000,252612000
83.26,290816000,36974000,253842000
84.26,290816000,28463000,262353000
85.26,437248000,170683000,266565000
86.27,437248000,220149000,217099000
87.27,437248000,214587000,222661000
88.28,437248000,139871000,297377000
89.28,437248000,194339000,242909000
90.28,437248000,118568000,318680000
91.28,437248000,178467000,258781000
92.28,437248000,110761000,326487000
93.29,437248000,166295000,270953000
94.29,437248000,97623000,339625000
95.3,437248000,140952000,296296000
96.3,437248000,75932000,361316000
97.3,437248000,119224000,318024000
