"Name","Instance Count","Size (bytes)"
"byte[]",59607,14705440
"java.util.LinkedHashMap$Entry",31981,1279240
"org.apache.jackrabbit.core.cache.ConcurrentCache$E",31240,749760
"java.lang.String",29070,697680
"org.apache.derby.impl.store.raw.data.StoredRecordHeader",25303,809696
"org.apache.jackrabbit.spi.commons.name.NamePath",23973,958920
"java.util.HashMap$Node",19215,614880
"org.apache.derby.impl.store.raw.data.RecordId",11822,283728
"java.util.concurrent.CopyOnWriteArrayList$COWIterator",9696,232704
"org.apache.jackrabbit.core.id.PropertyId",9347,224328
"int[]",8367,751816
"org.apache.jackrabbit.core.id.NodeId",8261,264352
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry",8021,256672
"java.lang.Object[]",7580,1472536
"java.util.ArrayList",6723,161352
"java.util.concurrent.ConcurrentHashMap$Node",5583,178656
"java.math.BigInteger",5138,205520
"java.security.DrbgParameters$NextBytes",5084,122016
"org.apache.jackrabbit.core.version.InternalVersion[]",5003,120064
"java.util.HashMap",4868,233664
"java.util.ArrayList$Itr",4623,147936
"org.apache.commons.collections4.map.AbstractHashedMap$HashEntry[]",4619,778160
"java.util.HashMap$Node[]",4324,731440
"java.lang.Object",3845,61520
"org.apache.commons.collections4.map.AbstractReferenceMap$SoftRef",3798,151920
"java.util.LinkedList$Node",3672,88128
"java.lang.ref.ReferenceQueue",3663,117216
"java.lang.ref.ReferenceQueue$Lock",3617,57872
"org.apache.commons.collections4.map.ReferenceMap",3439,247608
"org.apache.jackrabbit.core.query.lucene.DocId$PlainDocId",3276,52416
"org.apache.jackrabbit.core.nodetype.NodeTypeImpl",3198,127920
"org.apache.jackrabbit.spi.commons.name.NameFactoryImpl$NameImpl",3195,102240
"org.apache.commons.collections4.map.AbstractLinkedMap$LinkEntry",2813,112520
"java.lang.String[]",2787,99648
"org.apache.jackrabbit.core.value.InternalValue[]",2780,64168
"org.apache.commons.collections4.map.AbstractReferenceMap$WeakRef",2777,88864
"org.apache.jackrabbit.core.cache.ConcurrentCache$1",2580,165120
"char[]",2556,591896
"java.util.LinkedHashMap$LinkedValues",2432,38912
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceValues",2426,38816
"java.util.HashMap$KeyIterator",2217,88680
"org.apache.jackrabbit.spi.commons.name.PathMap$Element[]",2217,53096
"java.lang.StringBuilder",2186,52464
"org.apache.jackrabbit.spi.commons.name.PathMap$Element",2102,84080
"org.apache.jackrabbit.core.value.InternalValue",2101,50424
"java.lang.StackTraceElement",1835,88080
"org.apache.jackrabbit.core.CachingHierarchyManager$LRUEntry",1830,58560
"java.lang.Class[]",1796,38376
"org.apache.jackrabbit.core.journal.MemoryJournal$MemoryRecord",1789,42936
