"Time [s]","Process load","System load"
0.0,0,0
1.0,15.47,20.81
2.0,11.94,17
3.01,19.73,24.8
4.01,17.69,21.85
5.01,16.89,23.12
6.02,23.42,30.15
7.02,16.4,20.18
8.02,35.44,40.89
9.02,30.6,36.71
10.03,30.79,35.59
11.03,30.44,41.1
12.03,29.69,43.7
13.04,28.66,42.53
14.04,31.34,39.41
15.04,28.39,35.28
16.04,29.52,38.76
17.04,30.98,35.03
18.05,30.7,37.57
19.05,27.24,33.32
20.05,24.84,31.74
21.05,22.91,28.64
22.05,17.7,22.14
23.06,15.04,26.19
24.06,18.93,22.04
25.07,15.35,20.9
26.08,17.15,23.13
27.08,22.89,26.78
28.08,20.87,25.03
29.09,25.52,33.68
30.09,14.06,17.96
31.09,18.43,23.49
32.1,14.39,20.1
33.1,16.76,21.95
34.1,15.57,18.69
35.11,15.62,21.7
36.11,15.3,21.01
37.12,17.57,20.44
38.12,18.75,26.16
39.12,18.33,25.08
40.12,20.33,23.05
41.13,17.5,22.43
42.13,17.94,23.28
43.13,26.25,33.39
44.14,28.55,34.4
45.14,22.89,30.56
46.14,17.15,21.83
47.14,26.06,35.4
48.15,64.77,86.23
49.15,58.46,73.95
50.15,40.55,59.46
51.15,36.81,49.43
52.15,40.35,47.26
53.16,39.34,55.3
54.16,28.22,42.14
55.16,26.63,31.32
56.17,18.82,26.86
57.17,16.92,23.95
58.17,30.79,34.57
59.17,30.53,37.94
60.17,33.65,42.49
61.17,30.85,34.37
62.18,24.48,33.03
63.18,24.97,32.25
64.19,20.08,24.22
65.19,19.36,27.42
66.19,18.55,24.37
67.19,20.44,26.69
68.2,17.93,21.31
69.2,17.75,23.58
70.2,19.89,27.7
71.2,16.66,18.87
72.21,19.86,26.09
73.21,21.09,26.55
74.21,19.73,22.33
75.21,15.87,21.32
76.22,11.29,19.47
77.22,10.39,14.03
78.22,20.49,23.86
79.23,18.44,24.3
80.23,20.96,25
81.23,19.23,21.56
82.23,19.09,25.08
83.24,17.9,27.75
84.24,17.89,21.65
85.24,17,22.33
86.24,18.35,25.38
87.25,16.5,21.05
88.25,15.85,18.97
89.25,21.35,26.69
90.25,20.05,24.86
91.26,19.58,24.25
92.26,13.26,20.16
93.26,8.32,13.52
94.26,18.19,20.27
95.27,17.24,23.73
96.27,19.08,25.31
97.28,17.23,20.86
98.28,19.9,24.84
99.28,18.71,24.16
100.28,19.46,23.88
101.29,18.31,21.94
102.29,18.33,24.71
103.29,17.89,26.31
104.29,19.79,23.3
105.3,18.56,24.27
106.3,16.47,22.56
107.31,18.3,21.94
