"Time [s]","Committed size","Free size","Used size"
0.0,258048000,250880000,7168000
1.01,258048000,237093000,20955000
2.01,45056000,23767000,21289000
3.01,45056000,20375000,24681000
4.01,151552000,94771000,56781000
5.01,151552000,52624000,98928000
6.02,151552000,85504000,66048000
7.02,151552000,78597000,72955000
8.02,151552000,74726000,76826000
9.02,151552000,41982000,109570000
10.02,151552000,51960000,99592000
11.02,151552000,62138000,89414000
12.02,151552000,40606000,110946000
13.02,151552000,47022000,104530000
14.02,151552000,74351000,77201000
15.02,151552000,37499000,114053000
16.02,151552000,55013000,96539000
17.02,151552000,36928000,114624000
18.02,151552000,27998000,123554000
19.03,151552000,51452000,100100000
20.03,151552000,53048000,98504000
21.03,151552000,45890000,105662000
22.03,151552000,30229000,121323000
23.03,151552000,45432000,106120000
24.03,151552000,40688000,110864000
25.03,151552000,23322000,128230000
26.03,151552000,31600000,119952000
27.04,151552000,34009000,117543000
28.04,166912000,31114000,135798000
29.04,166912000,39493000,127419000
30.04,166912000,26465000,140447000
31.04,166912000,32447000,134465000
32.04,166912000,33264000,133648000
33.04,227328000,126151000,101177000
34.04,227328000,71180000,156148000
35.05,227328000,89430000,137898000
36.05,227328000,53009000,174319000
37.05,227328000,93617000,133711000
38.05,227328000,65857000,161471000
39.05,227328000,59979000,167349000
40.05,227328000,54757000,172571000
41.05,227328000,38408000,188920000
42.05,227328000,35792000,191536000
43.05,227328000,52948000,174380000
44.05,227328000,79431000,147897000
45.06,227328000,40058000,187270000
46.06,227328000,59438000,167890000
47.06,227328000,64953000,162375000
48.06,227328000,59314000,168014000
49.06,227328000,80549000,146779000
50.06,227328000,49217000,178111000
51.06,227328000,72640000,154688000
52.06,227328000,37654000,189674000
53.06,227328000,51732000,175596000
54.06,227328000,67160000,160168000
55.06,227328000,50119000,177209000
56.07,227328000,64948000,162380000
57.07,227328000,59120000,168208000
58.07,227328000,47897000,179431000
59.07,227328000,54228000,173100000
60.07,227328000,30773000,196555000
61.07,227328000,30226000,197102000
62.07,227328000,38122000,189206000
63.07,227328000,32252000,195076000
64.07,227328000,36610000,190718000
65.08,227328000,25793000,201535000
66.08,227328000,25251000,202077000
67.08,227328000,18782000,208546000
68.08,316416000,149135000,167281000
69.08,316416000,131402000,185014000
70.08,316416000,76366000,240050000
71.08,316416000,113790000,202626000
72.09,316416000,61440000,254976000
73.09,316416000,74554000,241862000
74.09,316416000,90322000,226094000
75.09,316416000,107668000,208748000
76.09,316416000,115421000,200995000
77.09,316416000,112464000,203952000
78.09,316416000,80912000,235504000
79.1,316416000,98931000,217485000
80.1,316416000,95613000,220803000
81.1,316416000,46975000,269441000
82.1,316416000,52946000,263470000
83.1,316416000,51710000,264706000
84.1,316416000,54046000,262370000
85.11,316416000,52428000,263988000
86.11,316416000,50094000,266322000
87.11,316416000,42619000,273797000
88.11,316416000,67299000,249117000
89.11,316416000,53326000,263090000
90.11,316416000,61362000,255054000
91.11,316416000,43756000,272660000
92.12,316416000,52340000,264076000
93.12,316416000,58063000,258353000
94.12,316416000,57835000,258581000
95.12,316416000,55153000,261263000
96.12,316416000,46805000,269611000
97.12,316416000,47486000,268930000
98.12,316416000,45609000,270807000
99.12,316416000,44396000,272020000
100.13,316416000,39194000,277222000
101.13,316416000,29437000,286979000
102.13,316416000,24323000,292093000
103.13,316416000,31919000,284497000
104.13,481280000,191514000,289766000
105.13,481280000,247806000,233474000
106.13,481280000,130555000,350725000
107.14,481280000,164299000,316981000
108.14,481280000,115656000,365624000
109.14,481280000,211838000,269442000
110.14,481280000,164739000,316541000
111.14,481280000,123777000,357503000
112.14,481280000,209730000,271550000
113.14,481280000,140615000,340665000
114.14,481280000,93507000,387773000
115.14,481280000,187930000,293350000
116.14,481280000,146463000,334817000
117.14,481280000,101914000,379366000
118.14,481280000,194762000,286518000
119.14,481280000,151759000,329521000
120.15,481280000,109263000,372017000
121.15,481280000,190272000,291008000
122.15,481280000,150852000,330428000
123.15,481280000,105280000,376000000
124.15,481280000,186501000,294779000
125.15,481280000,145549000,335731000
126.15,481280000,102029000,379251000
127.15,481280000,177988000,303292000
128.15,481280000,134986000,346294000
129.15,481280000,94538000,386742000
130.15,481280000,157798000,323482000
131.16,481280000,120937000,360343000
132.16,481280000,78441000,402839000
133.16,481280000,141025000,340255000
134.16,481280000,98526000,382754000
135.16,481280000,161712000,319568000
136.16,481280000,118200000,363080000
137.16,481280000,76214000,405066000
138.16,481280000,133264000,348016000
139.16,481280000,91797000,389483000
140.16,481280000,143107000,338173000
141.16,481280000,100433000,380847000
142.17,481280000,148191000,333089000
143.17,481280000,100739000,380541000
144.17,481280000,144860000,336420000
145.17,481280000,102997000,378283000
146.17,481280000,134424000,346856000
147.17,481280000,90906000,390374000
148.17,481280000,103169000,378111000
149.18,481280000,109894000,371386000
150.18,481280000,127400000,353880000
151.18,481280000,70657000,410623000
152.18,481280000,89433000,391847000
153.18,481280000,99961000,381319000
154.18,481280000,109232000,372048000
155.18,481280000,67769000,413511000
156.18,481280000,68788000,412492000
157.18,481280000,100755000,380525000
158.19,481280000,84166000,397114000
159.19,481280000,70545000,410735000
160.19,481280000,65935000,415345000
161.19,481280000,65453000,415827000
162.19,481280000,59603000,421677000
163.19,481280000,79530000,401750000
164.19,481280000,66074000,415206000
165.19,481280000,76659000,404621000
166.2,481280000,74814000,406466000
167.2,481280000,57383000,423897000
168.2,481280000,58898000,422382000
169.2,481280000,61616000,419664000
170.2,481280000,61455000,419825000
171.2,481280000,59480000,421800000
172.2,481280000,40183000,441097000
173.2,524288000,90070000,434218000
174.2,524288000,163116000,361172000
175.2,524288000,204475000,319813000
