"Name","Instance Count","Size (bytes)"
"byte[]",58960,22587672
"java.util.LinkedHashMap$Entry",29612,1184480
"org.apache.jackrabbit.core.cache.ConcurrentCache$E",28539,684936
"java.lang.String",28200,676800
"org.apache.jackrabbit.spi.commons.name.NamePath",23587,943480
"org.apache.derby.impl.store.raw.data.StoredRecordHeader",23376,748032
"java.util.HashMap$Node",18700,598400
"org.apache.derby.impl.store.raw.data.RecordId",10654,255696
"java.util.concurrent.CopyOnWriteArrayList$COWIterator",9263,222312
"org.apache.jackrabbit.core.id.PropertyId",9074,217776
"org.apache.jackrabbit.core.id.NodeId",8324,266368
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry",8254,264128
"int[]",7932,549496
"java.lang.Object[]",7351,1502792
"java.util.ArrayList",6154,147696
"java.util.concurrent.ConcurrentHashMap$Node",5455,174560
"java.math.BigInteger",5148,205920
"byte[][]",5096,163104
"java.security.DrbgParameters$NextBytes",5078,121872
"org.apache.commons.collections4.map.AbstractHashedMap$HashEntry[]",4771,714608
"java.util.HashMap",4633,222384
"java.util.ArrayList$Itr",4182,133824
"java.util.HashMap$Node[]",4072,680016
"org.apache.commons.collections4.map.AbstractReferenceMap$SoftRef",3852,154080
"java.lang.ref.ReferenceQueue",3796,121472
"java.lang.Object",3792,60672
"java.lang.ref.ReferenceQueue$Lock",3790,60640
"org.apache.commons.collections4.map.ReferenceMap",3556,256032
"java.util.LinkedList$Node",3507,84168
"org.apache.jackrabbit.spi.commons.name.NameFactoryImpl$NameImpl",3422,109504
"org.apache.jackrabbit.core.query.lucene.DocId$PlainDocId",3277,52432
"org.apache.jackrabbit.core.nodetype.NodeTypeImpl",3175,127000
"org.apache.commons.collections4.map.AbstractReferenceMap$WeakRef",2923,93536
"org.apache.commons.collections4.map.AbstractLinkedMap$LinkEntry",2816,112640
"org.apache.jackrabbit.core.cache.ConcurrentCache$1",2741,175424
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceValues",2651,42416
"java.util.LinkedHashMap$LinkedValues",2646,42336
"java.lang.String[]",2515,91120
"org.apache.jackrabbit.core.value.InternalValue[]",2404,55728
"char[]",2274,20757368
"java.lang.StringBuilder",2208,52992
"java.util.HashMap$KeyIterator",1975,79000
"org.apache.jackrabbit.spi.commons.name.PathMap$Element[]",1962,46984
"java.lang.Class[]",1932,40464
"org.apache.jackrabbit.spi.commons.name.PathMap$Element",1913,76520
"org.apache.jackrabbit.core.value.InternalValue",1845,44280
"org.apache.jackrabbit.core.CachingHierarchyManager$LRUEntry",1774,56768
"org.apache.jackrabbit.core.journal.MemoryJournal$MemoryRecord",1774,42576
"java.lang.StackTraceElement",1630,78240
"org.apache.jackrabbit.core.persistence.util.NodePropBundle$PropertyEntry",1438,46016
"java.util.concurrent.locks.ReentrantLock",1401,22416
"java.util.HashMap$KeySet",1371,21936
"java.util.LinkedList",1323,42336
"java.util.concurrent.atomic.AtomicLong",1318,31632
"org.apache.lucene.index.Term",1313,31512
"java.util.concurrent.locks.ReentrantLock$NonfairSync",1307,41824
"long[]",1286,69792
"java.util.Collections$UnmodifiableCollection$1",1258,30192
"org.apache.jackrabbit.core.observation.EventImpl",1237,49480
"java.util.Arrays$ArrayList",1201,28824
"org.apache.jackrabbit.core.state.NameSet",1194,28656
"org.apache.derby.impl.services.cache.ClockPolicy$Holder",1178,37696
"org.apache.commons.collections4.map.LinkedMap",1089,60984
"org.apache.derby.impl.services.cache.CacheEntry",1084,43360
"org.apache.jackrabbit.core.state.NodeState",1054,67456
"java.lang.Class",995,318400
"java.lang.reflect.Method",980,86240
"java.util.HashSet",959,15344
"java.lang.ref.WeakReference",954,30528
"java.util.TreeMap$Entry",949,37960
"org.apache.derby.impl.store.raw.data.StoredRecordHeader$OverflowInfo",942,30144
"org.apache.derby.iapi.store.raw.PageKey",936,22464
"org.apache.jackrabbit.core.persistence.util.NodePropBundle$ChildNodeEntry",924,22176
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping",915,21960
"org.apache.jackrabbit.spi.Path$Element[]",909,36472
"java.util.zip.CRC32",858,13728
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping[]",857,20608
"org.apache.derby.impl.services.uuid.BasicUUID",845,27040
"java.util.HashMap$EntryIterator",838,33520
"org.apache.jackrabbit.core.persistence.util.NodePropBundle",820,45920
"java.lang.Integer",818,13088
"org.apache.jackrabbit.core.virtual.VirtualPropertyState",806,38688
"java.util.LinkedHashMap$LinkedValueIterator",796,25472
"java.lang.Long",781,18744
"org.apache.jackrabbit.core.state.ChildNodeEntry",758,24256
"java.util.concurrent.CopyOnWriteArrayList",698,16752
"boolean[]",693,19040
"org.apache.derby.iapi.services.io.FormatIdInputStream",679,32592
"org.apache.lucene.index.TermInfosReader$CloneableTerm",675,10800
"org.apache.derby.iapi.services.io.ArrayInputStream",669,21408
"java.io.File",663,21216
"org.apache.derby.impl.store.raw.data.StoredRecordHeader[]",651,155360
"org.apache.derby.catalog.types.TypeDescriptorImpl",644,25760
"java.lang.StringBuffer",633,20256
"org.apache.lucene.index.TermInfosReader$TermInfoAndOrd",619,29712
"org.apache.derby.impl.sql.compile.SQLParser$JJCalls",601,19232
"org.apache.derby.catalog.types.BaseTypeIdImpl",578,18496
"org.apache.derby.iapi.types.DataTypeDescriptor",573,13752
"java.util.Collections$SynchronizedSet",558,13392
"org.apache.jackrabbit.core.state.ChildNodeEntries",558,13392
"java.util.StringJoiner",553,22120
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceValuesIterator",540,25920
"org.apache.derby.impl.store.raw.data.StoredPage",534,102528
"org.apache.jackrabbit.core.state.PropertyState",525,21000
"java.util.Hashtable$Entry",522,16704
"org.apache.derby.iapi.types.DataValueDescriptor[]",513,18400
"org.apache.derby.iapi.types.SQLLongint",506,12144
"java.util.Collections$SynchronizedMap",501,16032
