"Time [s]","Process load","System load"
0.0,0,0
1.0,16.4,21.87
2.0,13.01,16.01
3.0,18.49,31.38
4.0,19.51,23.4
5.0,22.65,27.47
6.0,23.44,28.77
7.0,21.48,27.35
8.0,31.5,40.88
9.01,29.99,33.74
10.01,30.82,35.12
11.01,30.98,36.45
12.01,28.43,34.79
13.01,31.9,37.23
14.01,31.38,37.76
15.01,29.95,36.06
16.02,25.98,30.01
17.02,29.26,36.81
18.02,28.25,35.28
19.02,26.77,30.41
20.02,29.42,35.41
21.02,29.69,39.31
22.02,22.39,26.3
23.02,30.99,38.92
24.02,25.51,33.72
25.02,23.83,27.86
26.03,23.82,29.95
27.03,29.03,37.75
28.03,26.04,29.69
29.03,18.23,24.08
30.03,18.2,24.58
31.03,17.32,21.22
32.03,18.2,23.8
33.03,22,27.2
34.03,20.7,25.25
35.03,17.31,22.26
36.03,14.17,20.94
37.03,13.28,17.7
38.04,13.02,18.1
39.04,12.62,18.61
40.04,12.48,18.21
41.04,15.1,18.75
42.04,15.75,21.87
43.04,13.91,18.73
44.04,17.45,21.35
45.04,16.53,22.65
46.04,15.2,21.3
47.04,20.57,26.7
48.05,16.92,27.99
49.05,24.35,33.59
50.05,20.96,24.48
51.05,19.2,28.94
52.05,23.05,30.99
53.05,25.2,29.23
54.05,26.69,33.99
55.05,22.91,29.55
56.05,28.25,37.76
57.06,63.8,79.55
58.06,56.9,74.08
59.06,40.1,54.69
60.06,34.11,46.48
61.06,42.18,47.91
62.06,37.89,46.22
63.06,27.83,39.27
64.06,26.55,33.2
65.06,25.13,29.68
66.06,29.16,39.19
67.06,26.95,35.94
68.06,15.62,20.44
69.06,22.14,29.03
70.06,32.15,42.45
71.06,27.73,31.38
72.06,24.48,31.5
73.07,22.65,28.9
74.07,20.57,23.7
75.07,22.13,26.69
76.07,18.71,23.77
77.07,19.01,22.52
78.07,20.15,24.32
79.07,19.64,24.45
80.07,20.67,26.53
81.08,17.41,21.44
82.08,18.35,23.95
83.08,18.23,23.56
84.08,18.35,21.75
85.08,19.75,24.16
86.08,18.61,25
87.08,16.66,19.65
88.08,18.1,22.26
89.08,16.8,23.17
90.08,18.22,23.44
91.09,16.78,21.07
92.09,18.35,24.21
93.09,18.61,23.3
94.09,16.92,20.96
95.09,18.23,22.91
96.09,18.22,24.74
97.09,17.97,19.91
98.09,17.18,23.95
99.09,20.81,27.32
100.09,24.09,29.29
101.09,18.1,22.79
102.09,18.87,25.38
103.09,17.7,21.61
104.09,13.8,17.96
105.09,11.97,17.19
106.09,16.01,19.92
107.09,17.05,21.35
108.1,19.79,26.17
109.1,19.14,25
110.1,18.87,22.13
111.1,18.21,24.45
112.1,19.4,25.39
113.1,20.44,24.35
114.1,18.61,25.13
115.1,19.66,27.73
116.1,19.65,24.35
117.1,18.62,23.43
118.1,17.7,24.09
119.1,21.48,25.51
120.11,20.56,24.61
121.11,18.23,26.81
122.11,18.22,23.7
123.11,19.75,23.91
124.11,20.31,34.11
125.11,21.74,35.15
126.11,19.79,29.42
127.11,20.18,33.45
128.11,20.66,35.34
129.11,18.35,27.6
130.12,24.97,37.85
131.12,19.75,33.13
132.12,18.87,27.73
133.12,19.14,31.38
134.12,18.97,31.83
135.12,24.2,34.47
136.12,16.92,29.03
137.13,12.73,26.63
138.13,14.32,24.6
139.13,16.66,28.39
140.13,23.95,38.01
141.13,19.79,30.85
142.13,17.16,30.56
143.13,16.52,29.27
144.13,18.1,31.37
145.13,20.18,32.81
146.13,22.52,36.06
147.13,20.7,32.03
148.13,18.23,29.81
149.13,18.75,32.94
150.13,18.87,32.03
151.14,18.23,27.73
152.15,20.93,34.28
153.15,20.4,35.07
154.15,19,28
155.15,18.75,33.33
156.15,20.18,32.41
157.16,18.2,27.58
158.16,19.4,32.8
159.16,18.62,35.29
160.16,22.78,31.5
161.16,16.92,32.94
162.16,18.73,31.21
163.16,18.06,38.07
164.16,17.82,37.59
165.16,18.75,31.64
166.16,18.49,31.37
167.17,19.12,30.7
168.17,25.9,40.88
169.17,19.79,29.55
170.17,20.16,33.3
171.17,20.93,33.55
172.17,19.01,29.43
173.17,17.7,27.73
174.17,24.05,38.76
175.17,19.92,31.64
176.17,18.61,31.37
177.17,19.4,41.4
178.18,20.14,32.1
179.18,17.69,29.91
180.18,23.05,37.63
181.18,18.95,32.45
182.18,20.05,33.98
183.18,18.88,32.94
184.18,16.4,28.65
185.18,17.83,30.99
186.18,16.54,36.85
187.18,18.61,39.96
188.18,24.6,47.4
189.19,19.62,49.11
190.19,19.08,34.27
191.19,17.7,33.07
192.19,17.77,32.71
193.19,16.92,29.16
194.2,18.49,31.64
195.2,20.57,35.55
196.2,11.81,22.2
197.2,16.14,29.42
198.2,12.89,28.77
199.2,13.41,27.08
200.2,13.8,26.56
201.2,13.01,27.47
202.21,12.21,24.81
203.21,12.63,27.08
204.21,12.2,25.85
205.21,19.79,32.68
206.21,11.2,30.85
207.21,25.49,43.44
208.21,29.16,39.71
209.21,26.69,43.48
210.21,29.29,42.58
211.21,29.43,41.92
212.21,24.08,41.92
213.21,25.91,41.4
214.22,2.73,16.53
215.22,1.82,16.28
216.22,2.34,13.92
217.22,2.2,14.55
218.22,2.86,17.43
219.22,3.25,16.27
220.22,24.35,38.67
221.22,20.44,37.36
222.22,15.1,29.55
223.22,17.93,31.32
224.22,19.65,41.4
225.23,13.93,27.99
226.23,13.38,26.5
227.23,14.97,32.55
228.23,18.61,33.98
229.23,17.29,23.91
230.23,13.4,20.44
231.23,11.32,16.27
232.23,15.57,22.84
233.24,20.18,28.9
234.24,21.09,28.25
235.24,18.1,23.57
236.24,14.31,21.71
237.24,13.51,23.51
238.24,12.75,18.35
239.24,14.71,22.4
240.24,13.28,17.57
241.24,11.45,16.53
242.24,13.93,23.57
243.24,24.73,32.55
244.24,15.89,22
245.24,12.1,19.79
246.25,11.83,17.82
247.25,14.58,18.35
248.25,13.27,23.05
249.25,14.19,24.6
250.25,11.72,16.27
251.25,13.54,21.74
252.25,16.09,25.44
253.25,14.45,18.61
254.25,10.67,18.62
255.25,12.1,20.05
256.26,9.88,11.05
257.26,10.94,16.66
258.26,15.23,21.87
259.26,10.26,12.99
260.26,15.5,22.52
261.26,30.2,39.45
262.26,46.43,53.2
263.26,71.74,83.06
264.26,63.8,72.79
265.27,58.34,67.44
266.27,54.69,64.97
267.27,52.15,57.49
268.27,38.67,48.83
269.27,38.2,44.7
270.27,35.15,41.79
271.27,25.98,32.36
272.28,18.45,24.04
273.28,31.5,37.1
274.28,29.3,39.7
275.28,33.59,38.93
276.28,32.81,39.45
277.28,33.45,42.05
278.28,28.78,33.99
279.28,33.33,40.35
280.28,32.67,45.57
281.28,30.99,36.2
282.28,30.2,36.71
283.28,21.09,29.03
284.28,15.75,19.66
285.29,28.17,36.6
286.29,34.24,43.35
287.29,37.63,41.66
288.29,37.5,48.17
289.29,32.77,41.75
290.29,27.86,33.85
291.29,27.08,33.98
292.29,22.52,32.15
293.29,30.01,34.56
294.29,32.03,41.4
295.3,26.01,30.43
296.3,21.48,26.82
297.3,15.45,21.55
298.3,19.79,26.16
299.3,27.73,31.77
300.3,18.87,25
301.3,19.66,25
302.3,18.18,22.34
303.3,20.05,31.12
304.31,30.59,43.61
305.31,26.51,30.79
306.31,28.77,36.72
307.31,24.6,30.46
308.31,26.93,30.69
309.31,33.2,39.58
310.31,21.87,30.08
311.31,16.92,22.52
312.31,4.69,11.2
313.31,1.81,9.24
314.31,3.12,6.37
315.31,2.86,9.1
316.31,3.9,8.72
317.32,10.93,12.89
318.32,14.45,19.79
319.32,12.89,19.14
320.32,22.78,26.3
321.32,16.01,26.43
322.32,18.61,26.43
323.32,16.01,20.57
324.32,27.08,34.5
325.32,27.47,35.68
326.32,31.05,34.82
327.32,34.11,41.53
328.33,33.14,41.84
329.33,32.15,36.19
330.33,15.36,21.49
331.33,2.85,8.98
332.33,2.86,4.67
333.34,3.62,9.69
334.34,33.03,41.1
335.34,39.71,43.87
336.34,27.73,34.37
337.34,32.9,40.06
338.34,36.38,40.54
339.34,24.22,34.5
340.35,2.46,10.94
341.35,4.55,8.45
342.35,21.33,28.36
343.35,12.75,20.83
