"Time [s]","Committed size","Free size","Used size"
0.0,258048000,250880000,7168000
1.0,258048000,238980000,19068000
2.0,48128000,27358000,20770000
3.0,48128000,26950000,21178000
4.0,48128000,15231000,32897000
5.0,154624000,113173000,41451000
6.0,154624000,76547000,78077000
7.0,154624000,90471000,64153000
8.0,154624000,83295000,71329000
9.01,154624000,63829000,90795000
10.01,154624000,73058000,81566000
11.01,154624000,57895000,96729000
12.01,154624000,51206000,103418000
13.01,154624000,59443000,95181000
14.01,193536000,100953000,92583000
15.01,193536000,38482000,155054000
16.02,193536000,38945000,154591000
17.02,193536000,110431000,83105000
18.02,193536000,44417000,149119000
19.02,193536000,33839000,159697000
20.02,193536000,100888000,92648000
21.02,193536000,94191000,99345000
22.02,193536000,61881000,131655000
23.02,193536000,55739000,137797000
24.02,193536000,51011000,142525000
25.02,193536000,93740000,99796000
26.03,193536000,55312000,138224000
27.03,193536000,35097000,158439000
28.03,193536000,75784000,117752000
29.03,193536000,79371000,114165000
30.03,193536000,59757000,133779000
31.03,193536000,51734000,141802000
32.03,193536000,44780000,148756000
33.03,193536000,54188000,139348000
34.03,193536000,32637000,160899000
35.03,193536000,50653000,142883000
36.03,193536000,41979000,151557000
37.03,193536000,36925000,156611000
38.04,193536000,30368000,163168000
39.04,193536000,31353000,162183000
40.04,193536000,20560000,172976000
41.04,193536000,23590000,169946000
42.04,244736000,118958000,125778000
43.04,244736000,54668000,190068000
44.04,244736000,101429000,143307000
45.04,244736000,39386000,205350000
46.04,244736000,58868000,185868000
47.04,244736000,59298000,185438000
48.05,244736000,107706000,137030000
49.05,244736000,88034000,156702000
50.05,244736000,54653000,190083000
51.05,244736000,97981000,146755000
52.05,244736000,53266000,191470000
53.05,244736000,79059000,165677000
54.05,244736000,40497000,204239000
55.05,244736000,89044000,155692000
56.05,244736000,44914000,199822000
57.06,244736000,58743000,185993000
58.06,244736000,55841000,188895000
59.06,244736000,37207000,207529000
60.06,244736000,62899000,181837000
61.06,244736000,60111000,184625000
62.06,244736000,53546000,191190000
63.06,244736000,61555000,183181000
64.06,244736000,59343000,185393000
65.06,244736000,61130000,183606000
66.06,244736000,73488000,171248000
67.06,244736000,74658000,170078000
68.06,244736000,41231000,203505000
69.06,244736000,65491000,179245000
70.06,244736000,49161000,195575000
71.06,244736000,38652000,206084000
72.06,244736000,36296000,208440000
73.07,244736000,41190000,203546000
74.07,244736000,22795000,221941000
75.07,373760000,150737000,223023000
76.07,373760000,94442000,279318000
77.07,373760000,72058000,301702000
78.07,373760000,143314000,230446000
79.07,373760000,74354000,299406000
80.07,373760000,64866000,308894000
81.08,373760000,65122000,308638000
82.08,373760000,92778000,280982000
83.08,373760000,110668000,263092000
84.08,373760000,59205000,314555000
85.08,373760000,66333000,307427000
86.08,373760000,68226000,305534000
87.08,373760000,59970000,313790000
88.08,373760000,51875000,321885000
89.08,373760000,79987000,293773000
90.08,373760000,81166000,292594000
91.09,373760000,71029000,302731000
92.09,373760000,71453000,302307000
93.09,373760000,52592000,321168000
94.09,373760000,66792000,306968000
95.09,373760000,45695000,328065000
96.09,373760000,55204000,318556000
97.09,373760000,55942000,317818000
98.09,373760000,47551000,326209000
99.09,524288000,181837000,342451000
100.09,524288000,252145000,272143000
101.09,524288000,119046000,405242000
102.09,524288000,146934000,377354000
103.09,524288000,160596000,363692000
104.09,524288000,194545000,329743000
105.09,524288000,219470000,304818000
106.09,524288000,91996000,432292000
107.09,524288000,125094000,399194000
108.1,524288000,173835000,350453000
109.1,524288000,229770000,294518000
110.1,524288000,142952000,381336000
111.1,524288000,146367000,377921000
112.1,524288000,99243000,425045000
113.1,524288000,132714000,391574000
114.1,524288000,271352000,252936000
115.1,524288000,144384000,379904000
116.1,524288000,206437000,317851000
117.1,524288000,249364000,274924000
118.1,524288000,145438000,378850000
119.1,524288000,194038000,330250000
120.11,524288000,246697000,277591000
121.11,524288000,104366000,419922000
122.11,524288000,126934000,397354000
123.11,524288000,158267000,366021000
124.11,524288000,215314000,308974000
125.11,524288000,121647000,402641000
126.11,524288000,177772000,346516000
127.11,524288000,201075000,323213000
128.11,524288000,117647000,406641000
129.11,524288000,142360000,381928000
130.12,524288000,151565000,372723000
131.12,524288000,172028000,352260000
132.12,524288000,181316000,342972000
133.12,524288000,91235000,433053000
134.12,524288000,118432000,405856000
135.12,524288000,145480000,378808000
136.12,524288000,156262000,368026000
137.13,524288000,98573000,425715000
138.13,524288000,100877000,423411000
139.13,524288000,114913000,409375000
140.13,524288000,138895000,385393000
141.13,524288000,172701000,351587000
142.13,524288000,127408000,396880000
143.13,524288000,150344000,373944000
144.13,524288000,164777000,359511000
145.13,524288000,93123000,431165000
146.13,524288000,113889000,410399000
147.13,524288000,223789000,300499000
148.13,524288000,219490000,304798000
149.13,524288000,136564000,387724000
150.13,524288000,185342000,338946000
151.14,524288000,208562000,315726000
152.15,524288000,217408000,306880000
153.15,524288000,104836000,419452000
154.15,524288000,241662000,282626000
155.15,524288000,158718000,365570000
156.15,524288000,234741000,289547000
157.16,524288000,151815000,372473000
158.16,524288000,227186000,297102000
159.16,524288000,157061000,367227000
160.16,524288000,223073000,301215000
161.16,524288000,137588000,386700000
162.16,524288000,227333000,296955000
163.16,524288000,188923000,335365000
164.16,524288000,122366000,401922000
165.16,524288000,176983000,347305000
166.16,524288000,214044000,310244000
167.17,524288000,120912000,403376000
168.17,524288000,187486000,336802000
169.17,524288000,86628000,437660000
170.17,524288000,164320000,359968000
171.17,524288000,172575000,351713000
172.17,524288000,181393000,342895000
173.17,524288000,102553000,421735000
174.17,524288000,145654000,378634000
175.17,524288000,193010000,331278000
176.17,524288000,109051000,415237000
177.17,524288000,151245000,373043000
178.18,524288000,178021000,346267000
179.18,524288000,95127000,429161000
180.18,524288000,132432000,391856000
181.18,524288000,187603000,336685000
182.18,524288000,181837000,342451000
183.18,524288000,112724000,411564000
184.18,524288000,160135000,364153000
185.18,524288000,90503000,433785000
186.18,524288000,144154000,380134000
187.18,524288000,84770000,439518000
188.18,524288000,147665000,376623000
189.19,524288000,93393000,430895000
190.19,524288000,224843000,299445000
191.19,524288000,181302000,342986000
192.19,524288000,108598000,415690000
193.19,524288000,174058000,350230000
194.2,524288000,102897000,421391000
195.2,524288000,181074000,343214000
196.2,524288000,116060000,408228000
197.2,524288000,190503000,333785000
198.2,524288000,129086000,395202000
199.2,524288000,233016000,291272000
200.2,524288000,213777000,310511000
201.2,524288000,147732000,376556000
202.21,524288000,168859000,355429000
203.21,524288000,101275000,423013000
204.21,524288000,192352000,331936000
205.21,524288000,152933000,371355000
206.21,524288000,143200000,381088000
207.21,524288000,91289000,432999000
208.21,524288000,201930000,322358000
209.21,524288000,135966000,388322000
210.21,524288000,225088000,299200000
211.21,524288000,288547000,235741000
212.21,524288000,237124000,287164000
213.21,524288000,181413000,342875000
214.22,524288000,181384000,342904000
215.22,524288000,180733000,343555000
216.22,524288000,179869000,344419000
217.22,524288000,179802000,344486000
218.22,524288000,179354000,344934000
219.22,524288000,178341000,345947000
220.22,524288000,106666000,417622000
