"Name","Instance Count","Size (bytes)"
"java.util.LinkedHashMap$Entry",23345,933800
"org.apache.jackrabbit.core.cache.concurrent.ConcurrentCache$E",22919,550056
"byte[]",21413,15032408
"org.apache.derby.impl.store.raw.data.StoredRecordHeader",20921,669472
"java.lang.String",16939,406536
"java.util.HashMap$Node",15394,492608
"org.apache.jackrabbit.spi.commons.name.path.NamePath",11078,443120
"org.apache.derby.impl.store.raw.data.RecordId",9722,233328
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry",8268,264576
"org.apache.jackrabbit.core.id.NodeId",5737,183584
"java.util.concurrent.ConcurrentHashMap$Node",5197,166304
"org.apache.commons.collections4.map.AbstractHashedMap$HashEntry[]",4996,691264
"java.lang.Object[]",4826,452696
"java.lang.ref.ReferenceQueue",4272,136704
"org.apache.commons.collections4.map.ReferenceMap",4142,298224
"java.lang.ref.ReferenceQueue$Lock",4005,64080
"org.apache.commons.collections4.map.AbstractReferenceMap$SoftRef",3886,155440
"java.util.HashMap",3796,182208
"java.lang.Object",3788,60608
"java.util.HashMap$Node[]",3575,564408
"java.util.ArrayList",3483,83592
"org.apache.jackrabbit.core.query.lucene.DocId$PlainDocId",3276,52416
"org.apache.jackrabbit.core.nodetype.NodeTypeImpl",3256,130240
"org.apache.jackrabbit.core.cache.concurrent.ConcurrentCache$1",3023,193472
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceValues",2956,47296
"java.util.LinkedHashMap$LinkedValues",2880,46080
"org.apache.jackrabbit.core.id.PropertyId",2853,68472
"org.apache.commons.collections4.map.AbstractReferenceMap$WeakRef",2785,89120
"org.apache.jackrabbit.core.value.InternalValue[]",2487,57232
"org.apache.commons.collections4.map.AbstractLinkedMap$LinkEntry",2245,89800
"org.apache.jackrabbit.spi.commons.name.path.map.PathMap$Element",2041,81640
"int[]",1982,430656
"org.apache.jackrabbit.core.value.InternalValue",1869,44856
"org.apache.jackrabbit.core.CachingHierarchyManager$LRUEntry",1804,57728
"org.apache.jackrabbit.core.journal.MemoryJournal$MemoryRecord",1724,41376
"java.lang.String[]",1649,48424
"org.apache.jackrabbit.spi.commons.name.path.map.PathMap$Element[]",1561,37464
"java.lang.Class[]",1521,32720
"org.apache.jackrabbit.spi.commons.name.NameFactoryImpl$NameImpl",1421,45472
"java.util.concurrent.atomic.AtomicLong",1416,33984
"org.apache.jackrabbit.core.persistence.util.NodePropBundle$PropertyEntry",1344,43008
"java.util.LinkedList$Node",1307,31368
"char[]",1286,10401712
"java.util.LinkedList",1231,39392
"java.util.concurrent.locks.ReentrantLock$NonfairSync",1212,38784
"java.util.concurrent.locks.ReentrantLock",1192,19072
"long[]",1095,58000
"org.apache.commons.collections4.map.LinkedMap",1080,60480
"org.apache.derby.impl.services.cache.ClockPolicy$Holder",1062,33984
"java.util.HashMap$KeySet",1029,16464
"org.apache.jackrabbit.core.state.NameSet",1025,24600
"org.apache.jackrabbit.core.state.NodeState",1019,65216
