"Time [s]","Process load","System load"
0.0,0,0
1.0,9.1,16.51
2.0,0.25,7.28
3.01,1.03,4.28
4.01,0.25,7.91
5.01,2.86,11.96
6.02,1.68,5.97
7.02,0.25,6.11
8.02,0.78,7.15
9.02,0.52,5.46
10.03,0,6.23
11.03,0,4.66
12.03,0.39,3.89
13.04,0.64,5.97
14.04,0.39,7.42
15.04,0.25,2.34
16.04,0.77,6.08
17.05,0.64,8.43
18.05,0.39,5.19
19.05,1.16,7.93
20.06,0.38,6.86
21.06,0.52,3.63
22.07,0.38,6.62
23.07,0.91,7.51
24.08,0.51,3.75
25.08,0.39,6.73
26.09,0.25,5.44
27.09,0.91,3.11
28.09,0.12,5.7
29.1,0.26,8.43
30.1,0.77,4.93
31.11,0,5.96
32.11,0.26,6.76
33.11,1.16,4.02
34.11,0.52,6.89
35.12,0.25,6.1
36.12,1.17,3.23
37.12,0.51,6.11
38.12,2.08,7.8
39.13,0.39,3.89
40.13,12.32,19.73
41.14,0.26,7.64
42.14,1.16,4.95
43.14,1.68,8.03
44.14,0.39,8.59
45.15,0.39,2.45
46.15,0.39,5.58
47.15,2.21,9.22
48.16,0.9,5.7
49.16,0.64,6.76
50.16,0.64,9.34
51.16,0.78,4.81
52.17,0.13,5.98
53.17,0.39,5.95
54.18,0.9,4.79
55.18,0.64,7.79
56.18,0.39,6.22
57.19,0.25,3.36
58.19,0.39,6.22
59.2,0.13,7.03
60.2,0.25,6.38
61.2,0.25,5.58
62.2,0.39,5.34
63.2,0.9,6.76
64.2,0.39,5.07
65.2,0.26,6.88
66.2,0.25,4.03
67.21,1.04,6.37
68.21,0.25,7.66
69.21,0.38,5.82
70.22,0.64,5.57
71.22,0.25,6.25
72.22,0.38,3.88
73.23,0.52,4.91
74.23,0.51,8.69
75.24,1.17,5.06
76.24,0.12,4.79
77.25,0.52,7.12
78.25,0.25,3.51
79.26,1.68,5.05
80.26,0,5.72
81.26,8.33,14.05
82.26,5.71,10.26
83.26,0.12,7.15
84.26,3.25,11.33
85.27,0.64,5.56
86.27,0.64,7.39
87.28,0.78,7.12
88.28,2.21,4.54
89.28,0.25,8.55
90.29,0.25,5.59
91.29,0.91,7.53
92.29,0.38,6.64
93.29,0.26,6.11
94.3,0.12,4.14
95.3,0.39,7.65
96.3,0.13,4.54
97.31,1.03,4.27
98.31,0.25,7
99.32,0.64,5.72
100.32,0.52,5.98
101.32,0.39,5.98
102.32,0.12,3.77
103.32,0.39,4.55
104.32,0.25,6.87
105.33,0.52,3.9
106.33,0.78,5.85
107.33,0.38,7.8
108.33,0.65,5.19
109.34,1.03,5.19
110.34,0.25,7.13
111.34,0.51,7.79
112.35,0.13,5.18
113.35,0.64,6.51
114.35,0.65,5.2
115.35,0.38,4.27
116.36,0.39,7.15
117.36,0.13,6.25
118.36,1.03,4.54
119.36,0.12,5.7
120.36,1.95,7.4
121.37,0.51,6.1
122.37,1.82,8.05
123.37,8.17,13.5
124.37,0.39,2.6
125.38,1.94,7.91
126.38,0.13,7.25
127.38,2.47,6.37
128.39,0.25,7.01
129.39,0.39,5.71
130.39,0.65,6.38
131.39,0.64,5.98
132.39,0.91,7.79
133.4,0.9,5.2
134.4,0.39,4.81
135.4,0.78,7.15
136.4,0.77,5.19
137.41,0.39,5.95
138.41,0.77,8.55
139.42,0.78,4.92
140.42,0.9,5.2
141.42,0.25,5.83
142.42,1.04,5.32
143.43,0.26,5.43
144.43,0.25,6.36
145.43,0.78,4.95
146.43,0.39,5.85
147.44,0.51,7.15
148.44,0.52,7.28
149.44,3.63,13.38
150.45,14.65,21.26
151.45,0.25,3.77
152.45,0.9,6.1
153.46,0.78,6.73
154.46,0.64,5.82
155.46,0.52,5.46
156.47,0.77,5.44
157.47,0.52,5.83
158.48,0.64,4.15
159.48,0.52,6.09
160.48,0.51,5.98
161.48,0.39,4.41
162.49,0.51,6.99
163.49,0.78,6.11
164.49,0.91,6.89
165.49,0.51,7.27
166.5,0.13,3.37
167.5,0.65,5.85
168.5,0.12,7.68
169.5,0.39,4.28
170.5,0.64,5.45
171.51,0.78,7.12
172.51,1.95,7.91
173.52,12.84,17.91
174.52,0.26,8.3
175.52,0.25,4.14
176.53,0.51,5.06
177.53,0.52,8.16
178.54,0.64,6.22
179.54,0.13,5.07
180.54,0.39,7.14
181.54,2.45,11.29
182.55,10.5,21.27
183.55,6.25,14.45
184.56,0.52,6.74
