"Time [s]","Committed size","Free size","Used size"
0.0,258048000,250880000,7168000
1.0,258048000,234575000,23473000
2.0,258048000,234575000,23473000
3.0,258048000,251255000,6793000
4.0,258048000,250952000,7096000
5.0,258048000,248475000,9573000
6.0,258048000,248475000,9573000
7.01,258048000,248475000,9573000
8.01,258048000,247268000,10780000
9.01,258048000,247268000,10780000
10.01,258048000,247161000,10887000
11.01,258048000,247161000,10887000
12.01,258048000,247161000,10887000
13.01,258048000,247161000,10887000
14.01,258048000,247161000,10887000
15.01,258048000,247161000,10887000
16.01,258048000,247161000,10887000
17.02,258048000,246137000,11911000
18.02,258048000,246137000,11911000
19.02,258048000,244599000,13449000
20.02,258048000,244599000,13449000
21.02,258048000,243968000,14080000
22.02,258048000,243968000,14080000
23.02,258048000,243968000,14080000
24.02,258048000,243968000,14080000
25.02,258048000,243671000,14377000
26.02,258048000,243671000,14377000
27.02,258048000,243671000,14377000
28.02,258048000,243671000,14377000
29.02,258048000,243671000,14377000
30.03,258048000,243671000,14377000
31.03,258048000,243671000,14377000
32.03,258048000,243671000,14377000
33.03,258048000,243671000,14377000
34.03,258048000,242105000,15943000
35.03,258048000,242105000,15943000
36.03,258048000,241031000,17017000
37.03,258048000,241031000,17017000
38.04,258048000,238455000,19593000
39.04,258048000,238455000,19593000
40.04,258048000,231287000,26761000
41.04,258048000,231287000,26761000
42.04,258048000,229239000,28809000
43.04,258048000,227705000,30343000
44.04,258048000,227705000,30343000
45.04,258048000,226681000,31367000
46.04,258048000,226681000,31367000
47.05,258048000,224317000,33731000
48.05,258048000,224317000,33731000
49.05,258048000,223927000,34121000
50.05,258048000,223927000,34121000
51.05,258048000,223927000,34121000
52.05,258048000,223927000,34121000
53.05,258048000,223927000,34121000
54.05,258048000,223927000,34121000
55.05,258048000,223927000,34121000
56.05,258048000,223927000,34121000
57.05,258048000,223927000,34121000
58.05,258048000,249784000,8264000
59.06,258048000,249274000,8774000
60.06,258048000,248250000,9798000
61.06,258048000,248250000,9798000
62.06,258048000,247224000,10824000
63.06,258048000,247224000,10824000
64.06,258048000,247224000,10824000
65.06,258048000,247224000,10824000
66.06,258048000,247224000,10824000
67.06,258048000,247224000,10824000
68.06,258048000,247224000,10824000
69.06,258048000,247224000,10824000
70.06,258048000,247224000,10824000
71.06,258048000,247224000,10824000
72.06,258048000,247224000,10824000
73.06,258048000,247224000,10824000
74.07,258048000,247224000,10824000
75.07,258048000,246591000,11457000
76.07,258048000,246591000,11457000
77.07,258048000,245688000,12360000
78.07,258048000,245688000,12360000
79.07,258048000,243130000,14918000
80.07,258048000,243130000,14918000
81.07,258048000,240058000,17990000
82.07,258048000,234424000,23624000
83.07,258048000,234424000,23624000
84.07,258048000,231352000,26696000
85.08,258048000,231352000,26696000
86.08,258048000,230209000,27839000
87.08,258048000,230209000,27839000
88.08,258048000,228878000,29170000
89.08,258048000,228878000,29170000
90.08,258048000,228758000,29290000
91.08,258048000,228758000,29290000
92.08,258048000,228758000,29290000
93.08,258048000,228758000,29290000
94.08,258048000,228758000,29290000
95.09,258048000,228758000,29290000
96.09,258048000,228758000,29290000
97.09,258048000,228758000,29290000
98.09,258048000,228758000,29290000
99.09,258048000,227920000,30128000
100.09,258048000,227920000,30128000
101.09,258048000,227920000,30128000
102.09,258048000,227920000,30128000
103.09,258048000,227800000,30248000
104.09,258048000,227800000,30248000
105.1,258048000,227800000,30248000
106.1,258048000,227800000,30248000
107.1,258048000,227800000,30248000
108.1,258048000,227800000,30248000
109.1,258048000,227800000,30248000
110.1,258048000,227800000,30248000
