"Name","Instance Count","Size (bytes)"
"java.lang.Integer",98971,1583536
"byte[]",14021,7746888
"java.lang.String",5719,137256
"java.lang.StringBuilder",2763,66312
"char[]",2187,573904
"java.lang.StackTraceElement",1442,69216
"java.io.File",1337,42784
"java.lang.Object",1322,21152
"sun.nio.fs.WindowsFileAttributeViews$Basic",1164,27936
"java.lang.Object[]",818,34376
"java.io.FileCleanable",766,42896
"sun.nio.fs.WindowsPath",675,27000
"java.lang.Long",632,15168
"java.util.HashMap$Node",601,19232
"org.apache.commons.io.file.Counters$LongCounter",575,13800
"java.util.concurrent.ConcurrentHashMap$Node",555,17760
"java.lang.ref.WeakReference",547,17504
"java.lang.String[]",536,28304
"int[]",525,52904
"sun.nio.fs.WindowsFileAttributes",467,29888
"java.util.LinkedHashMap$Entry",284,11360
"java.math.BigInteger",278,11120
"java.io.FileDescriptor",276,11040
"byte[][]",273,8728
"sun.nio.fs.WindowsPath$WindowsPathWithAttributes",267,12816
"java.nio.file.FileTreeWalker$Event",261,8352
"java.security.DrbgParameters$NextBytes",253,6072
"sun.nio.fs.WindowsPathParser$Result",250,6000
"sun.util.locale.LocaleObjectCache$CacheEntry",206,8240
"java.lang.Class[]",197,4552
"sun.nio.fs.WindowsNativeDispatcher$FirstFile",180,5760
"sun.nio.fs.WindowsDirectoryStream",170,8160
"java.io.FileOutputStream$1",169,2704
"java.io.FileOutputStream",159,5088
"sun.nio.fs.WindowsDirectoryStream$WindowsDirectoryIterator",156,4992
"java.io.BufferedOutputStream",154,4928
"java.io.ByteArrayInputStream",154,4928
"java.nio.HeapByteBuffer",149,8344
"org.apache.jackrabbit.core.data.AsyncUploadCacheResult",147,3528
"org.apache.jackrabbit.core.data.LazyFileInputStream",145,4640
"java.nio.StringCharBuffer",139,7784
"java.lang.ref.Finalizer",137,5480
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode",136,4352
"java.nio.file.LinkOption[]",134,2736
"java.util.HashMap",128,6144
"java.lang.ref.SoftReference",124,4960
"java.util.StringJoiner",124,4960
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",112,5376
"sun.util.locale.BaseLocale$Key",103,3296
"org.apache.jackrabbit.util.TransientFileFactory$MoribundFileReference",101,3232
"java.util.stream.ReferencePipeline$Head",100,5600
"java.lang.Class",99,31680
"java.util.Locale",99,3168
"sun.util.locale.BaseLocale",99,3168
"java.util.Spliterators$ArraySpliterator",93,2976
"java.nio.file.FileTreeWalker$DirectoryNode",91,2912
"java.lang.StackTraceElement[]",84,11640
"java.util.ArrayList",81,1944
"java.util.stream.Collectors$$Lambda$83.0x0000000100176630",71,1704
"java.util.stream.ReferencePipeline$3",70,4480
"java.util.stream.ReferencePipeline$3$1",70,1680
"org.apache.log4j.spi.LoggingEvent",69,4968
"java.util.stream.ReduceOps$3ReducingSink",68,2176
"jdk.internal.math.FDBigInteger",68,2176
"java.security.Provider$ServiceKey",63,1512
"org.apache.jackrabbit.core.data.DataIdentifier",63,1008
"java.util.stream.Collectors$CollectorImpl",62,1984
"sun.nio.fs.NativeBuffer",62,1984
"java.lang.StringBuffer",61,1952
"java.lang.invoke.LambdaForm$Name",60,1920
"java.util.stream.ReduceOps$3",60,1920
"org.apache.commons.io.input.ProxyInputStream$$Lambda$123.0x0000000100191ce0",60,960
"java.io.ObjectOutputStream$HandleTable",59,2360
"sun.nio.fs.NativeBuffer$Deallocator",56,1344
"long[]",55,1936
"java.util.WeakHashMap$Entry",52,2080
"org.apache.jackrabbit.core.data.CachingDataRecord",51,1224
"java.lang.reflect.Method",50,4400
"java.io.FileInputStream",47,1504
