"Time [s]","Process load","System load"
0.0,0,0
1.0,7.9,13.59
2.0,0,4.15
3.01,2.07,8.29
4.01,1.29,6.89
5.01,2.6,5.59
6.02,0.13,7.14
7.02,0.77,4.41
8.02,0.91,5.44
9.03,0.64,7.79
10.03,0.25,4.01
11.03,1.29,6.75
12.04,0.52,7.9
13.04,0.51,3.23
14.05,0.13,5.07
15.05,0.64,8.43
16.05,0.25,4.28
17.06,0.64,5.84
18.06,0.78,6.75
19.06,1.56,8.56
20.06,0.39,8.97
21.07,0.64,6.23
22.07,0.65,4.55
23.07,0.25,5.45
24.07,0.39,6.88
25.08,0.25,2.99
26.08,0.52,6.5
27.08,0.51,7.54
28.08,0.39,3.51
29.09,0.64,5.96
30.09,0.39,4.67
31.09,0.52,3.89
32.1,0.51,5.04
33.1,0.25,5.7
34.1,1.04,5.85
35.11,0.64,6.62
36.11,0.78,6.24
37.11,0.13,3.62
38.12,2.07,6.21
39.12,0.25,5.73
40.12,11.18,17.16
41.12,0.25,5.97
42.12,1.82,8.31
43.13,1.03,5.19
44.13,0.25,5.97
45.14,0.52,7.12
46.14,0.9,4.02
47.15,2.72,6.87
48.15,0.52,6.23
49.15,1.03,5.7
50.15,0.51,6.64
51.15,0.64,7.53
52.16,0.91,5.19
53.16,0.51,5.05
54.17,0.38,6.47
55.17,0.78,4.81
56.17,0.39,5.85
57.17,0.9,7.68
58.17,1.17,4.42
59.17,0.9,7.42
60.18,0.64,8.7
61.18,0.25,3.25
62.18,0.52,6.88
63.18,0.39,6.5
64.19,0.51,2.19
65.19,0.25,5.05
66.19,0.65,8.05
67.2,0.77,4.41
68.2,0.39,5.45
69.21,0.91,6.47
70.21,0.25,4.02
71.22,0.25,7.37
72.22,0.78,8.69
73.22,0.12,1.81
74.23,0.26,5.57
75.23,0.25,6.47
76.24,0.64,4.66
77.25,0.9,8.42
78.25,0.26,5.83
79.26,1.29,5.05
80.26,0.13,7.14
81.26,13.09,19.58
82.27,0.77,3.5
83.27,0.52,6.23
84.28,2.07,8.16
85.28,0.51,4.02
86.28,0.78,9.33
87.29,0.25,5.72
88.29,2.46,6.23
89.29,0.52,6.87
90.3,0.51,7.26
91.3,0.78,4.41
92.3,0.52,7.41
93.31,0.25,6.35
94.31,0.78,3.9
95.31,0.64,7.91
96.32,0.51,6.74
97.32,0.91,4.27
98.33,0.12,5.33
99.33,0.64,6.24
100.33,0.26,2.85
101.33,0.12,6.1
102.34,0.25,7.01
103.34,0.52,2.97
104.35,0.25,6.48
105.35,0.25,6.6
106.36,1.03,5.05
107.36,0.39,6.99
108.36,0.26,5.07
109.37,0.9,4.28
110.37,0.13,7.14
111.37,0.38,7.29
112.37,0.65,4.79
113.38,0.9,8.03
114.38,0,5.06
115.38,0.13,7.01
116.39,0.38,6.75
117.39,0.39,4.3
118.39,0.52,5.06
119.39,0.12,6.23
120.39,1.82,5.07
121.4,0.52,4.67
122.4,9.48,15.72
123.4,0.52,5.2
124.4,0.25,5.85
125.4,1.68,7.52
126.4,0.91,4.95
127.41,2.85,7.67
128.41,0.39,8.42
129.41,0.39,5.45
130.41,1.04,6.62
131.42,0.64,7.01
132.42,0,4.55
133.42,0.38,4.79
134.43,0.52,5.43
135.43,0.9,6.9
136.44,0.78,5.44
137.44,0.51,8.18
138.44,0.25,4.16
139.44,0.65,7.41
140.45,0.64,7
141.45,0.77,5.19
142.45,0.39,3.76
143.45,0.39,6.49
144.46,0.52,6.37
145.46,0.64,7.01
146.46,0.9,8.97
147.46,0.52,4.42
148.47,0.51,6.75
149.47,10.62,17.23
150.47,5.84,11.16
151.48,0.12,7.15
152.48,0.25,6.77
153.48,0.38,3.49
154.49,0.64,5.57
155.49,0.52,7.51
156.5,0.77,3.75
157.5,0.51,6.76
158.5,0.91,8.33
159.5,0.77,3.63
160.51,0.52,5.71
161.51,0.78,8.44
162.51,0.51,3.5
163.51,0.52,7.78
164.52,0.51,6.09
165.52,0.65,4.81
166.52,0.25,6.5
167.52,0.26,6.88
168.53,0.51,3.51
169.53,0.52,6.37
170.53,0.39,5.7
171.53,0.25,3.89
172.54,9.72,17.51
173.54,4.68,12.75
174.54,0.77,6.73
175.55,0.39,6.62
176.55,1.16,7.16
177.55,0.91,4.53
178.56,0.39,6.88
179.56,0.77,6.36
180.56,0.26,2.85
181.56,5.72,16.4
182.57,12.04,22.53
183.57,0.52,4.94
184.57,0,6.6
