"Time [s]","Committed size","Free size","Used size"
0.0,258048000,250880000,7168000
1.0,258048000,235599000,22449000
2.0,258048000,234575000,23473000
3.01,258048000,234575000,23473000
4.01,258048000,251342000,6706000
5.01,258048000,250742000,7306000
6.01,258048000,248347000,9701000
7.01,258048000,248347000,9701000
8.02,258048000,247248000,10800000
9.02,258048000,247248000,10800000
10.02,258048000,247246000,10802000
11.02,258048000,247246000,10802000
12.03,258048000,247246000,10802000
13.03,258048000,247246000,10802000
14.04,258048000,247246000,10802000
15.04,258048000,247246000,10802000
16.04,258048000,247246000,10802000
17.04,258048000,246224000,11824000
18.05,258048000,246224000,11824000
19.05,258048000,244686000,13362000
20.05,258048000,244686000,13362000
21.05,258048000,243408000,14640000
22.05,258048000,243408000,14640000
23.05,258048000,243408000,14640000
24.06,258048000,243408000,14640000
25.06,258048000,243152000,14896000
26.06,258048000,243152000,14896000
27.07,258048000,243152000,14896000
28.07,258048000,243152000,14896000
29.07,258048000,243152000,14896000
30.08,258048000,243152000,14896000
31.08,258048000,243152000,14896000
32.08,258048000,243152000,14896000
33.09,258048000,243152000,14896000
34.09,258048000,242238000,15810000
35.09,258048000,242238000,15810000
36.1,258048000,241104000,16944000
37.1,258048000,241104000,16944000
38.1,258048000,239056000,18992000
39.11,258048000,238032000,20016000
40.11,258048000,238032000,20016000
41.11,258048000,231154000,26894000
42.11,258048000,231154000,26894000
43.12,258048000,228816000,29232000
44.12,258048000,227278000,30770000
45.12,258048000,227278000,30770000
46.12,258048000,251051000,6997000
47.13,258048000,250541000,7507000
48.13,258048000,248271000,9777000
49.14,258048000,248271000,9777000
50.14,258048000,246834000,11214000
51.14,258048000,246834000,11214000
52.14,258048000,246834000,11214000
53.15,258048000,246834000,11214000
54.15,258048000,246834000,11214000
55.15,258048000,246834000,11214000
56.16,258048000,246834000,11214000
57.16,258048000,246834000,11214000
58.16,258048000,246834000,11214000
59.17,258048000,245931000,12117000
60.17,258048000,245931000,12117000
61.17,258048000,245421000,12627000
62.17,258048000,245421000,12627000
63.18,258048000,244397000,13651000
64.18,258048000,244397000,13651000
65.19,258048000,244397000,13651000
66.19,258048000,244397000,13651000
67.19,258048000,244397000,13651000
68.2,258048000,244397000,13651000
69.2,258048000,244397000,13651000
70.2,258048000,244397000,13651000
71.2,258048000,244397000,13651000
72.21,258048000,244397000,13651000
73.21,258048000,244397000,13651000
74.21,258048000,244397000,13651000
75.22,258048000,244397000,13651000
76.22,258048000,243764000,14284000
