"Name","Instance Count","Size (bytes)"
"java.lang.Integer",98857,1581712
"byte[]",14504,7256944
"java.lang.String",5901,141624
"char[]",2438,653184
"java.lang.StringBuilder",2039,48936
"java.io.File",1323,42336
"java.lang.StackTraceElement",1290,61920
"sun.nio.fs.WindowsFileAttributes",838,53632
"java.lang.Object[]",805,31808
"java.lang.Object",738,11808
"java.util.HashMap$Node",623,19936
"java.lang.Long",610,14640
"java.util.concurrent.ConcurrentHashMap$Node",588,18816
"int[]",580,52920
"sun.nio.ch.FileDispatcherImpl",538,8608
"sun.nio.ch.FileChannelImpl",531,38232
"org.apache.commons.io.file.Counters$LongPathCounters",519,12456
"org.apache.commons.io.file.DeleteOption[]",518,12432
"java.lang.String[]",481,19792
"java.lang.ref.WeakReference",391,12512
"java.util.LinkedHashMap$Entry",295,11800
"java.math.BigInteger",292,11680
"java.nio.file.FileTreeWalker$Event",266,8512
"java.io.FileDescriptor",263,10520
"java.security.DrbgParameters$NextBytes",248,5952
"byte[][]",243,7768
"java.io.FileCleanable",243,13608
"sun.util.locale.LocaleObjectCache$CacheEntry",198,7920
"java.lang.Class[]",194,4328
"java.io.FileOutputStream",181,5792
"sun.nio.fs.WindowsDirectoryStream$WindowsDirectoryIterator",176,5632
"sun.nio.fs.WindowsDirectoryStream",175,8400
"java.io.FileOutputStream$1",164,2624
"sun.nio.fs.WindowsNativeDispatcher$FirstFile",163,5216
"org.apache.jackrabbit.core.data.LazyFileInputStream",161,5152
"sun.nio.fs.WindowsPathParser$Result",159,3816
"sun.nio.fs.WindowsPath",153,6120
"org.apache.jackrabbit.core.data.AsyncUploadCacheResult",151,3624
"java.lang.ref.Finalizer",142,5680
"java.io.BufferedOutputStream",140,4480
"java.nio.StringCharBuffer",139,7784
"java.util.HashMap",133,6384
"java.io.ByteArrayInputStream",131,4192
"java.nio.HeapByteBuffer",131,7336
"java.lang.ref.SoftReference",130,5200
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode",121,3872
"org.apache.jackrabbit.util.TransientFileFactory$MoribundFileReference",120,3840
"sun.nio.fs.WindowsFileAttributeViews$Basic",119,2856
"java.lang.Class",115,36800
