"Time [s]","Process load","System load"
0.0,0,0
1.0,7.63,13.99
2.0,0.78,4.15
3.01,1.95,7.38
4.01,0,6.21
5.02,2.58,6.35
6.02,1.03,6.22
7.03,0.25,6.09
8.03,1.04,4.55
9.03,0.52,8.44
10.04,0.51,7.91
11.04,0.26,3.77
12.04,0.25,4.81
13.04,0.39,6.87
14.05,0.64,3.63
15.05,0.78,4.41
16.06,0.12,7.76
17.06,0.52,6.11
18.06,0,4.79
19.07,0.9,8.82
20.07,0.25,4.82
21.07,0.52,6.73
22.07,0.39,7.15
23.08,1.03,5.32
24.08,0.77,5.96
25.09,0.26,6.72
26.09,0.77,4.81
27.1,0.65,7.78
28.1,0.25,4.66
29.1,0.65,3
30.11,0.25,6.23
31.11,0.25,6.23
32.11,0.26,1.68
33.12,0.39,7.66
34.12,0.51,5.98
35.12,0.13,3.24
36.13,0.51,5.57
37.13,0.13,6.86
38.13,1.94,5.33
39.13,0.39,9.1
40.14,14.26,21.26
41.14,0.12,4.4
42.15,1.17,5.18
43.15,1.29,7.53
44.15,0.13,3.63
45.16,0.78,5.45
46.16,0.39,7.91
47.16,2.07,7.8
48.17,0.12,5.33
49.17,0.91,7.26
50.17,0.77,5.58
51.18,0.52,5.7
52.18,0.12,7.12
53.19,0.65,4.41
54.19,0.25,5.58
55.19,0.12,5.86
56.2,0.39,6.22
57.2,0.52,6.87
58.2,0.39,5.71
59.2,0.25,3.77
60.21,0.25,6.24
61.21,0.25,5.97
62.21,0.39,3.9
63.21,0.64,6.89
64.22,0.26,5.84
65.22,0.64,5.33
66.22,0.64,5.32
67.22,0.39,5.58
68.23,0.25,4.8
69.23,0.78,8.05
70.24,0.25,7.12
71.24,0.25,3.9
72.24,0.26,6.62
73.25,0.12,7
74.25,1.29,7.01
75.25,0.52,5.33
76.25,0.39,6.38
77.26,0.39,4.66
78.26,0.12,3.77
79.26,1.95,7.68
80.26,0.38,3.49
81.27,10.1,15.95
82.27,3.24,10.1
83.27,0.13,18.57
84.28,2.08,8.71
85.28,0.25,7.26
86.28,0.9,7.51
87.29,0.39,5.72
88.29,1.94,7.65
89.3,0.78,4.4
90.3,0.52,4.94
91.3,0.39,7.29
92.3,0.64,6.48
93.31,0.39,5.06
94.31,0.38,5.82
95.31,0.65,5.99
96.32,0.12,5.57
97.32,0.91,6.86
98.33,0.64,5.83
99.33,1.29,5.07
100.33,0.25,5.32
101.34,0.77,7.25
102.34,0.13,2.21
103.34,0.51,7.92
104.34,0.39,5.19
105.34,0.25,5.58
106.35,0.25,8.04
107.35,0.65,5.32
108.35,0.38,4.95
109.35,0.52,6.09
110.36,0.51,4.55
111.36,0.39,3.9
112.36,0.39,6.1
113.37,0.39,5.84
114.37,0.64,4.42
115.37,0.25,7.27
116.37,0.65,6.9
117.37,0.25,4.28
118.37,0.25,5.59
119.38,0.13,4.15
120.38,1.95,4.55
121.38,0.39,6.74
122.39,7.51,13.09
123.39,3.5,6.35
124.4,0.52,6.73
125.4,1.41,8.16
126.41,0.13,2.85
127.41,2.86,8.71
128.41,0.12,5.57
129.41,1.17,6.25
130.42,0.64,6.47
131.42,0.78,7.15
132.42,0.39,3.37
133.42,0.39,6.24
134.43,0.51,6.87
135.43,0.64,3.89
136.43,1.68,7.54
137.44,0.13,6.09
138.44,0.64,4.02
139.45,0.52,8.4
140.45,0.12,5.06
141.46,0.26,4.92
142.46,0.64,6.6
143.47,0.77,5.32
144.47,0.78,4.94
145.47,0.39,8.04
146.47,1.17,9.74
147.47,0.51,5.85
148.47,1.04,7.42
149.48,7.9,12.96
150.48,9.6,17.11
151.49,0.25,8.45
152.49,0.51,6.99
153.49,0.26,2.34
154.49,0.25,5.2
155.5,0.78,7.14
156.5,0.12,3.5
157.5,0.52,6.89
158.5,1.04,6.5
159.51,1.16,5.44
160.51,0.26,6.5
161.51,0.25,4.66
162.52,0.51,4.53
163.52,0.39,7.14
164.52,0.64,6.09
165.53,0.26,4.02
166.53,0.25,6.35
167.53,0.65,6.9
168.53,0.39,3.51
169.54,0.12,5.7
170.54,0.38,5.05
171.55,0.52,2.72
172.55,5.31,11.93
173.55,8.72,15.5
174.56,0.77,8.29
175.56,0.25,7.91
176.57,0.39,4.66
177.57,0,4.04
178.57,0.39,7.12
179.57,0.13,5.33
180.57,0.51,4.68
181.58,3.75,12.57
182.58,12.7,24.74
183.59,1.81,5.33
184.59,0.39,6.11
