"Time [s]","Committed size","Free size","Used size"
0.0,258048000,250880000,7168000
1.01,258048000,234575000,23473000
2.01,258048000,234575000,23473000
3.01,258048000,250977000,7071000
4.02,258048000,250977000,7071000
5.02,258048000,248273000,9775000
6.02,258048000,248273000,9775000
7.02,258048000,247577000,10471000
8.02,258048000,247439000,10609000
9.03,258048000,247439000,10609000
10.03,258048000,247186000,10862000
11.04,258048000,247186000,10862000
12.04,258048000,247186000,10862000
13.05,258048000,247186000,10862000
14.05,258048000,247186000,10862000
15.05,258048000,247186000,10862000
16.05,258048000,246415000,11633000
17.06,258048000,246160000,11888000
18.06,258048000,246160000,11888000
19.06,258048000,244114000,13934000
20.06,258048000,244114000,13934000
21.07,258048000,243718000,14330000
22.07,258048000,243718000,14330000
23.08,258048000,243718000,14330000
24.08,258048000,243718000,14330000
25.08,258048000,243421000,14627000
26.09,258048000,243421000,14627000
27.09,258048000,243421000,14627000
28.1,258048000,243421000,14627000
29.1,258048000,243421000,14627000
30.11,258048000,243421000,14627000
31.11,258048000,243090000,14958000
32.11,258048000,243090000,14958000
33.11,258048000,243090000,14958000
34.12,258048000,242161000,15887000
35.12,258048000,242161000,15887000
36.12,258048000,240528000,17520000
37.12,258048000,240528000,17520000
38.12,258048000,237970000,20078000
39.13,258048000,237970000,20078000
40.13,258048000,230802000,27246000
41.13,258048000,230802000,27246000
42.13,258048000,227730000,30318000
43.13,258048000,227216000,30832000
44.14,258048000,227216000,30832000
45.14,258048000,225933000,32115000
46.14,258048000,225933000,32115000
47.14,258048000,249223000,8825000
48.15,258048000,249223000,8825000
49.15,258048000,248455000,9593000
50.16,258048000,248199000,9849000
51.16,258048000,248199000,9849000
52.16,258048000,248199000,9849000
53.16,258048000,248199000,9849000
54.17,258048000,248199000,9849000
55.17,258048000,248199000,9849000
56.17,258048000,248199000,9849000
57.18,258048000,248199000,9849000
58.18,258048000,247685000,10363000
59.19,258048000,247685000,10363000
60.19,258048000,247431000,10617000
61.2,258048000,247431000,10617000
62.2,258048000,246798000,11250000
63.2,258048000,246798000,11250000
64.2,258048000,246798000,11250000
65.2,258048000,246798000,11250000
66.21,258048000,246798000,11250000
67.21,258048000,246798000,11250000
68.21,258048000,246798000,11250000
69.21,258048000,246798000,11250000
70.21,258048000,246798000,11250000
71.22,258048000,246798000,11250000
72.22,258048000,246798000,11250000
73.22,258048000,246798000,11250000
74.23,258048000,246798000,11250000
75.23,258048000,246165000,11883000
76.24,258048000,246165000,11883000
77.24,258048000,245127000,12921000
