"Name","Instance Count","Size (bytes)"
"java.lang.Integer",37066,593056
"byte[]",10054,5139496
"java.lang.String",3963,95112
"java.lang.StringBuilder",1540,36960
"java.io.File",977,31264
"char[]",905,182416
"sun.nio.fs.WindowsFileAttributes",692,44288
"java.lang.String[]",654,14040
"java.io.FileDescriptor",636,25440
"sun.nio.fs.WindowsPathParser$Result",628,15072
"java.util.HashMap$Node",597,19104
"java.lang.Object[]",570,20208
"java.lang.Long",557,13368
"sun.nio.fs.WindowsFileAttributeViews$Basic",557,13368
"java.nio.file.LinkOption[]",538,12736
"org.apache.commons.io.file.Counters$LongCounter",521,12504
"long[]",514,16448
"java.util.concurrent.ConcurrentHashMap$Node",511,16352
"java.lang.Object",501,8016
"java.lang.StackTraceElement",471,22608
"int[]",365,38088
"java.lang.ref.WeakReference",283,9056
"java.util.LinkedHashMap$Entry",256,10240
"java.math.BigInteger",243,9720
"java.security.DrbgParameters$NextBytes",238,5712
"byte[][]",215,6880
"sun.util.locale.LocaleObjectCache$CacheEntry",189,7560
"java.lang.ref.Finalizer",166,6640
"java.io.FileCleanable",161,9016
"java.lang.Class[]",157,3536
"java.io.BufferedOutputStream",138,4416
"org.apache.jackrabbit.core.data.LazyFileInputStream",137,4384
"java.io.FileOutputStream",136,4352
"java.lang.ref.SoftReference",132,5280
"java.io.ByteArrayInputStream",130,4160
"java.io.FileOutputStream$1",130,2080
"java.lang.Class",123,39360
"org.apache.jackrabbit.core.data.AsyncUploadCacheResult",111,2664
"sun.nio.fs.WindowsPath$WindowsPathWithAttributes",110,5280
"java.nio.file.FileTreeWalker$Event",108,3456
"java.util.Locale",102,3264
"sun.util.locale.BaseLocale",100,3200
"org.apache.jackrabbit.util.TransientFileFactory$MoribundFileReference",89,2848
"sun.util.locale.BaseLocale$Key",88,2816
"sun.nio.fs.WindowsDirectoryStream",69,3312
"jdk.internal.math.FDBigInteger",68,2176
"java.util.StringJoiner",66,2640
"sun.nio.fs.WindowsDirectoryStream$WindowsDirectoryIterator",66,2112
"java.nio.StringCharBuffer",65,3640
"sun.nio.fs.WindowsNativeDispatcher$FirstFile",63,2016
"java.util.ArrayList",60,1440
"java.lang.invoke.LambdaForm$Name",58,1856
"java.security.Provider$ServiceKey",57,1368
"java.util.HashMap",53,2544
"sun.nio.fs.WindowsPath",52,2080
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",48,2304
"java.nio.HeapByteBuffer",44,2464
"java.io.ObjectOutputStream$HandleTable",40,1600
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",40,1280
"java.util.stream.ReduceOps$3ReducingSink",38,1216
"java.util.stream.ReferencePipeline$Head",38,2128
"sun.nio.fs.NativeBuffer",37,1184
"java.util.stream.ReduceOps$3",36,1152
"java.nio.file.FileTreeWalker$DirectoryNode",35,1120
"java.util.Spliterators$ArraySpliterator",35,1120
"java.util.stream.Collectors$CollectorImpl",35,1120
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode",34,1088
"java.util.stream.ReferencePipeline$3",33,2112
"java.util.stream.ReferencePipeline$3$1",33,792
"java.util.stream.Collectors$$Lambda$83.0x00000001001768f0",32,768
"org.apache.jackrabbit.core.data.CachingDataRecord",31,744
"java.lang.StackTraceElement[]",28,3208
"java.lang.invoke.MethodType",27,1080
"java.util.HashMap$Node[]",27,271800
"java.lang.Byte",26,416
"java.lang.Short",25,400
"java.io.FileInputStream$1",24,384
"java.lang.reflect.Method",24,2112
"java.nio.file.AccessMode[]",24,384
"java.util.concurrent.ConcurrentHashMap",24,1536
"org.apache.commons.io.input.ProxyInputStream$$Lambda$123.0x0000000100195a80",24,384
"sun.nio.ch.FileChannelImpl$Closer",24,384
"org.apache.maven.surefire.api.util.internal.ImmutableMap$Node",23,552
"java.io.FileInputStream",22,704
"java.lang.Character$UnicodeBlock",21,336
"java.util.WeakHashMap$Entry",21,840
"sun.nio.fs.NativeBuffer$Deallocator",21,504
"java.io.DataOutputStream",20,800
"java.lang.StringBuffer",20,640
"java.io.ObjectOutputStream",19,1064
"java.lang.invoke.LambdaForm$NamedFunction",19,456
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]",18,1440
"java.security.Provider$UString",18,432
"java.util.HashMap$KeySet",18,288
"java.util.concurrent.ConcurrentHashMap$Node[]",18,5856
"java.nio.HeapCharBuffer",17,952
"java.text.DateFormatSymbols",17,1088
"java.util.Hashtable$Entry",17,544
"org.apache.jackrabbit.core.data.DataIdentifier",17,272
"java.lang.ref.SoftReference[]",16,1040
"java.util.concurrent.atomic.AtomicLong",16,384
