"Name","Instance Count","Size (bytes)"
"byte[]",5270,1145992
"java.lang.String",3719,89256
"java.util.HashMap$Node",2779,88928
"java.util.concurrent.ConcurrentHashMap$Node",1896,60672
"java.lang.Object",799,12784
"java.lang.Class[]",632,14592
"java.lang.Class",469,150080
"java.lang.Integer",458,7328
"java.lang.Object[]",450,25880
"int[]",308,146064
"java.util.LinkedHashMap$Entry",286,11440
"org.apache.tika.mime.MimeType",275,15400
"java.util.ArrayList",273,6552
"java.lang.String[]",242,11560
"java.util.HashMap$Node[]",226,26272
"org.apache.tika.mime.MagicMatch",210,8400
"sun.util.locale.LocaleObjectCache$CacheEntry",201,8040
"char[]",194,62984
"org.apache.tika.detect.MagicDetector",194,9312
"java.lang.ref.SoftReference",183,7320
"java.lang.StringBuilder",175,4200
"org.apache.jackrabbit.core.value.InternalValue[]",175,4008
"java.net.URL",172,11008
"org.apache.tika.mime.MediaType",171,5472
"org.apache.jackrabbit.core.virtual.VirtualPropertyState",167,8016
"org.apache.tika.mime.Magic",166,5312
"java.util.HashMap",164,7872
"org.apache.jackrabbit.core.id.PropertyId",155,3720
"java.util.Collections$SingletonList",137,3288
"java.util.Hashtable$Entry",110,3520
"sun.util.locale.BaseLocale",109,3488
"sun.util.locale.BaseLocale$Key",105,3360
"java.lang.invoke.LambdaForm$Name",101,3232
"java.util.Locale",99,3168
"org.apache.xerces.xni.QName",97,3104
"java.util.jar.Attributes",93,1488
"org.apache.derby.impl.store.raw.data.StoredRecordHeader",89,2848
"java.io.File",83,2656
"java.util.LinkedHashMap",81,4536
"org.apache.jackrabbit.core.value.InternalValue",79,1896
"long[]",77,20488
"java.util.TreeMap$Entry",76,3040
"java.lang.reflect.Method",75,6600
"java.util.concurrent.locks.ReentrantLock",64,1024
"java.lang.ref.ReferenceQueue",61,1952
"org.apache.derby.impl.store.raw.data.RecordId",59,1416
"java.util.concurrent.locks.ReentrantLock$NonfairSync",57,1824
"java.util.concurrent.ConcurrentHashMap",56,3584
"org.apache.derby.impl.services.uuid.BasicUUID",49,1568
"org.apache.derby.impl.services.cache.CacheEntry",48,1920
"org.apache.jackrabbit.core.state.NameSet",47,1128
"java.lang.Class$ReflectionData",46,2944
"java.lang.ref.ReferenceQueue$Lock",46,736
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry",46,1472
"org.apache.commons.collections4.map.AbstractHashedMap$HashEntry[]",45,9040
"java.lang.invoke.MethodType",44,1760
"java.lang.reflect.Method[]",44,3728
"java.util.TreeMap",42,2016
"java.util.jar.Attributes$Name",42,1008
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",41,1312
"boolean[]",40,1208
"java.lang.ref.WeakReference",40,1280
"org.apache.derby.impl.services.cache.ClockPolicy$Holder",40,1280
"java.lang.Package",39,1248
"java.lang.reflect.Constructor[]",38,944
"java.nio.StringCharBuffer",38,2128
"java.math.BigInteger",37,1480
"java.util.HashSet",37,592
"java.util.concurrent.ConcurrentHashMap$Node[]",37,9744
"org.apache.commons.collections4.map.AbstractLinkedMap$LinkEntry",37,1480
"org.apache.commons.collections4.map.ReferenceMap",37,2664
"org.apache.xerces.util.XMLStringBuffer",36,864
"jdk.internal.reflect.DelegatingConstructorAccessorImpl",35,560
"org.apache.derby.catalog.types.TypeDescriptorImpl",35,1400
"java.util.StringJoiner",34,1360
"org.apache.commons.collections4.map.AbstractReferenceMap$WeakRef",34,1088
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping",34,816
"java.util.LinkedList$Node",33,792
"java.util.zip.CRC32",32,512
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",32,1536
"java.io.FileDescriptor",31,1240
"java.util.LinkedList",31,992
"javax.management.ImmutableDescriptor",31,744
"org.apache.tika.mime.Clause[]",29,696
"java.io.FileCleanable",28,1568
"java.security.CodeSource",28,1120
"org.apache.derby.impl.sql.compile.SQLParser$JJCalls",28,896
"org.apache.xerces.xni.XMLString",28,672
"java.security.Provider$ServiceKey",27,648
"jdk.internal.reflect.NativeConstructorAccessorImpl",27,864
"org.apache.derby.catalog.types.BaseTypeIdImpl",27,864
"sun.security.util.ObjectIdentifier",26,832
"java.lang.Byte",25,400
"java.lang.Long",25,600
"java.lang.Short",25,400
"org.apache.jackrabbit.core.cache.ConcurrentCache$1",25,1600
"org.apache.jackrabbit.core.id.NodeId",25,800
"java.lang.reflect.Constructor",24,1728
"org.apache.derby.iapi.types.DataTypeDescriptor",24,576
"java.lang.invoke.BoundMethodHandle$Species_LL",23,920
"java.util.stream.ReferencePipeline$3$1",23,552
"org.apache.tika.mime.AndClause",23,368
"org.ccil.cowan.tagsoup.AttributesImpl",23,552
"java.util.concurrent.atomic.AtomicInteger",22,352
"java.util.stream.ReduceOps$3ReducingSink",22,704
"org.apache.derby.impl.store.raw.data.StoredRecordHeader[]",22,1368
"org.apache.jackrabbit.core.state.ChildNodeEntry",22,704
"org.ccil.cowan.tagsoup.ElementType",22,1056
"java.lang.Character$UnicodeBlock",21,336
"java.lang.invoke.LambdaForm$NamedFunction",21,504
"java.util.WeakHashMap",21,1008
"java.util.concurrent.atomic.AtomicLong",21,504
"org.apache.jackrabbit.spi.commons.name.NameFactoryImpl$NameImpl",21,672
"java.lang.Package$VersionInfo",20,800
"java.lang.invoke.LambdaForm",20,960
"java.lang.ref.SoftReference[]",20,1080
"java.util.TreeMap$KeySet",20,320
"org.apache.derby.iapi.store.raw.PageKey",20,480
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping[]",20,480
"ch.qos.logback.classic.Logger",19,912
"java.security.SecureClassLoader$CodeSourceKey",19,304
"java.time.LocalDateTime",19,456
"java.util.Arrays$ArrayList",19,456
"java.util.Hashtable",19,912
"java.util.WeakHashMap$Entry[]",19,1584
"java.util.Hashtable$Entry[]",18,1248
"java.util.zip.ZipFile$CleanableResource",18,576
"com.sun.jmx.mbeanserver.ConvertingMethod",17,544
"java.util.Collections$UnmodifiableSortedMap",17,544
"java.util.TreeSet",17,272
"java.util.WeakHashMap$Entry",17,680
"java.util.WeakHashMap$KeySet",17,272
"org.apache.derby.iapi.services.io.ArrayInputStream",17,544
"org.apache.jackrabbit.core.state.ChildNodeEntries",17,408
"org.apache.jackrabbit.spi.Name[]",17,376
"org.apache.jackrabbit.spi.commons.name.NamePath",17,680
"org.apache.xerces.util.AugmentationsImpl$SmallContainer",17,408
"EDU.oswego.cs.dl.util.concurrent.ConcurrentReaderHashMap$Entry",16,512
"com.sun.jmx.mbeanserver.MXBeanMapping[]",16,296
"java.lang.RuntimePermission",16,384
"java.util.Spliterators$ArraySpliterator",16,512
"java.util.TreeMap$EntrySet",16,256
"org.apache.derby.iapi.services.io.FormatIdInputStream",16,768
"org.apache.derby.iapi.services.io.FormatableBitSet",16,384
"org.apache.lucene.index.CompoundFileReader$FileEntry",16,512
"org.apache.tika.mime.MimeType$RootXML",16,384
"org.apache.xerces.util.XMLAttributesImpl$Attribute",16,640
"java.lang.invoke.DirectMethodHandle",15,480
"java.lang.invoke.MethodTypeForm",15,480
"java.security.SecureClassLoader$1",15,360
"java.util.stream.ReduceOps$3",15,480
"java.util.stream.ReferencePipeline$3",15,960
"java.util.stream.ReferencePipeline$Head",15,840
"org.apache.tika.parser.microsoft.onenote.OneNotePropertyEnum",15,480
"java.security.Principal[]",14,224
"java.security.ProtectionDomain$Key",14,224
"java.util.jar.JarFile$JarFileEntry",14,1456
"java.util.zip.Inflater$InflaterZStreamRef",14,336
"java.util.zip.ZipFile$Source",14,1120
"jdk.internal.loader.URLClassPath$JarLoader",14,672
"jdk.internal.module.ServicesCatalog$ServiceProvider",14,336
"org.apache.jackrabbit.core.virtual.VirtualNodeState",14,1008
"org.apache.xerces.util.AugmentationsImpl",14,224
"java.lang.Character",13,208
"java.security.ProtectionDomain",13,520
"java.util.Collections$SetFromMap",13,312
"java.util.concurrent.CopyOnWriteArrayList",13,312
"jdk.internal.reflect.DelegatingMethodAccessorImpl",13,208
"org.apache.derby.iapi.sql.dictionary.ColumnDescriptor",13,1144
"org.apache.derby.impl.store.raw.data.StoredPage",13,2496
"org.apache.jackrabbit.core.nodetype.BitSetENTCacheImpl$BitSetKey",13,416
"java.util.ArrayDeque",12,288
"java.util.HashMap$KeySet",12,192
"java.util.ResourceBundle$BundleReference",12,480
"java.util.ResourceBundle$KeyElementReference",12,384
"java.util.stream.Collectors$$Lambda$83.0x0000000100176fe8",12,288
"java.util.stream.Collectors$CollectorImpl",12,384
"javax.management.ObjectName$Property[]",12,336
"org.apache.commons.collections4.map.LinkedMap",12,672
"org.apache.maven.surefire.api.util.internal.ImmutableMap$Node",12,288
"sun.util.calendar.ZoneInfo",12,672
"java.io.RandomAccessFile",11,352
"java.lang.invoke.LambdaForm$Name[]",11,704
"java.util.Collections$UnmodifiableRandomAccessList",11,264
"java.util.ImmutableCollections$List12",11,264
"java.util.jar.JarFile",11,616
"java.util.zip.Inflater",11,704
"org.apache.derby.catalog.types.IndexDescriptorImpl",11,352
"org.apache.derby.iapi.store.raw.ContainerKey",11,352
"org.apache.lucene.index.FieldInfo",11,352
"byte[][]",10,320
"char[][]",10,240
"java.lang.invoke.BoundMethodHandle$Species_L",10,320
"java.util.Collections$SingletonSet",10,160
"java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet",10,160
"java.util.HashMap$EntrySet",10,160
"java.util.LinkedHashSet",10,160
"java.util.TreeMap$KeyIterator",10,320
"java.util.zip.ZipFile$InflaterCleanupAction",10,240
"java.util.zip.ZipFile$Source$Key",10,240
"javax.management.ObjectName$Property",10,240
"org.apache.derby.iapi.types.DataValueDescriptor[]",10,448
"org.apache.jackrabbit.core.state.NodeState",10,640
"org.apache.xerces.util.SymbolTable$Entry",10,240
"org.apache.xerces.util.XMLResourceIdentifierImpl",10,320
"sun.nio.ch.FileDispatcherImpl",10,160
"java.lang.ref.Finalizer",9,360
"java.security.Provider$Service",9,576
"java.time.LocalDate",9,216
"java.util.zip.ZipFile$ZipFileInputStream",9,504
"jdk.internal.loader.URLClassPath$JarLoader$2",9,360
"org.apache.derby.impl.io.DirRandomAccessFile",9,360
"org.apache.derby.impl.sql.GenericColumnDescriptor",9,360
"org.apache.derby.impl.store.raw.data.AllocExtent",9,720
"org.apache.xerces.xni.QName[]",9,832
"com.sun.management.internal.DiagnosticCommandInfo",8,384
"java.lang.Module",8,448
"java.lang.invoke.BoundMethodHandle$Species_LJ",8,320
"java.lang.invoke.LambdaFormEditor$Transform",8,384
"java.security.Permissions",8,192
"java.util.Collections$SynchronizedSet",8,192
"java.util.HashMap$TreeNode",8,448
"org.apache.derby.impl.services.reflect.ReflectMethod",8,128
"org.apache.derby.impl.store.raw.data.StoredRecordHeader$OverflowInfo",8,256
"org.apache.jackrabbit.core.cache.ConcurrentCache$E",8,192
"org.apache.jackrabbit.spi.QValueConstraint[]",8,144
"org.apache.jackrabbit.spi.commons.QPropertyDefinitionImpl",8,448
"short[]",8,192
"com.sun.jmx.mbeanserver.PerInterface$MethodAndSig",7,168
"com.sun.management.internal.DiagnosticCommandArgumentInfo",7,280
"java.io.FileInputStream",7,224
"java.lang.StackTraceElement",7,336
"java.lang.ThreadLocal",7,112
"javax.management.MBeanAttributeInfo",7,224
"javax.management.MBeanOperationInfo",7,280
"javax.management.MBeanOperationInfo[]",7,192
"jdk.internal.loader.URLClassPath$FileLoader$1",7,224
