"Name","Instance Count","Size (bytes)"
"byte[]",4305,1172240
"java.lang.String",3262,78288
"java.util.HashMap$Node",2861,91552
"java.util.concurrent.ConcurrentHashMap$Node",1830,58560
"java.lang.Object",846,13536
"java.lang.Class[]",618,14232
"java.lang.Class",474,151680
"java.lang.Integer",439,7024
"java.lang.Object[]",430,28032
"org.apache.tika.mime.MimeType",301,16856
"int[]",291,57296
"java.util.LinkedHashMap$Entry",275,11000
"java.util.ArrayList",259,6216
"java.lang.String[]",235,13656
"org.apache.tika.mime.MagicMatch",217,8680
"org.apache.tika.mime.MediaType",212,6784
"sun.util.locale.LocaleObjectCache$CacheEntry",201,8040
"java.util.HashMap$Node[]",198,25160
"org.apache.tika.detect.MagicDetector",197,9456
"org.apache.jackrabbit.core.value.InternalValue[]",174,4016
"org.apache.jackrabbit.core.virtual.VirtualPropertyState",164,7872
"java.util.HashMap",163,7824
"java.lang.ref.SoftReference",159,6360
"org.apache.jackrabbit.core.id.PropertyId",149,3576
"org.apache.tika.mime.Magic",141,4512
"java.util.Collections$SingletonList",138,3312
"char[]",116,31728
"sun.util.locale.BaseLocale",109,3488
"java.util.Hashtable$Entry",108,3456
"sun.util.locale.BaseLocale$Key",105,3360
"org.apache.xerces.xni.QName",101,3232
"java.util.LinkedHashMap",100,5600
"java.util.Locale",97,3104
"java.lang.invoke.LambdaForm$Name",92,2944
"long[]",90,22560
"org.apache.derby.impl.store.raw.data.StoredRecordHeader",88,2816
"org.apache.jackrabbit.core.value.InternalValue",84,2016
"java.util.jar.Attributes",79,1264
"java.util.TreeMap$Entry",78,3120
"java.lang.reflect.Method",71,6248
"java.lang.ref.ReferenceQueue",61,1952
"org.apache.derby.impl.store.raw.data.RecordId",61,1464
"java.util.concurrent.locks.ReentrantLock",59,944
"org.apache.derby.impl.services.cache.ClockPolicy$Holder",56,1792
"org.apache.derby.impl.services.cache.CacheEntry",55,2200
"java.lang.ref.WeakReference",52,1664
"java.lang.Class$ReflectionData",51,3264
"java.util.concurrent.ConcurrentHashMap",49,3136
"java.lang.invoke.MethodType",48,1920
"java.lang.reflect.Constructor[]",48,1232
"org.apache.commons.collections4.map.AbstractHashedMap$HashEntry[]",45,4816
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry",45,1440
"java.util.concurrent.ConcurrentHashMap$Node[]",44,5312
"org.apache.jackrabbit.core.state.NameSet",44,1056
"java.lang.ref.ReferenceQueue$Lock",42,672
"java.lang.reflect.Method[]",42,2496
"java.util.concurrent.locks.ReentrantLock$NonfairSync",41,1312
"org.apache.commons.collections4.map.AbstractLinkedMap$LinkEntry",41,1640
"org.apache.xerces.util.XMLStringBuffer",41,984
"org.apache.derby.impl.services.uuid.BasicUUID",40,1280
"java.math.BigInteger",39,1560
"org.apache.derby.catalog.types.TypeDescriptorImpl",39,1560
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",36,1152
"java.util.TreeMap",35,1680
"java.util.LinkedList$Node",34,816
"java.lang.Package",33,1056
"java.util.jar.Attributes$Name",33,792
"org.apache.tika.mime.AndClause",32,512
"java.util.HashSet",31,496
"org.apache.tika.mime.Clause[]",31,744
"java.lang.invoke.LambdaForm$NamedFunction",30,720
"org.apache.commons.collections4.map.ReferenceMap",30,2160
"org.apache.derby.catalog.types.BaseTypeIdImpl",30,960
"org.apache.derby.impl.sql.compile.SQLParser$JJCalls",30,960
"boolean[]",29,1440
"java.util.WeakHashMap",29,1392
"java.lang.invoke.DirectMethodHandle",28,896
"java.util.TreeSet",28,448
"org.apache.commons.collections4.map.AbstractReferenceMap$WeakRef",28,896
"java.net.URL",27,1728
"javax.management.ImmutableDescriptor",27,648
"java.util.WeakHashMap$Entry[]",26,2144
"org.apache.jackrabbit.core.cache.ConcurrentCache$1",26,1664
"org.apache.jackrabbit.core.state.ChildNodeEntry",26,832
"java.lang.Byte",25,400
"java.lang.Short",25,400
"java.lang.reflect.Constructor",25,1800
"java.security.Provider$ServiceKey",25,600
"java.util.LinkedList",25,800
"java.util.zip.CRC32",25,400
"org.apache.derby.iapi.services.io.FormatIdInputStream",25,1200
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping",25,600
"java.util.concurrent.atomic.AtomicInteger",24,384
"jdk.internal.reflect.DelegatingConstructorAccessorImpl",24,384
"jdk.internal.reflect.NativeConstructorAccessorImpl",24,768
"org.apache.derby.iapi.store.raw.PageKey",24,576
"java.util.StringJoiner",23,920
"org.ccil.cowan.tagsoup.ElementType",23,1104
"java.io.FileDescriptor",22,880
"java.lang.Long",22,528
"java.lang.StringBuilder",22,528
"java.util.Hashtable",22,1056
"org.apache.derby.iapi.types.DataTypeDescriptor",22,528
"java.lang.Character$UnicodeBlock",21,336
"java.lang.invoke.LambdaForm",21,1008
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",21,1008
"org.ccil.cowan.tagsoup.AttributesImpl",21,504
"java.lang.Package$VersionInfo",20,800
"org.apache.derby.impl.store.raw.data.StoredRecordHeader[]",20,1632
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping[]",20,480
"org.apache.jackrabbit.core.state.ChildNodeEntries",20,480
"org.apache.xerces.xni.XMLString",20,480
"com.sun.jmx.mbeanserver.MXBeanMapping[]",19,376
"java.lang.invoke.LambdaForm$Name[]",19,1096
"java.util.concurrent.atomic.AtomicLong",19,456
"org.apache.jackrabbit.core.id.NodeId",19,608
"org.apache.jackrabbit.core.virtual.VirtualNodeState",19,1368
"sun.nio.fs.WindowsFileAttributes",19,1216
"ch.qos.logback.classic.Logger",18,864
"java.lang.ref.SoftReference[]",18,1456
"java.nio.StringCharBuffer",18,1008
"java.util.TreeMap$EntrySet",18,288
"org.apache.jackrabbit.spi.commons.name.NameFactoryImpl$NameImpl",18,576
"org.apache.xerces.util.AugmentationsImpl$SmallContainer",18,432
