"Name","Instance Count","Size (bytes)"
"byte[]",6118,854056
"java.lang.String",3697,88728
"java.util.HashMap$Node",2792,89344
"java.util.concurrent.ConcurrentHashMap$Node",1829,58528
"java.lang.Object",831,13296
"java.lang.Class[]",643,14792
"java.lang.Class",497,159040
"java.lang.Object[]",470,42208
"java.lang.Integer",450,7200
"java.util.LinkedHashMap$Entry",324,12960
"org.apache.tika.mime.MimeType",307,17192
"java.util.ArrayList",297,7128
"java.lang.StringBuilder",264,6336
"java.lang.String[]",239,11096
"java.net.URL",228,14592
"int[]",222,122632
"org.apache.tika.detect.MagicDetector",214,10272
"java.util.HashMap$Node[]",210,38768
"org.apache.tika.mime.MagicMatch",197,7880
"sun.util.locale.LocaleObjectCache$CacheEntry",197,7880
"char[]",195,83112
"java.lang.ref.SoftReference",185,7400
"org.apache.jackrabbit.core.value.InternalValue[]",181,4072
"org.apache.jackrabbit.core.id.PropertyId",174,4176
"org.apache.tika.mime.MediaType",163,5216
"java.util.Collections$SingletonList",158,3792
"org.apache.tika.mime.Magic",146,4672
"org.apache.jackrabbit.core.virtual.VirtualPropertyState",145,6960
"java.util.HashMap",143,6864
"java.io.File",114,3648
"java.util.Hashtable$Entry",106,3392
"org.apache.xerces.xni.QName",106,3392
"java.util.Locale",105,3360
"java.lang.reflect.Method",103,9064
"java.util.LinkedHashMap",102,5712
"sun.util.locale.BaseLocale",100,3200
"sun.util.locale.BaseLocale$Key",98,3136
"java.lang.invoke.LambdaForm$Name",96,3072
"org.apache.derby.impl.store.raw.data.StoredRecordHeader",94,3008
"java.util.TreeMap$Entry",92,3680
"java.util.jar.Attributes",92,1472
"long[]",89,19792
"org.apache.jackrabbit.core.value.InternalValue",76,1824
"jdk.internal.math.FDBigInteger",68,2176
"java.lang.invoke.MethodType",64,2560
"java.lang.Class$ReflectionData",63,4032
"org.apache.commons.collections4.map.AbstractHashedMap$HashEntry[]",61,9680
"java.lang.ref.WeakReference",60,1920
"java.lang.ref.ReferenceQueue$Lock",59,944
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry",56,1792
