"Time [s]","Committed size","Free size","Used size"
0.0,258048000,244809000,13239000
1.0,258048000,227139000,30909000
2.0,258048000,226357000,31691000
3.01,27648000,11673000,15975000
4.01,27648000,13874000,13774000
5.01,150528000,103209000,47319000
6.01,150528000,70582000,79946000
7.01,150528000,109532000,40996000
8.01,150528000,96254000,54274000
9.01,150528000,119763000,30765000
10.02,150528000,105536000,44992000
11.02,150528000,115530000,34998000
12.02,150528000,100414000,50114000
13.02,150528000,100412000,50116000
14.02,150528000,100409000,50119000
15.02,150528000,100407000,50121000
16.02,150528000,100407000,50121000
17.02,150528000,100404000,50124000
18.02,150528000,100401000,50127000
19.02,150528000,100401000,50127000
20.02,150528000,100249000,50279000
