"Name","Instance Count","Size (bytes)"
"java.lang.Integer",100092,1601472
"byte[]",2576,983168
"java.lang.String",1126,27024
"java.util.concurrent.ConcurrentHashMap$Node",970,31040
"java.util.HashMap$Node",872,27904
"java.lang.Object",385,6160
"java.lang.Class[]",365,8048
"java.lang.String[]",324,13656
"java.lang.Object[]",298,10568
"java.lang.Class",287,91840
"java.util.ArrayList",195,4680
"sun.util.locale.LocaleObjectCache$CacheEntry",188,7520
"java.util.StringJoiner",178,7120
"int[]",165,8856
"java.lang.ref.SoftReference",163,6520
"java.util.TreeMap$Entry",154,6160
"org.jacoco.agent.rt.internal_aeaf9ab.asm.SymbolTable$Entry",151,8456
"boolean[]",147,7008
"java.nio.StringCharBuffer",144,8064
"java.lang.Long",142,3408
"char[]",141,215392
"java.lang.StringBuilder",138,3312
"org.jacoco.agent.rt.internal_aeaf9ab.core.data.ExecutionData",136,4352
"java.lang.reflect.Method",133,11704
"sun.util.locale.BaseLocale",105,3360
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Label",103,5768
"java.util.Locale",102,3264
"sun.util.locale.BaseLocale$Key",96,3072
"java.util.LinkedHashMap$Entry",95,3800
"java.util.stream.ReduceOps$3ReducingSink",95,3040
"java.util.Spliterators$ArraySpliterator",91,2912
"java.util.stream.Collectors$$Lambda$101.0x0000000100174528",91,2184
"java.util.stream.ReferencePipeline$3$1",89,2136
"java.util.stream.ReferencePipeline$Head",88,4928
"java.util.stream.ReduceOps$3",87,2784
"java.util.stream.Collectors$CollectorImpl",84,2688
"java.util.stream.ReferencePipeline$3",82,5248
"java.util.HashMap$Node[]",71,9112
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Type",71,2272
"java.lang.invoke.DirectMethodHandle",60,1920
"java.util.HashMap",57,2736
"org.apache.maven.surefire.api.util.internal.ImmutableMap$Node",47,1128
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.VarInsnNode",46,1840
"java.lang.invoke.LambdaForm$Name",43,1376
"java.lang.Class$ReflectionData",42,2688
"java.lang.Character$UnicodeBlock",41,656
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",41,1312
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.LabelNode",40,1600
"java.lang.StringBuffer",39,1248
"java.lang.reflect.Method[]",39,2104
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.LineNumberNode",39,1872
"org.jacoco.agent.rt.internal_aeaf9ab.asm.ByteVector",37,888
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.InsnNode",37,1480
"java.io.StringWriter",36,864
"java.util.Formatter$FormatSpecifier",36,1440
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.flow.LabelInfo",36,1152
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Type[]",35,680
"java.io.ByteArrayOutputStream",32,768
"java.lang.reflect.Constructor[]",31,728
"java.util.concurrent.ConcurrentHashMap$MapEntry",31,744
"java.lang.invoke.MethodType",28,1120
"java.lang.Byte",26,416
"java.lang.Short",25,400
"java.lang.ref.WeakReference",25,800
"jdk.internal.reflect.DelegatingConstructorAccessorImpl",25,400
"long[]",25,656
"java.nio.HeapByteBuffer",23,1288
"java.util.LinkedHashMap",23,1288
"org.apache.maven.surefire.api.util.internal.ClassMethod",23,552
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",22,1232
"java.util.Formatter$FixedString",21,672
"java.util.concurrent.ConcurrentHashMap$Node[]",21,5840
"sun.reflect.annotation.AnnotationInvocationHandler",21,504
"java.util.concurrent.ConcurrentLinkedQueue",20,480
"java.util.concurrent.ConcurrentLinkedQueue$Node",20,480
"jdk.internal.reflect.DelegatingMethodAccessorImpl",20,320
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.LocalVariableNode",18,720
"java.time.LocalDateTime",17,408
"net.bytebuddy.description.method.MethodDescription$ForLoadedMethod",17,544
"org.junit.runner.Description",17,544
"jdk.internal.reflect.NativeConstructorAccessorImpl",16,512
"jdk.internal.reflect.NativeMethodAccessorImpl",16,512
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.JumpInsnNode",16,640
"org.mockito.internal.util.concurrent.WeakConcurrentMap$LatentKey",16,384
"java.lang.ref.SoftReference[]",15,1008
"java.time.LocalDate",15,360
"java.util.ArrayList$SubList",15,480
"java.util.HashSet",15,240
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.MethodInsnNode",15,840
"java.lang.Package",14,448
"java.util.BitSet",14,336
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.FieldInsnNode",14,672
"java.lang.Character",13,208
"java.lang.PublicMethods$MethodList",13,312
"java.lang.invoke.LambdaForm$NamedFunction",13,312
"java.util.Formatter",13,416
"java.util.concurrent.ConcurrentHashMap",13,832
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.instr.MethodInstrumenter",13,312
"java.lang.annotation.Annotation[]",12,232
"org.apache.maven.surefire.booter.spi.EventChannelEncoder$StackTrace",12,288
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.FrameNode",12,576
"java.util.ArrayList$Itr",11,352
"jdk.internal.loader.AbstractClassLoaderValue$Sub",11,264
"char[][]",10,240
"java.lang.invoke.LambdaForm$Name[]",10,504
"java.lang.reflect.Constructor",10,720
"java.math.BigInteger",10,400
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Detached",10,240
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode",9,288
"jdk.internal.module.ServicesCatalog$ServiceProvider",9,216
"org.apache.maven.surefire.report.ClassMethodIndexer$$Lambda$106.0x000000010018c208",9,216
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.flow.ClassProbesAdapter$2",9,1224
"java.lang.ClassValue$ClassValueMap",8,512
"java.lang.ref.ReferenceQueue$Lock",8,128
"java.util.ImmutableCollections$List12",8,192
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.flow.MethodProbesAdapter",8,320
"sun.nio.cs.UTF_8$Encoder",8,384
"java.lang.invoke.LambdaForm",7,336
"java.net.URL",7,448
"java.util.GregorianCalendar",7,784
"java.util.jar.Attributes$Name",7,168
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Store$Entry$Resolved$Node",7,224
"com.sun.org.apache.xml.internal.serializer.EncodingInfo",6,144
"java.lang.ClassValue$Entry",6,192
"java.lang.Module",6,336
"java.lang.invoke.LambdaFormEditor$TransformKey",6,144
"java.lang.invoke.MethodTypeForm",6,192
"java.time.temporal.ChronoField",6,240
"java.util.regex.IntHashSet[]",6,96
"jdk.proxy2.$Proxy6",6,96
"net.bytebuddy.description.type.TypeDescription$ForLoadedType",6,240
"net.bytebuddy.implementation.bytecode.StackManipulation$Size",6,144
"org.apache.maven.surefire.api.util.internal.ImmutableMap",6,144
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Handle",6,192
"org.jacoco.agent.rt.internal_aeaf9ab.asm.MethodWriter",6,1344
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.InsnList",6,192
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.instr.DuplicateFrameEliminator",6,144
"sun.util.calendar.Gregorian$Date",6,576
"sun.util.calendar.ZoneInfo",6,336
"java.io.File",5,160
"java.lang.StackFrameInfo",5,160
"java.lang.WeakPairMap$Pair$Weak",5,200
"java.lang.invoke.BoundMethodHandle$Species_L",5,160
"java.lang.invoke.BoundMethodHandle$Species_LJ",5,200
"java.lang.invoke.DirectMethodHandle$Constructor",5,200
"java.lang.invoke.LambdaFormEditor$Transform",5,240
"java.lang.invoke.MemberName",5,240
"java.lang.invoke.MethodHandle[]",5,712
"java.lang.ref.ReferenceQueue",5,160
"java.math.BigInteger[]",5,264
"java.security.ProtectionDomain",5,200
"java.util.SimpleTimeZone",5,480
"java.util.WeakHashMap$Entry",5,200
"java.util.concurrent.CopyOnWriteArrayList",5,120
"java.util.concurrent.CopyOnWriteArrayList$COWIterator",5,120
"org.apache.maven.surefire.api.report.SimpleReportEntry",5,280
"org.jacoco.agent.rt.internal_aeaf9ab.asm.ConstantDynamic",5,160
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Frame",5,240
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Handler",5,200
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Label[]",5,928
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.flow.LabelFlowAnalyzer",5,160
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.instr.ProbeInserter",5,200
"java.lang.RuntimePermission",4,96
"java.lang.invoke.BoundMethodHandle$Species_LL",4,160
"java.lang.invoke.LambdaFormEditor",4,64
"java.lang.invoke.MethodHandles$Lookup",4,128
"java.security.Principal[]",4,64
"java.security.SecureClassLoader$CodeSourceKey",4,64
"java.text.DateFormat$Field",4,96
"java.util.HashMap$EntrySet",4,64
"java.util.LinkedList$Node",4,96
"java.util.WeakHashMap$Entry[]",4,320
"java.util.regex.Pattern$BmpCharPropertyGreedy",4,96
"net.bytebuddy.description.method.MethodDescription$TypeToken",4,96
"net.bytebuddy.description.method.ParameterList$ForLoadedExecutable$OfMethod",4,96
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Delegator$ForLoadedExecutableParameterType",4,96
"net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder$DelegationProcessor$Handler$Unbound",4,96
"net.bytebuddy.utility.dispatcher.JavaDispatcher$Dispatcher$ForNonStaticMethod",4,64
"org.apache.maven.surefire.api.booter.ForkedProcessEventType",4,128
"org.jacoco.agent.rt.internal_aeaf9ab.asm.SymbolTable$Entry[]",4,1896
"org.mockito.internal.creation.DelegatingMethod",4,96
"org.mockito.internal.creation.bytebuddy.TypeCachingBytecodeGenerator$TypeCachingLock",4,64
"sun.reflect.generics.tree.SimpleClassTypeSignature",4,96
"java.lang.ClassValue$Entry[]",3,432
"java.lang.NoSuchMethodException",3,120
"java.lang.Package$VersionInfo",3,120
"java.security.BasicPermissionCollection",3,72
"java.security.CodeSource",3,120
"java.security.SecureClassLoader$1",3,72
"java.time.Duration",3,72
"java.time.LocalTime",3,72
"java.time.ZoneOffset",3,72
"java.util.Collections$SingletonSet",3,48
"java.util.LinkedHashSet",3,48
"java.util.LinkedList",3,96
"java.util.concurrent.atomic.AtomicInteger",3,48
"java.util.concurrent.locks.ReentrantLock",3,48
"java.util.concurrent.locks.ReentrantLock$NonfairSync",3,96
"java.util.regex.Matcher",3,216
"jdk.internal.loader.NativeLibraries",3,96
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",3,144
"jdk.proxy2.$Proxy7",3,48
"junit.framework.TestResult$1",3,72
"net.bytebuddy.description.type.TypeList$Explicit",3,72
"net.bytebuddy.matcher.ElementMatcher$Junction$Conjunction",3,48
"net.bytebuddy.matcher.ModifierMatcher$Mode",3,96
"net.bytebuddy.utility.dispatcher.JavaDispatcher$ProxiedInvocationHandler",3,72
"org.apache.maven.surefire.common.junit4.JUnitTestFailureListener",3,48
"org.jacoco.agent.rt.internal_aeaf9ab.asm.FieldWriter",3,192
"org.jacoco.agent.rt.internal_aeaf9ab.asm.SymbolTable",3,216
"org.jacoco.agent.rt.internal_aeaf9ab.asm.commons.AnalyzerAdapter",3,144
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.TypeInsnNode",3,120
"org.junit.runner.notification.RunNotifier$5",3,96
"org.junit.runner.notification.RunNotifier$9",3,96
"org.junit.runner.notification.SynchronizedRunListener",3,72
"org.mockito.internal.creation.bytebuddy.$Proxy13",3,48
"org.mockito.internal.invocation.InterceptedInvocation",3,144
"org.mockito.internal.util.concurrent.WeakConcurrentMap$WeakKey",3,96
"sun.reflect.generics.factory.CoreReflectionFactory",3,72
"sun.reflect.generics.tree.FieldTypeSignature[]",3,64
"com.sun.proxy.jdk.proxy1.$Proxy1",2,32
"java.io.ObjectStreamField",2,80
"java.io.ObjectStreamField[]",2,72
"java.lang.Class$AnnotationData",2,48
"java.lang.IllegalArgumentException",2,80
"java.lang.WeakPairMap$Pair$Weak$1",2,64
"java.lang.invoke.ConstantCallSite",2,48
"java.lang.invoke.DirectMethodHandle$Accessor",2,80
"java.lang.invoke.MethodHandleImpl$AsVarargsCollector",2,80
