"Time [s]","Committed size","Free size","Used size"
0.0,258048000,245270000,12778000
1.01,258048000,226235000,31813000
2.01,258048000,214722000,43326000
3.01,27648000,13175000,14473000
4.02,31744000,15910000,15834000
5.02,148480000,113615000,34865000
6.03,148480000,93490000,54990000
7.03,148480000,87022000,61458000
8.03,148480000,93095000,55385000
9.03,148480000,116652000,31828000
10.03,148480000,96639000,51841000
11.04,148480000,99553000,48927000
12.04,148480000,96503000,51977000
13.04,148480000,96481000,51999000
14.05,148480000,96481000,51999000
15.05,148480000,96479000,52001000
16.05,148480000,96476000,52004000
17.06,148480000,96476000,52004000
18.06,148480000,96474000,52006000
19.06,148480000,96474000,52006000
20.06,148480000,96095000,52385000
