"Name","Instance Count","Size (bytes)"
"java.lang.Integer",100297,1604752
"byte[]",5138,3869112
"java.lang.String",1335,32040
"java.util.concurrent.ConcurrentHashMap$Node",940,30080
"java.util.HashMap$Node",860,27520
"char[]",487,848208
"java.lang.Object",419,6704
"java.lang.Class[]",377,8416
"java.lang.Object[]",343,13648
"java.lang.String[]",300,12808
"java.lang.Class",261,83520
"sun.util.locale.LocaleObjectCache$CacheEntry",206,8240
"java.util.ArrayList",192,4608
"java.io.ByteArrayOutputStream",185,4440
"java.lang.StringBuffer",179,5728
"int[]",175,9880
"java.util.TreeMap$Entry",172,6880
"java.util.StringJoiner",171,6840
"java.io.StringWriter",170,4080
"java.lang.Long",170,4080
"java.lang.ref.SoftReference",154,6160
"org.jacoco.agent.rt.internal_aeaf9ab.asm.SymbolTable$Entry",153,8568
"org.jacoco.agent.rt.internal_aeaf9ab.core.data.ExecutionData",145,4640
"java.nio.StringCharBuffer",142,7952
"java.lang.StringBuilder",126,3024
"boolean[]",123,5928
"java.lang.reflect.Method",108,9504
"sun.util.locale.BaseLocale$Key",103,3296
"java.util.LinkedHashMap$Entry",101,4040
"java.util.stream.ReduceOps$3ReducingSink",93,2976
"java.util.stream.ReduceOps$3",92,2944
"java.util.stream.ReferencePipeline$3$1",91,2184
"java.util.stream.Collectors$CollectorImpl",90,2880
"java.util.Locale",88,2816
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Label",87,4872
"sun.util.locale.BaseLocale",86,2752
"java.util.stream.ReferencePipeline$Head",84,4704
"java.util.stream.Collectors$$Lambda$101.0x000001e63d174528",81,1944
"java.util.stream.ReferencePipeline$3",78,4992
"java.util.Spliterators$ArraySpliterator",75,2400
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Type",71,2272
"java.util.HashMap$Node[]",70,15528
"java.lang.invoke.DirectMethodHandle",63,2016
"java.util.HashMap",58,2784
"java.util.LinkedHashMap",51,2856
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.VarInsnNode",50,2000
"org.apache.maven.surefire.api.util.internal.ImmutableMap$Node",48,1152
"java.lang.invoke.LambdaForm$Name",43,1376
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.LabelNode",42,1680
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.flow.LabelInfo",41,1312
"java.util.concurrent.ConcurrentHashMap$MapEntry",40,960
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Type[]",40,848
"java.lang.reflect.Method[]",39,2424
"java.lang.Class$ReflectionData",38,2432
"java.util.Formatter$FixedString",33,1056
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",32,1024
"java.util.concurrent.ConcurrentLinkedQueue$Node",31,744
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.LineNumberNode",31,1488
"java.lang.invoke.MethodType",27,1080
"java.lang.ref.WeakReference",27,864
"java.lang.Byte",26,416
"java.util.Formatter$FormatSpecifier",26,1040
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.InsnNode",26,1040
"java.lang.Short",25,400
"jdk.internal.reflect.DelegatingConstructorAccessorImpl",25,400
"java.lang.reflect.Constructor[]",23,544
"org.jacoco.agent.rt.internal_aeaf9ab.asm.ByteVector",23,552
"jdk.internal.reflect.DelegatingMethodAccessorImpl",22,352
"jdk.internal.reflect.NativeConstructorAccessorImpl",22,704
"java.lang.Character$UnicodeBlock",21,336
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",21,1176
"jdk.internal.reflect.NativeMethodAccessorImpl",21,672
"org.apache.maven.surefire.api.util.internal.ClassMethod",21,504
"java.time.LocalDateTime",19,456
"long[]",19,680
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.FieldInsnNode",18,864
"org.mockito.internal.util.concurrent.WeakConcurrentMap$LatentKey",18,432
"java.nio.HeapByteBuffer",17,952
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.MethodInsnNode",17,952
"sun.reflect.annotation.AnnotationInvocationHandler",17,408
"java.lang.Package",16,512
"jdk.internal.module.ServicesCatalog$ServiceProvider",16,384
"java.lang.reflect.Constructor",15,1080
"java.lang.annotation.Annotation[]",14,256
"java.util.BitSet",14,336
"java.util.concurrent.ConcurrentHashMap$Node[]",14,7296
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.flow.LabelFlowAnalyzer",14,448
"java.lang.Character",13,208
"java.lang.invoke.LambdaForm$NamedFunction",13,312
"java.util.ArrayList$Itr",13,416
"java.util.concurrent.ConcurrentLinkedQueue",13,312
"java.util.jar.Attributes$Name",13,312
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Detached",13,312
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Label[]",13,2008
"char[][]",12,296
"java.lang.PublicMethods$MethodList",12,288
"java.util.ArrayList$SubList",12,384
"java.util.concurrent.ConcurrentHashMap",12,768
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode",12,384
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.LocalVariableNode",12,480
"org.junit.runner.Description",12,384
"java.lang.ClassValue$ClassValueMap",11,704
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.flow.ClassProbesAdapter$2",11,1496
"java.lang.invoke.LambdaForm$Name[]",10,600
"java.math.BigInteger",10,400
"java.util.Formatter",10,320
"java.util.HashSet",10,160
"net.bytebuddy.description.method.MethodDescription$ForLoadedMethod",10,320
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.JumpInsnNode",10,400
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.flow.MethodProbesAdapter",10,400
"com.sun.org.apache.xml.internal.serializer.EncodingInfo",9,216
"java.lang.invoke.DirectMethodHandle$Constructor",9,360
"java.lang.invoke.LambdaForm",9,432
"java.lang.ref.SoftReference[]",9,728
"org.apache.maven.surefire.api.util.internal.ImmutableMap",9,216
"org.apache.maven.surefire.report.ClassMethodIndexer$$Lambda$106.0x000001e63d18c208",9,216
"java.lang.ref.ReferenceQueue$Lock",8,128
"java.net.URL",8,512
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.FrameNode",8,384
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.TypeInsnNode",8,320
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.flow.FrameSnapshot",8,192
"java.lang.invoke.LambdaFormEditor$Transform",7,336
"java.lang.invoke.LambdaFormEditor$TransformKey",7,168
"java.security.Principal[]",7,112
"java.util.Arrays$ArrayList",7,168
"java.util.Calendar$Builder",7,392
"java.util.ImmutableCollections$List12",7,168
"java.util.WeakHashMap$Entry",7,280
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Store$Entry$Resolved$Node",7,224
"sun.reflect.generics.tree.SimpleClassTypeSignature",7,168
"java.lang.Class$AnnotationData",6,144
"java.lang.WeakPairMap$Pair$Weak",6,240
"java.time.LocalDate",6,144
"java.time.temporal.ValueRange",6,288
"java.util.SimpleTimeZone",6,576
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",6,288
"jdk.proxy2.$Proxy6",6,96
"net.bytebuddy.utility.dispatcher.JavaDispatcher$Dispatcher$ForNonStaticMethod",6,96
"org.apache.maven.surefire.api.report.SimpleReportEntry",6,336
"org.jacoco.agent.rt.internal_aeaf9ab.asm.MethodWriter",6,1344
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.instr.DuplicateFrameEliminator",6,144
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.instr.ProbeInserter",6,240
"sun.nio.cs.UTF_8$Encoder",6,288
"sun.util.calendar.Gregorian$Date",6,576
"java.lang.ClassValue$Entry",5,160
"java.lang.Package$VersionInfo",5,200
"java.lang.ThreadLocal$ThreadLocalMap$Entry",5,160
