"Time [s]","Committed size","Free size","Used size"
0.0,258048000,244815000,13233000
1.0,258048000,227391000,30657000
2.0,258048000,218109000,39939000
3.01,27648000,13664000,13984000
4.01,30720000,12195000,18525000
5.01,86016000,42964000,43052000
6.02,86016000,26301000,59715000
7.02,86016000,38548000,47468000
8.02,86016000,36042000,49974000
9.03,86016000,42665000,43351000
10.03,86016000,17065000,68951000
11.03,86016000,12735000,73281000
12.04,86016000,12735000,73281000
13.04,86016000,12732000,73284000
14.04,86016000,12732000,73284000
15.05,86016000,12730000,73286000
16.05,86016000,12727000,73289000
17.06,86016000,12727000,73289000
18.06,86016000,12724000,73292000
19.06,86016000,12722000,73294000
20.07,86016000,56230000,29786000
