"Name","Instance Count","Size (bytes)"
"java.lang.Integer",100032,1600512
"byte[]",2374,2495208
"java.lang.String",1255,30120
"java.util.concurrent.ConcurrentHashMap$Node",971,31072
"java.util.HashMap$Node",822,26304
"java.lang.Object",441,7056
"java.lang.Class[]",393,8840
"java.lang.String[]",353,14640
"java.lang.Object[]",347,13368
"java.lang.Class",268,85760
"sun.util.locale.LocaleObjectCache$CacheEntry",207,8280
"java.util.StringJoiner",195,7800
"java.util.ArrayList",194,4656
"java.util.TreeMap$Entry",172,6880
"int[]",157,10104
"java.lang.Long",150,3600
"java.nio.StringCharBuffer",145,8120
"org.jacoco.agent.rt.internal_aeaf9ab.asm.SymbolTable$Entry",142,7952
"boolean[]",137,7288
"java.lang.ref.SoftReference",134,5360
"java.lang.StringBuilder",123,2952
"java.util.LinkedHashMap$Entry",120,4800
"org.jacoco.agent.rt.internal_aeaf9ab.core.data.ExecutionData",117,3744
"char[]",114,173288
"java.lang.reflect.Method",112,9856
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Label",110,6160
"java.util.stream.ReferencePipeline$3$1",103,2472
"sun.util.locale.BaseLocale$Key",101,3232
"java.util.stream.ReduceOps$3ReducingSink",100,3200
"java.util.Spliterators$ArraySpliterator",98,3136
"java.util.stream.ReduceOps$3",96,3072
"java.util.stream.Collectors$CollectorImpl",92,2944
"java.util.Locale",88,2816
"java.util.stream.Collectors$$Lambda$101.0x0000000100174528",87,2088
"java.util.stream.ReferencePipeline$Head",86,4816
"sun.util.locale.BaseLocale",86,2752
"java.util.stream.ReferencePipeline$3",80,5120
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Type",78,2496
"java.util.HashMap",75,3600
"java.lang.invoke.DirectMethodHandle",70,2240
"java.util.HashMap$Node[]",57,6776
"org.apache.maven.surefire.api.util.internal.ImmutableMap$Node",47,1128
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.flow.LabelInfo",46,1472
"java.lang.invoke.LambdaForm$Name",45,1440
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Type[]",42,856
"java.lang.Character$UnicodeBlock",41,656
"java.io.StringWriter",40,960
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.VarInsnNode",40,1600
"java.util.LinkedHashMap",38,2128
"java.lang.StringBuffer",37,1184
"java.lang.reflect.Constructor[]",37,808
"java.lang.invoke.MethodType",36,1440
"java.util.concurrent.ConcurrentHashMap$MapEntry",36,864
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.LabelNode",36,1440
"java.lang.Class$ReflectionData",34,2176
"java.util.Formatter$FormatSpecifier",31,1240
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",30,960
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.LineNumberNode",30,1440
"java.lang.ref.WeakReference",29,928
"java.lang.reflect.Method[]",29,1976
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.InsnNode",29,1160
"java.io.ByteArrayOutputStream",27,648
"java.lang.Byte",27,432
"org.apache.maven.surefire.api.util.internal.ClassMethod",27,648
"org.jacoco.agent.rt.internal_aeaf9ab.asm.ByteVector",27,648
"java.util.Formatter$FixedString",26,832
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",26,1456
"sun.reflect.annotation.AnnotationInvocationHandler",26,624
"java.lang.Short",25,400
"jdk.internal.reflect.DelegatingConstructorAccessorImpl",24,384
"java.lang.reflect.Constructor",23,1656
"java.util.concurrent.ConcurrentLinkedQueue$Node",23,552
"jdk.internal.reflect.NativeMethodAccessorImpl",22,704
"jdk.internal.reflect.NativeConstructorAccessorImpl",21,672
"java.util.concurrent.ConcurrentHashMap",20,1280
"java.nio.HeapByteBuffer",19,1064
"long[]",19,1360
"java.util.concurrent.ConcurrentLinkedQueue",18,432
"org.junit.runner.Description",17,544
"java.time.LocalDateTime",16,384
"java.util.ArrayList$SubList",16,512
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.FieldInsnNode",16,768
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.MethodInsnNode",16,896
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.LocalVariableNode",15,600
"org.mockito.internal.util.concurrent.WeakConcurrentMap$LatentKey",15,360
"java.util.Formatter",14,448
"java.util.HashSet",14,224
"java.util.concurrent.ConcurrentHashMap$Node[]",14,21568
"jdk.internal.reflect.DelegatingMethodAccessorImpl",14,224
"com.sun.org.apache.xml.internal.serializer.EncodingInfo",13,312
"java.util.ArrayList$Itr",13,416
"net.bytebuddy.description.method.MethodDescription$ForLoadedMethod",13,416
"java.lang.Character",12,192
"java.lang.Package",12,384
"java.lang.invoke.LambdaForm",12,576
"java.time.LocalDate",12,288
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode",12,384
"jdk.internal.module.ServicesCatalog$ServiceProvider",12,288
"char[][]",11,264
"java.lang.PublicMethods$MethodList",11,264
"jdk.proxy2.$Proxy6",11,176
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Detached",11,264
"org.jacoco.agent.rt.internal_aeaf9ab.asm.tree.JumpInsnNode",11,440
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.instr.MethodInstrumenter",11,264
"java.lang.Class$AnnotationData",10,240
"java.lang.invoke.LambdaForm$NamedFunction",10,240
"java.math.BigInteger",10,400
"java.util.BitSet",10,240
"java.lang.annotation.Annotation[]",9,152
"java.lang.ref.ReferenceQueue$Lock",9,144
"java.util.jar.Attributes$Name",9,216
"org.apache.maven.surefire.booter.spi.EventChannelEncoder$StackTrace",9,216
"org.apache.maven.surefire.report.ClassMethodIndexer$$Lambda$106.0x000000010018c208",9,216
"org.jacoco.agent.rt.internal_aeaf9ab.core.internal.flow.FrameSnapshot",9,216
"java.lang.ClassValue$Entry",8,256
"java.lang.invoke.MethodTypeForm",8,256
"java.lang.ref.SoftReference[]",8,608
"java.net.URL",8,512
"jdk.internal.loader.AbstractClassLoaderValue$Sub",8,192
"net.bytebuddy.description.method.ParameterList$ForLoadedExecutable$OfMethod",8,192
"org.jacoco.agent.rt.internal_aeaf9ab.asm.MethodWriter",8,1792
"java.io.File",7,224
"java.lang.Package$VersionInfo",7,280
"java.lang.invoke.LambdaForm$Name[]",7,392
"java.util.GregorianCalendar",7,784
"net.bytebuddy.description.type.TypeDescription$ForLoadedType",7,280
"org.apache.maven.surefire.api.util.internal.ImmutableMap",7,168
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Frame",7,336
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Label[]",7,1248
"java.lang.ClassValue$Entry[]",6,864
"java.security.ProtectionDomain",6,240
"java.time.temporal.ValueRange",6,288
"java.util.Arrays$ArrayList",6,144
"java.util.WeakHashMap$Entry",6,240
"jdk.internal.loader.NativeLibraries",6,192
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$OfMethodParameter",6,192
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Store$Entry$Resolved$Node",6,192
"net.bytebuddy.utility.dispatcher.JavaDispatcher$Dispatcher$ForNonStaticMethod",6,96
"org.apache.maven.surefire.api.report.SimpleReportEntry",6,336
"org.jacoco.agent.rt.internal_aeaf9ab.asm.Handle",6,192
"org.jacoco.agent.rt.internal_aeaf9ab.asm.SymbolTable$Entry[]",6,5048
