"Name","Instance Count","Size (bytes)"
"byte[]",4626,623048
"org.apache.jackrabbit.core.query.lucene.DocId$PlainDocId",3277,52432
"java.lang.String",2613,62712
"java.util.HashMap$Node",2262,72384
"java.util.concurrent.ConcurrentHashMap$Node",2065,66080
"java.lang.Object",1154,18464
"java.lang.Class[]",906,20944
"java.lang.Class",641,205120
"java.lang.Object[]",485,27264
"java.lang.StackTraceElement",334,16032
"java.util.ArrayList",289,6936
"java.util.TreeMap$Entry",256,10240
"org.apache.jackrabbit.core.value.InternalValue[]",253,5912
"org.apache.jackrabbit.core.virtual.VirtualPropertyState",252,12096
"java.util.LinkedHashMap$Entry",238,9520
"org.apache.jackrabbit.core.id.PropertyId",233,5592
"java.lang.ref.SoftReference",226,9040
"java.lang.StringBuilder",218,5232
"java.util.HashMap$Node[]",215,45304
"java.util.HashMap",210,10080
"com.sun.org.apache.xerces.internal.xni.QName",201,6432
"char[]",200,151016
"int[]",199,22384
"sun.util.locale.LocaleObjectCache$CacheEntry",197,7880
"java.lang.String[]",190,12512
"org.apache.tika.mime.MimeType",177,9912
"java.util.ArrayList$Itr",162,5184
"java.lang.reflect.Method",160,14080
"org.apache.tika.mime.MediaType",158,5056
"java.lang.invoke.LambdaForm$Name",137,4384
"java.net.URL",127,8128
"org.apache.jackrabbit.core.value.InternalValue",122,2928
"org.apache.tika.mime.MagicMatch",111,4440
"java.util.Locale",105,3360
"org.apache.derby.impl.store.raw.data.StoredRecordHeader",103,3296
"org.apache.commons.collections4.map.AbstractHashedMap$HashEntry[]",101,13456
"sun.util.locale.BaseLocale",100,3200
"sun.util.locale.BaseLocale$Key",98,3136
"org.apache.tika.detect.MagicDetector",92,4416
"java.lang.ref.ReferenceQueue$Lock",90,1440
"java.lang.Class$ReflectionData",87,5568
"long[]",87,23056
"java.lang.ref.ReferenceQueue",83,2656
"java.util.Collections$SingletonList",74,1776
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry",70,2240
"java.util.concurrent.locks.ReentrantLock",68,1088
"jdk.internal.math.FDBigInteger",68,2176
"org.apache.derby.impl.store.raw.data.RecordId",68,1632
"java.util.concurrent.locks.ReentrantLock$NonfairSync",67,2144
"org.apache.tika.mime.Magic",67,2144
"org.apache.commons.collections4.map.AbstractLinkedMap$LinkEntry",66,2640
"org.apache.derby.impl.services.cache.CacheEntry",64,2560
"java.lang.reflect.Method[]",62,4432
"java.util.LinkedHashMap",61,3416
"java.io.File",60,1920
"java.lang.invoke.MethodType",60,2400
"org.apache.jackrabbit.core.state.NameSet",57,1368
"java.util.concurrent.ConcurrentHashMap",56,3584
"org.apache.derby.impl.services.cache.ClockPolicy$Holder",56,1792
"java.util.concurrent.ConcurrentHashMap$Node[]",55,36912
"org.apache.jackrabbit.core.id.NodeId",54,1728
"java.lang.ref.WeakReference",53,1696
"org.apache.jackrabbit.core.cache.ConcurrentCache$1",53,3392
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",51,1632
"java.util.HashSet",49,784
"org.apache.commons.collections4.map.AbstractReferenceMap$WeakRef",48,1536
"org.apache.lucene.index.FieldInfo",48,1536
"java.util.LinkedHashMap$LinkedValues",47,752
"org.apache.commons.collections4.map.ReferenceMap",46,3312
"org.apache.derby.impl.services.uuid.BasicUUID",46,1472
"java.lang.reflect.Constructor[]",44,1016
"jdk.internal.reflect.NativeConstructorAccessorImpl",43,1376
"boolean[]",41,1272
"com.sun.org.apache.xerces.internal.util.XMLStringBuffer",40,960
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceValues",40,640
"java.util.zip.CRC32",38,608
"java.lang.Package",37,1184
"jdk.internal.reflect.DelegatingConstructorAccessorImpl",37,592
"org.apache.jackrabbit.core.state.ChildNodeEntry",36,1152
"java.lang.invoke.BoundMethodHandle$Species_LL",35,1400
"java.util.TreeMap",35,1680
"com.sun.org.apache.xerces.internal.xni.XMLString",34,816
"java.lang.reflect.Constructor",32,2304
"java.util.HashMap$KeySet",32,512
"org.apache.derby.catalog.types.BaseTypeIdImpl",32,1024
"org.apache.jackrabbit.core.virtual.VirtualNodeState",32,2304
"org.apache.derby.catalog.types.TypeDescriptorImpl",31,1240
"org.apache.derby.iapi.types.DataTypeDescriptor",31,744
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping[]",31,744
"java.lang.invoke.LambdaForm$Name[]",29,2088
"java.util.jar.Attributes$Name",29,696
"org.apache.commons.collections4.map.LinkedMap",29,1624
"org.apache.jackrabbit.core.cache.ConcurrentCache$E",29,696
"org.apache.jackrabbit.spi.commons.name.NamePath",29,1160
"java.lang.invoke.DirectMethodHandle",28,896
"java.util.WeakHashMap$Entry",28,1120
"org.apache.derby.impl.sql.compile.SQLParser$JJCalls",28,896
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping",28,672
