"Time [s]","Committed size","Free size","Used size"
0.0,258048000,250880000,7168000
1.01,258048000,235537000,22511000
2.01,258048000,237131000,20917000
3.01,30720000,10336000,20384000
4.02,30720000,16536000,14184000
5.02,30720000,16075000,14645000
6.02,30720000,8227000,22493000
7.02,30720000,15801000,14919000
8.03,30720000,11306000,19414000
9.03,30720000,11411000,19309000
10.03,34816000,15860000,18956000
11.03,34816000,14600000,20216000
12.03,34816000,10506000,24310000
13.04,34816000,11761000,23055000
14.04,34816000,6961000,27855000
