"Name","Instance Count","Size (bytes)"
"byte[]",12389,2076824
"java.lang.String",6613,158712
"org.apache.jackrabbit.core.query.lucene.DocId$PlainDocId",3277,52432
"java.lang.StackTraceElement",3172,152256
"java.util.HashMap$Node",2485,79520
"java.util.concurrent.ConcurrentHashMap$Node",2054,65728
"java.util.TreeMap$Entry",1964,78560
"java.lang.StringBuilder",1663,39912
"java.lang.Class[]",1642,41088
"java.lang.Object[]",1587,58136
"java.util.ArrayList$Itr",1459,46688
"java.lang.Object",1159,18544
"java.lang.String[]",1134,49240
"java.util.ArrayList",981,23544
"java.net.URL",789,50496
"net.bytebuddy.description.type.TypeDescription$ForLoadedType",737,29480
"java.lang.Class",665,212800
"net.bytebuddy.description.type.TypeDescription$Generic$OfNonGenericType$ForLoadedType",661,15864
"java.util.AbstractList$Itr",616,19712
"char[]",559,190160
"java.util.StringJoiner",484,19360
"java.util.LinkedHashMap$Entry",460,18400
"java.io.File",396,12672
"java.util.HashMap",388,18624
"java.lang.reflect.Method",383,33704
"java.util.HashMap$Node[]",344,38008
"int[]",301,106552
"net.bytebuddy.description.ByteCodeElement$Token$TokenList",287,6888
"net.bytebuddy.implementation.bytecode.StackManipulation$Size",264,6336
"java.util.stream.ReferencePipeline$Head",263,14728
"java.util.stream.ReduceOps$3ReducingSink",252,8064
"java.util.stream.Collectors$$Lambda$89.0x000000010013dcf0",250,6000
"java.util.stream.ReferencePipeline$3",250,16000
"java.util.stream.ReferencePipeline$3$1",250,6000
"java.util.stream.ReduceOps$3",244,7808
"java.util.Spliterators$ArraySpliterator",241,7712
"org.apache.jackrabbit.core.value.InternalValue[]",239,5416
"java.nio.StringCharBuffer",236,13216
"com.sun.org.apache.xerces.internal.xni.QName",230,7360
"net.bytebuddy.description.type.TypeList$Generic$Explicit",230,5520
"java.util.stream.Collectors$CollectorImpl",229,7328
"org.apache.jackrabbit.core.virtual.VirtualPropertyState",228,10944
"org.apache.jackrabbit.core.id.PropertyId",217,5208
"sun.util.locale.LocaleObjectCache$CacheEntry",213,8520
"java.lang.ref.SoftReference",208,8320
"java.util.Arrays$ArrayList",207,4968
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$OfMethodParameter",201,6432
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$ForLoadedReturnType",186,4464
"org.apache.tika.mime.MimeType",174,9744
"org.apache.tika.mime.MediaType",162,5184
"java.util.HashSet",160,2560
"java.lang.StackTraceElement[]",149,17408
"net.bytebuddy.description.method.ParameterDescription$ForLoadedParameter$OfMethod",143,4576
"net.bytebuddy.dynamic.Transformer$ForMethod$TransformedMethod$AttachmentVisitor",133,2128
"java.lang.invoke.LambdaForm$Name",132,4224
"java.util.Arrays$ArrayItr",128,3072
"net.bytebuddy.description.type.TypeList$Explicit",126,3024
"java.util.LinkedHashMap",123,6888
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",120,6720
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Delegator$ForLoadedExecutableParameterType",120,2880
"org.apache.jackrabbit.spi.commons.name.NamePath",120,4800
"org.apache.tika.mime.MagicMatch",114,4560
"org.apache.tika.detect.MagicDetector",107,5136
"java.util.concurrent.ConcurrentHashMap$MapEntry",103,2472
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Substitutor$ForAttachment",102,2448
"org.apache.jackrabbit.core.value.InternalValue",101,2424
"java.util.Locale",100,3200
"org.apache.derby.impl.store.raw.data.StoredRecordHeader",99,3168
"org.apache.maven.surefire.api.util.internal.ImmutableMap$Node",98,2352
"java.util.AbstractList$ListItr",96,3072
"sun.util.locale.BaseLocale",96,3072
"long[]",95,23688
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Delegator$ForLoadedMethodReturnType",95,1520
"org.apache.derby.impl.store.raw.data.RecordId",90,2160
"sun.util.locale.BaseLocale$Key",88,2816
"java.util.Collections$SingletonList",87,2088
"net.bytebuddy.description.method.ParameterList$TypeSubstituting",86,2752
"java.lang.reflect.Method[]",83,5336
"java.lang.invoke.MethodType",81,3240
"java.lang.ref.WeakReference",76,2432
"ch.qos.logback.classic.spi.LoggingEvent",75,5400
"java.lang.ref.ReferenceQueue",75,2400
"java.util.concurrent.locks.ReentrantLock$NonfairSync",73,2336
"net.bytebuddy.implementation.bytecode.StackManipulation$Compound",73,1168
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry",73,2336
"org.apache.tika.mime.Magic",73,2336
"java.lang.Class$ReflectionData",72,4608
"net.bytebuddy.implementation.bytecode.StackManipulation[]",70,1864
"java.util.concurrent.ConcurrentHashMap",69,4416
"java.lang.Throwable",68,2720
"net.bytebuddy.description.annotation.AnnotationList$Explicit",68,1632
"org.apache.commons.collections4.map.AbstractLinkedMap$LinkEntry",66,2640
"java.util.HashMap$KeySet",65,1040
"java.lang.ref.ReferenceQueue$Lock",64,1024
"java.util.LinkedHashMap$LinkedValues",64,1024
"java.util.concurrent.locks.ReentrantLock",64,1024
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant",64,1536
"net.bytebuddy.jar.asm.SymbolTable$Entry",63,3528
"org.apache.commons.collections4.map.AbstractReferenceMap$WeakRef",63,2016
"java.lang.reflect.Constructor[]",62,1432
"java.security.CodeSource",61,2440
"net.bytebuddy.dynamic.Transformer$ForMethod$TransformedMethod$TransformedParameterList",61,1464
"java.lang.invoke.BoundMethodHandle$Species_LL",60,2400
"org.apache.derby.impl.services.cache.CacheEntry",60,2400
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",59,2832
"org.apache.jackrabbit.core.state.ChildNodeEntries",59,1416
"org.apache.jackrabbit.core.state.NameSet",58,1392
"boolean[]",57,1576
"java.util.WeakHashMap$Entry",56,2240
"org.apache.commons.collections4.map.ReferenceMap",56,4032
"sun.reflect.annotation.AnnotatedTypeFactory$AnnotatedTypeBaseImpl",56,1792
"java.util.zip.CRC32",55,880
"net.bytebuddy.description.method.MethodDescription$TypeToken",55,1320
"org.apache.derby.impl.services.uuid.BasicUUID",55,1760
"net.bytebuddy.description.method.ParameterDescription$TypeSubstituting",54,1728
"org.apache.commons.collections4.map.AbstractHashedMap$HashEntry[]",54,15264
"org.apache.jackrabbit.spi.commons.name.NameFactoryImpl$NameImpl",54,1728
"java.security.SecureClassLoader$1",53,1272
"java.util.HashMap$KeyIterator",53,2120
"sun.nio.cs.SingleByte$Encoder",53,3392
"net.bytebuddy.implementation.bind.MethodDelegationBinder$ParameterBinding$Anonymous",52,1248
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",51,1632
"org.apache.derby.impl.services.cache.ClockPolicy$Holder",51,1632
"java.security.SecureClassLoader$CodeSourceKey",50,800
"java.util.HashMap$EntryIterator",48,1920
"com.sun.org.apache.xerces.internal.xni.XMLString",46,1104
"java.lang.invoke.DirectMethodHandle",45,1440
"jdk.internal.reflect.DelegatingConstructorAccessorImpl",45,720
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping",45,1080
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Substitutor$ForDetachment",43,688
"java.lang.Character$UnicodeBlock",41,656
"java.util.zip.ZipFile$ZipFileInputStream",41,2296
"org.apache.derby.catalog.types.TypeDescriptorImpl",41,1640
"com.sun.org.apache.xerces.internal.util.XMLStringBuffer",40,960
"java.lang.Long",40,960
"java.lang.annotation.Annotation[]",40,648
"net.bytebuddy.description.annotation.AnnotationList$ForLoadedAnnotations",40,960
"net.bytebuddy.description.method.MethodDescription$ForLoadedMethod",40,1280
"org.apache.jackrabbit.core.cache.ConcurrentCache$1",40,2560
"org.slf4j.helpers.FormattingTuple",40,960
"java.util.concurrent.ConcurrentHashMap$Node[]",39,10800
"java.util.HashMap$ValueIterator",38,1520
"java.util.TreeMap",38,1824
"java.util.jar.JarFile$JarFileEntry",38,3952
"org.apache.jackrabbit.core.id.NodeId",38,1216
"java.lang.PublicMethods$MethodList",37,888
"java.util.LinkedHashMap$LinkedValueIterator",37,1184
"java.util.jar.Attributes$Name",37,888
"java.lang.reflect.Constructor",36,2592
"java.lang.reflect.Parameter[]",36,936
"jdk.internal.loader.URLClassPath$JarLoader$2",36,1440
"net.bytebuddy.dynamic.Transformer$ForMethod$TransformedMethod$TransformedParameter",36,1152
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceValues",36,576
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping[]",36,864
"java.util.Hashtable$Entry",35,1120
"java.util.ResourceBundle$KeyElementReference",35,1120
"java.util.concurrent.atomic.AtomicLong",35,840
"java.util.zip.ZipFile$InflaterCleanupAction",35,840
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Detached",35,840
"java.lang.ref.SoftReference[]",34,2408
"java.lang.reflect.TypeVariable[]",34,552
"java.util.concurrent.CopyOnWriteArrayList$COWIterator",32,768
"net.bytebuddy.description.method.ParameterList$ForLoadedExecutable$OfMethod",32,768
"java.lang.Package",31,992
"java.util.AbstractList$SubList",31,992
"java.util.Collections$SingletonSet",31,496
"java.util.LinkedList",31,992
"java.util.concurrent.ConcurrentLinkedQueue$Node",31,744
"jdk.internal.reflect.NativeConstructorAccessorImpl",31,992
"com.sun.org.apache.xerces.internal.util.AugmentationsImpl",30,480
"java.lang.Byte",30,480
"net.bytebuddy.matcher.EqualityMatcher",30,480
"org.apache.derby.iapi.store.raw.PageKey",30,720
"com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer",29,928
"net.bytebuddy.implementation.attribute.AnnotationAppender$ForTypeAnnotations",29,928
"ch.qos.logback.classic.Logger",28,1344
"java.util.zip.ZipFile$ZipFileInflaterInputStream",28,1568
"net.bytebuddy.matcher.ElementMatcher[]",28,672
"org.apache.derby.impl.sql.compile.SQLParser$JJCalls",28,896
"org.apache.lucene.index.FieldInfo",28,896
"java.util.Formatter$FormatSpecifier",27,1080
"javax.management.ImmutableDescriptor",27,648
"org.apache.derby.catalog.types.BaseTypeIdImpl",27,864
"org.apache.derby.iapi.types.DataTypeDescriptor",27,648
"com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute",26,1248
"java.lang.Integer",26,416
"java.lang.Short",26,416
"java.lang.invoke.LambdaForm$NamedFunction",26,624
"java.lang.reflect.Type[]",26,944
"net.bytebuddy.description.type.TypeDescription$Generic$OfNonGenericType$ForErasure",26,624
"net.bytebuddy.matcher.ElementMatcher$Junction$Conjunction",25,400
"short[]",25,608
"java.util.Collections$SynchronizedSet",24,576
"java.util.LinkedList$Node",24,576
"java.util.concurrent.ConcurrentLinkedQueue",24,576
"org.apache.jackrabbit.spi.Name[]",24,496
"com.sun.jmx.mbeanserver.ConvertingMethod",23,736
"java.lang.invoke.LambdaForm",23,1104
"java.security.ProtectionDomain$Key",23,368
"java.util.Formatter$FixedString",23,736
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceValuesIterator",23,1104
"org.apache.derby.iapi.services.io.ArrayInputStream",23,736
"org.apache.derby.iapi.services.io.FormatableBitSet",23,552
"org.apache.jackrabbit.core.cache.ConcurrentCache$E",23,552
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Harmonized",22,528
"org.apache.derby.iapi.store.raw.ContainerKey",22,704
"java.lang.StringBuffer",21,672
"java.util.ImmutableCollections$List12",21,504
"java.util.WeakHashMap$Entry[]",21,1680
"net.bytebuddy.description.method.MethodDescription$Latent",21,1176
"net.bytebuddy.description.method.ParameterDescription$Latent",21,1008
"org.apache.derby.iapi.services.io.FormatIdInputStream",21,1008
"org.apache.derby.impl.store.raw.data.StoredRecordHeader[]",21,1160
"org.apache.jackrabbit.spi.commons.QPropertyDefinitionImpl",21,1176
"java.lang.invoke.LambdaForm$Name[]",20,1064
"java.util.TreeSet",20,320
"jdk.internal.reflect.DelegatingMethodAccessorImpl",20,320
"net.bytebuddy.description.method.MethodDescription$SignatureToken",20,640
"net.bytebuddy.description.type.TypeList$Generic$ForDetachedTypes",20,480
"net.bytebuddy.jar.asm.ByteVector",20,480
"org.apache.derby.iapi.types.SQLLongint",20,480
"org.apache.jackrabbit.core.state.ChildNodeEntry",20,640
"sun.reflect.annotation.AnnotationInvocationHandler",20,480
"java.lang.Package$VersionInfo",19,760
"jdk.internal.org.objectweb.asm.ByteVector",19,456
"net.bytebuddy.description.method.ParameterList$ForTokens",19,456
"net.bytebuddy.matcher.NegatingMatcher",19,304
"net.bytebuddy.matcher.StringMatcher",19,456
"net.bytebuddy.matcher.TypeSortMatcher",19,304
"org.apache.derby.iapi.types.DataValueDescriptor[]",19,664
"java.io.FileCleanable",18,1008
"java.util.WeakHashMap",18,864
"net.bytebuddy.description.field.FieldDescription$Latent",18,720
"net.bytebuddy.jar.asm.TypeReference",18,288
"org.apache.jackrabbit.core.virtual.VirtualNodeState",18,1296
"org.apache.maven.surefire.api.util.internal.ClassMethod",18,432
"java.time.LocalDateTime",17,408
"java.util.ResourceBundle$BundleReference",17,680
"java.util.TreeMap$KeySet",17,272
"jdk.xml.internal.SecuritySupport$$Lambda$100.0x000000010017ea48",17,272
"net.bytebuddy.implementation.bytecode.collection.ArrayFactory$ArrayCreator$ForReferenceType",17,272
"char[][]",16,384
"java.util.HashMap$Values",16,256
"java.util.concurrent.CopyOnWriteArrayList",16,384
"jdk.internal.org.objectweb.asm.Label",16,896
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Store$Entry$Resolved$Node",16,512
"net.bytebuddy.implementation.bytecode.ByteCodeAppender$Size",16,384
"org.apache.commons.collections4.map.LinkedMap",16,896
"org.apache.derby.impl.sql.GenericColumnDescriptor",16,640
"org.apache.jackrabbit.spi.Path$Element[]",16,656
"org.apache.lucene.util.WeakIdentityMap$IdentityWeakReference",16,512
"com.sun.jmx.mbeanserver.MXBeanMapping[]",15,352
"com.sun.org.apache.xerces.internal.util.FeatureState",15,360
"com.sun.org.apache.xerces.internal.util.PropertyState",15,360
"java.io.FileDescriptor",15,600
"java.lang.invoke.MethodHandleImpl$AsVarargsCollector",15,600
"java.lang.reflect.AnnotatedType[]",15,464
"java.security.ProtectionDomain",15,600
"java.util.Formatter",15,480
"java.util.LinkedList$ListItr",15,480
"java.util.ResourceBundle$CacheKey",15,1080
"jdk.internal.module.ServicesCatalog$ServiceProvider",15,360
"jdk.internal.reflect.NativeMethodAccessorImpl",15,480
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$ForComponentType",15,240
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$WithResolvedErasure",15,480
"net.bytebuddy.description.type.TypeList$Generic$OfMethodExceptionTypes",15,360
"net.bytebuddy.implementation.bytecode.collection.ArrayFactory$ArrayStackManipulation",15,360
"net.bytebuddy.implementation.bytecode.member.MethodInvocation$Invocation",15,360
"net.bytebuddy.matcher.NameMatcher",15,240
"org.apache.derby.impl.store.raw.data.StoredPage",15,2880
"org.apache.jackrabbit.core.state.NodeState",15,960
"org.apache.tika.mime.AndClause",15,240
"sun.reflect.generics.tree.SimpleClassTypeSignature",15,360
"EDU.oswego.cs.dl.util.concurrent.ConcurrentReaderHashMap$Entry",14,448
"com.sun.org.apache.xerces.internal.xni.QName[]",14,1344
"java.util.Collections$1",14,336
"java.util.HashMap$EntrySet",14,224
"java.util.LinkedHashMap$LinkedKeyIterator",14,448
"net.bytebuddy.description.annotation.AnnotationValue$ForTypeDescription",14,224
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Delegator$ForLoadedExecutableExceptionType",14,336
"net.bytebuddy.description.type.TypeList$Generic$OfMethodExceptionTypes$TypeProjection",14,448
"net.bytebuddy.implementation.attribute.AnnotationAppender$Default",14,224
"net.bytebuddy.implementation.bytecode.collection.ArrayFactory",14,336
"net.bytebuddy.implementation.bytecode.member.FieldAccess$AccessDispatcher",14,336
"net.bytebuddy.implementation.bytecode.member.FieldAccess$AccessDispatcher$FieldGetInstruction",14,336
"org.apache.jackrabbit.core.state.PropertyState",14,560
"java.lang.Character",13,208
"java.lang.Class$AnnotationData",13,312
"java.lang.PublicMethods$Key",13,312
"java.lang.invoke.MemberName",13,624
"java.nio.HeapByteBuffer",13,728
"java.util.Stack",13,416
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$ForSignatureVisitor",13,208
"net.bytebuddy.implementation.bytecode.member.MethodVariableAccess$OffsetLoading",13,312
