"Name","Instance Count","Size (bytes)"
"byte[]",5069,1114136
"org.apache.jackrabbit.core.query.lucene.DocId$PlainDocId",3276,52416
"java.lang.String",3037,72888
"java.util.HashMap$Node",2375,76000
"java.util.concurrent.ConcurrentHashMap$Node",2044,65408
"java.lang.Object",1168,18688
"java.lang.Class[]",972,22648
"java.lang.Class",656,209920
"java.lang.String[]",515,23560
"java.lang.Object[]",513,53976
"java.lang.StringBuilder",317,7608
"java.util.ArrayList",278,6672
"java.util.LinkedHashMap$Entry",268,10720
"org.apache.jackrabbit.core.id.PropertyId",256,6144
"int[]",251,68552
"org.apache.jackrabbit.core.value.InternalValue[]",229,5232
"java.util.TreeMap$Entry",228,9120
"java.lang.ref.SoftReference",222,8880
"java.util.HashMap$Node[]",215,48832
"java.util.StringJoiner",215,8600
"sun.util.locale.LocaleObjectCache$CacheEntry",213,8520
"com.sun.org.apache.xerces.internal.xni.QName",210,6720
"java.lang.reflect.Method",209,18392
"org.apache.jackrabbit.core.virtual.VirtualPropertyState",206,9888
"java.util.HashMap",204,9792
"org.apache.tika.mime.MediaType",202,6464
"char[]",192,76480
"java.net.URL",150,9600
"org.apache.tika.mime.MimeType",142,7952
"java.lang.invoke.LambdaForm$Name",139,4448
"java.util.stream.Collectors$$Lambda$89.0x000000010017e350",121,2904
"java.util.stream.ReduceOps$3ReducingSink",121,3872
"java.util.stream.ReduceOps$3",119,3808
"java.util.Spliterators$ArraySpliterator",118,3776
"java.lang.StackTraceElement",115,5520
"java.util.stream.Collectors$CollectorImpl",112,3584
"java.util.stream.ReferencePipeline$3",112,7168
"org.apache.jackrabbit.core.value.InternalValue",112,2688
"java.util.stream.ReferencePipeline$3$1",108,2592
"java.util.stream.ReferencePipeline$Head",108,6048
"org.apache.derby.impl.store.raw.data.StoredRecordHeader",107,3424
"java.nio.StringCharBuffer",103,5768
"org.apache.tika.detect.MagicDetector",102,4896
"java.util.Locale",100,3200
"sun.util.locale.BaseLocale",96,3072
"org.apache.tika.mime.MagicMatch",95,3800
"java.util.ArrayList$Itr",92,2944
"long[]",88,23112
"sun.util.locale.BaseLocale$Key",88,2816
"java.util.Collections$SingletonList",82,1968
"org.apache.derby.impl.store.raw.data.RecordId",79,1896
"java.lang.Class$ReflectionData",77,4928
"java.io.File",73,2336
"java.util.concurrent.locks.ReentrantLock$NonfairSync",73,2336
"java.lang.reflect.Method[]",72,4256
"org.apache.jackrabbit.core.state.NameSet",69,1656
"org.apache.derby.impl.services.cache.CacheEntry",67,2680
"org.apache.tika.mime.Magic",66,2112
"java.lang.ref.ReferenceQueue",64,2048
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry",64,2048
"java.util.concurrent.locks.ReentrantLock",63,1008
"java.lang.reflect.Constructor[]",58,1464
"java.util.concurrent.ConcurrentHashMap",58,3712
"org.apache.derby.impl.services.cache.ClockPolicy$Holder",57,1824
"com.sun.org.apache.xerces.internal.util.XMLStringBuffer",56,1344
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",55,1760
"org.apache.commons.collections4.map.AbstractLinkedMap$LinkEntry",53,2120
"jdk.internal.reflect.DelegatingConstructorAccessorImpl",52,832
"java.util.concurrent.ConcurrentHashMap$MapEntry",51,1224
"java.lang.invoke.MethodType",49,1960
"org.apache.maven.surefire.api.util.internal.ImmutableMap$Node",49,1176
"org.apache.derby.catalog.types.TypeDescriptorImpl",47,1880
"org.apache.jackrabbit.core.id.NodeId",47,1504
"java.lang.ref.ReferenceQueue$Lock",44,704
"java.util.LinkedHashMap",44,2464
"java.util.ResourceBundle$KeyElementReference",44,1408
"org.apache.commons.collections4.map.ReferenceMap",44,3168
"org.apache.derby.impl.services.uuid.BasicUUID",44,1408
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping",44,1056
"boolean[]",43,1224
"java.lang.Package",42,1344
"jdk.internal.reflect.NativeConstructorAccessorImpl",42,1344
"java.lang.Character$UnicodeBlock",41,656
"org.apache.commons.collections4.map.AbstractReferenceMap$WeakRef",40,1280
"java.util.TreeMap",39,1872
"java.lang.invoke.BoundMethodHandle$Species_LL",38,1520
"java.util.HashSet",38,608
"org.apache.derby.catalog.types.BaseTypeIdImpl",36,1152
"java.lang.ref.WeakReference",35,1120
"java.util.concurrent.ConcurrentHashMap$Node[]",35,4976
"org.apache.commons.collections4.map.AbstractHashedMap$HashEntry[]",35,4208
"org.apache.jackrabbit.core.state.ChildNodeEntry",34,1088
"com.sun.org.apache.xerces.internal.xni.XMLString",33,792
"java.util.WeakHashMap$Entry[]",33,2640
"org.apache.jackrabbit.spi.commons.name.NameFactoryImpl$NameImpl",33,1056
"ch.qos.logback.classic.Logger",31,1488
"com.sun.org.apache.xerces.internal.util.AugmentationsImpl",31,496
"java.util.HashMap$KeySet",31,496
"org.apache.jackrabbit.core.cache.concurrent.ConcurrentCache$1",31,1984
"java.lang.reflect.Constructor",30,2160
"org.apache.derby.iapi.types.DataTypeDescriptor",29,696
"org.apache.derby.impl.sql.compile.SQLParser$JJCalls",29,928
"org.apache.jackrabbit.core.state.ChildNodeEntries",29,696
"com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer",28,896
"com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute",28,1344
"java.util.jar.Attributes$Name",28,672
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping[]",28,672
"java.lang.Byte",27,432
"java.util.zip.CRC32",27,432
"jdk.internal.reflect.DelegatingMethodAccessorImpl",27,432
"org.apache.lucene.index.FieldInfo",27,864
"java.lang.Short",26,416
"java.util.concurrent.atomic.AtomicLong",26,624
"java.lang.invoke.LambdaForm$NamedFunction",25,600
"java.util.Hashtable$Entry",25,800
"java.util.concurrent.atomic.AtomicInteger",25,400
"javax.management.ImmutableDescriptor",25,600
"org.apache.jackrabbit.core.cache.concurrent.ConcurrentCache$E",24,576
"short[]",24,584
"java.lang.Integer",23,368
"java.lang.ref.SoftReference[]",23,1880
"java.util.LinkedHashMap$LinkedValues",23,368
"java.util.TreeMap$KeySet",23,368
"com.sun.jmx.mbeanserver.ConvertingMethod",22,704
"java.lang.Long",22,528
"java.lang.invoke.BoundMethodHandle$Species_LJ",22,880
"java.lang.invoke.DirectMethodHandle",22,704
"java.lang.invoke.LambdaForm",22,1056
"java.lang.invoke.LambdaForm$Name[]",22,1208
"java.security.Principal[]",22,352
"java.util.LinkedList$Node",22,528
"java.util.TreeSet",22,352
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceValues",22,352
"org.apache.derby.iapi.services.io.ArrayInputStream",22,704
"java.io.FileDescriptor",21,840
"java.lang.invoke.MethodTypeForm",21,672
"java.time.LocalDateTime",21,504
"java.util.ImmutableCollections$List12",21,504
"java.util.WeakHashMap$Entry",21,840
"java.util.concurrent.CopyOnWriteArrayList",21,504
"org.apache.derby.iapi.services.io.FormatableBitSet",21,504
"org.apache.derby.iapi.sql.dictionary.IndexRowGenerator",21,504
"org.apache.derby.impl.store.raw.data.StoredRecordHeader[]",21,1848
"sun.reflect.annotation.AnnotationInvocationHandler",21,504
"java.security.CodeSource",20,800
"jdk.internal.loader.AbstractClassLoaderValue$Sub",20,480
"org.apache.derby.iapi.types.DataValueDescriptor[]",20,712
"org.apache.jackrabbit.core.virtual.VirtualNodeState",20,1440
"com.sun.jmx.mbeanserver.MXBeanMapping[]",19,344
"java.lang.Package$VersionInfo",19,760
"org.apache.tika.mime.Clause[]",19,456
"EDU.oswego.cs.dl.util.concurrent.ConcurrentReaderHashMap$Entry",18,576
"java.security.ProtectionDomain$Key",18,288
"org.apache.derby.iapi.store.raw.PageKey",18,432
"org.apache.jackrabbit.spi.commons.name.path.NamePath",18,720
"java.io.FileCleanable",17,952
"org.apache.derby.iapi.services.io.FormatIdInputStream",17,816
"org.apache.jackrabbit.spi.commons.definition.QPropertyDefinitionImpl",17,952
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",16,768
"org.apache.derby.impl.sql.GenericColumnDescriptor",16,640
"org.apache.jackrabbit.spi.QValueConstraint[]",16,320
"java.util.concurrent.ConcurrentHashMap$ValueIterator",15,840
"org.apache.derby.iapi.store.raw.ContainerKey",15,480
"com.sun.org.apache.xerces.internal.xni.QName[]",14,1392
"java.io.RandomAccessFile$1",14,224
"java.util.Arrays$ArrayList",14,336
"java.util.LinkedList",14,448
"jdk.internal.loader.NativeLibraries",14,448
"jdk.internal.reflect.NativeMethodAccessorImpl",14,448
"org.apache.derby.impl.store.raw.data.StoredPage",14,2688
"org.apache.jackrabbit.spi.Name[]",14,336
"org.junit.runner.Description",14,448
"java.lang.Character",13,208
"java.nio.HeapByteBuffer",13,728
"java.security.ProtectionDomain",13,520
"java.util.ArrayDeque",13,312
"java.util.Collections$SynchronizedSet",13,312
"java.util.HashMap$EntrySet",13,208
"java.util.WeakHashMap",13,624
"javax.management.MBeanInfo",13,624
"jdk.internal.module.ServicesCatalog$ServiceProvider",13,312
"org.apache.commons.collections4.map.LinkedMap",13,728
"org.apache.derby.iapi.sql.dictionary.ColumnDescriptor",13,1144
"char[][]",12,288
"com.sun.org.apache.xerces.internal.util.XMLResourceIdentifierImpl",12,384
"java.io.RandomAccessFile",12,384
"java.lang.invoke.BoundMethodHandle$Species_L",12,384
"javax.management.MBeanAttributeInfo",12,384
"org.apache.derby.iapi.types.SQLLongint",12,288
"org.apache.derby.impl.store.raw.data.StoredRecordHeader$OverflowInfo",12,384
"org.apache.jackrabbit.core.persistence.util.NodePropBundle$PropertyEntry",12,384
"com.sun.jmx.mbeanserver.PerInterface$MethodAndSig",11,264
"com.sun.org.apache.xerces.internal.util.PropertyState",11,264
"int[][]",11,648
"java.lang.RuntimePermission",11,264
"java.security.SecureClassLoader$CodeSourceKey",11,176
"java.util.LinkedHashMap$LinkedKeySet",11,176
"javax.management.MBeanParameterInfo[]",11,280
"javax.management.ObjectName$Property",11,264
"org.apache.commons.collections4.map.AbstractReferenceMap$SoftRef",11,440
"org.apache.jackrabbit.core.state.NodeState",11,704
"org.apache.jackrabbit.spi.commons.definition.QNodeTypeDefinitionImpl",11,528
"org.apache.lucene.index.CompoundFileReader$FileEntry",11,352
"sun.nio.ch.FileDispatcherImpl",11,176
"sun.reflect.generics.tree.TypeArgument[]",11,192
"java.io.ObjectStreamField",10,400
"java.lang.Class$AnnotationData",10,240
"java.lang.ThreadLocal",10,160
"java.time.LocalDate",10,240
"java.util.Collections$SynchronizedMap",10,320
"java.util.Hashtable",10,480
"java.util.concurrent.CopyOnWriteArrayList$COWIterator",10,240
"java.util.jar.JarFile",10,560
"javax.management.MBeanParameterInfo",10,320
"org.apache.derby.impl.services.monitor.FileMonitor$3",10,240
"org.apache.derby.impl.sql.depend.BasicDependency",10,240
"org.apache.derby.impl.store.access.heap.Heap",10,320
"org.apache.jackrabbit.core.state.PropertyState",10,400
"org.apache.maven.surefire.api.util.internal.ClassMethod",10,240
"org.apache.tika.mime.AndClause",10,160
"com.sun.org.apache.xerces.internal.dom.DeferredTextImpl",9,360
"com.sun.org.apache.xerces.internal.impl.dtd.XMLSimpleType",9,360
"java.lang.PublicMethods$Key",9,216
"java.lang.StackTraceElement[]",9,784
"java.lang.invoke.BoundMethodHandle$Species_LLLLL",9,432
"java.lang.invoke.LambdaFormEditor$Transform",9,432
"java.lang.reflect.Type[]",9,216
"java.nio.channels.spi.AbstractInterruptibleChannel$1",9,144
"java.util.HashMap$TreeNode",9,504
"java.util.ResourceBundle$CacheKey",9,648
"java.util.Stack",9,288
"org.apache.derby.iapi.services.loader.ClassInfo",9,216
"org.apache.derby.impl.io.DirFile",9,360
"org.apache.derby.impl.services.bytecode.Type",9,288
"org.apache.derby.impl.store.raw.data.AllocExtent",9,720
"org.apache.jackrabbit.core.nodetype.BitSetENTCacheImpl$BitSetKey",9,288
"org.apache.lucene.util.CloseableThreadLocal",9,216
"org.apache.lucene.util.WeakIdentityMap$IdentityWeakReference",9,288
"sun.security.util.LazyCodeSourcePermissionCollection",9,216
"com.sun.management.internal.DiagnosticCommandImpl$Wrapper",8,256
"com.sun.org.apache.xerces.internal.util.FeatureState",8,192
"java.lang.PublicMethods$MethodList",8,192
"java.lang.invoke.MethodHandleImpl$AsVarargsCollector",8,320
"java.util.Collections$SetFromMap",8,192
"java.util.Collections$UnmodifiableRandomAccessList",8,192
"java.util.HashMap$Values",8,128
"java.util.Hashtable$Entry[]",8,784
"java.util.LinkedHashMap$LinkedKeyIterator",8,256
"java.util.concurrent.ConcurrentLinkedQueue",8,192
"java.util.concurrent.ConcurrentLinkedQueue$Node",8,192
"java.util.jar.JarFile$JarFileEntry",8,832
"javax.management.ObjectName$Property[]",8,208
"net.bytebuddy.description.method.MethodDescription$ForLoadedMethod",8,256
"org.apache.derby.impl.services.bytecode.VMTypeIdCacheable",8,192
"org.apache.derby.impl.sql.GenericResultDescription",8,256
"org.apache.derby.impl.store.access.CacheableConglomerate",8,192
"org.apache.derby.impl.store.access.heap.HeapRowLocation",8,256
"org.apache.jackrabbit.core.nodetype.NodeTypeImpl",8,320
"org.apache.lucene.index.CompoundFileReader$CSIndexInput",8,512
"org.apache.lucene.util.UnicodeUtil$UTF16Result",8,192
"org.apache.tika.mime.MimeType$RootXML",8,192
"sun.reflect.generics.tree.ClassTypeSignature",8,128
"com.sun.management.internal.DiagnosticCommandArgumentInfo",7,280
"com.sun.org.apache.xerces.internal.dom.DeferredAttrImpl",7,280
"com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute[]",7,224
"com.sun.org.apache.xml.internal.serializer.EncodingInfo",7,168
"java.lang.NamedPackage",7,168
"java.lang.StringBuffer",7,224
"java.lang.ThreadLocal$ThreadLocalMap$Entry",7,224
