"Time [s]","Committed size","Free size","Used size"
0.0,258048000,250880000,7168000
1.0,258048000,234571000,23477000
2.01,258048000,189247000,68801000
3.01,258048000,119872000,138176000
4.01,258048000,164057000,93991000
5.01,258048000,229540000,28508000
6.02,258048000,160182000,97866000
7.02,258048000,104886000,153162000
8.02,258048000,227799000,30249000
9.02,258048000,210391000,47657000
10.02,258048000,195543000,62505000
11.02,258048000,184791000,73257000
12.03,258048000,176599000,81449000
13.03,81920000,48416000,33504000
14.03,81920000,17372000,64548000
