"Name","Instance Count","Size (bytes)"
"org.apache.jackrabbit.spi.commons.name.NamePath",20163,806520
"byte[]",16703,3513672
"java.lang.String",10841,260184
"org.apache.jackrabbit.spi.commons.value.DefaultQValue",3263,78312
"org.apache.jackrabbit.spi.commons.PropertyInfoImpl",2620,83840
"java.util.HashMap$Node",2588,82816
"java.lang.StringBuilder",2143,51432
"org.apache.jackrabbit.spi.QValue[]",2038,48912
"org.apache.jackrabbit.spi.commons.identifier.AbstractIdFactory$NodeIdImpl",1725,41400
"java.net.URL",1570,100480
"java.lang.Object[]",1550,51000
"org.apache.jackrabbit.spi.commons.identifier.AbstractIdFactory$PropertyIdImpl",1411,45152
"net.bytebuddy.description.type.TypeDescription$ForLoadedType",1222,48880
"java.util.ArrayList",1168,28032
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",1151,64456
"int[]",1044,43416
"java.util.concurrent.ConcurrentHashMap$Node",1033,33056
"java.lang.Class[]",1007,25632
"java.util.AbstractList$Itr",992,31744
"net.bytebuddy.description.type.TypeDescription$Generic$OfNonGenericType$ForLoadedType",957,22968
"java.util.ArrayList$Itr",841,26912
"char[]",775,331848
"java.io.File",749,23968
"java.lang.Object",527,8432
"jdk.internal.org.objectweb.asm.Label",515,28840
"net.bytebuddy.description.type.TypeList$Generic$Explicit",439,10536
"net.bytebuddy.description.ByteCodeElement$Token$TokenList",400,9600
"java.util.Arrays$ArrayList",336,8064
"jdk.internal.org.objectweb.asm.Frame",303,14544
"java.util.LinkedHashMap$Entry",299,11960
"java.lang.Class",292,93440
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$ForLoadedReturnType",259,6216
"net.bytebuddy.implementation.bytecode.StackManipulation$Size",255,6120
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$OfMethodParameter",231,7392
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Substitutor$ForAttachment",224,5376
"jdk.internal.org.objectweb.asm.Edge",220,5280
"net.bytebuddy.description.method.MethodDescription$ForLoadedMethod",208,6656
"sun.util.locale.LocaleObjectCache$CacheEntry",205,8200
"java.lang.reflect.Method",189,16632
"net.bytebuddy.description.type.TypeList$Explicit",176,4224
"net.bytebuddy.description.annotation.AnnotationList$Explicit",174,4176
"java.util.HashMap$Node[]",172,17184
"java.util.HashMap",171,8208
"java.lang.PublicMethods$MethodList",169,4056
"net.bytebuddy.description.method.ParameterDescription$ForLoadedParameter$OfMethod",169,5408
"java.lang.ref.SoftReference",156,6240
"jdk.internal.org.objectweb.asm.ByteVector",155,3720
"java.util.AbstractList$ListItr",154,4928
"java.util.LinkedHashMap",143,8008
"jdk.internal.org.objectweb.asm.Handler",141,5640
"java.util.Arrays$ArrayItr",138,3312
"java.util.jar.JarFile$JarFileEntry",136,14144
"java.util.zip.ZipFile$InflaterCleanupAction",134,3216
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",133,6384
"java.util.zip.ZipFile$ZipFileInputStream",130,7280
"java.util.zip.ZipFile$ZipFileInflaterInputStream",129,7224
"java.security.SecureClassLoader$CodeSourceKey",127,2032
"java.util.WeakHashMap$Entry",125,5000
"jdk.internal.loader.URLClassPath$JarLoader$2",125,5000
"java.security.CodeSource",121,4840
"java.security.SecureClassLoader$1",121,2904
"java.util.zip.CRC32",121,1936
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Delegator$ForLoadedMethodReturnType",117,1872
"java.lang.invoke.MethodType",116,4640
"net.bytebuddy.dynamic.Transformer$ForMethod$TransformedMethod$AttachmentVisitor",105,1680
"sun.util.locale.BaseLocale$Key",104,3328
"net.bytebuddy.jar.asm.SymbolTable$Entry",102,5712
"net.bytebuddy.description.method.ParameterList$TypeSubstituting",100,3200
"net.bytebuddy.description.method.MethodDescription$TypeToken",99,2376
"java.util.HashSet",95,1520
"java.util.AbstractList$SubList",93,2976
"java.util.HashMap$KeyIterator",92,3680
"org.apache.jackrabbit.spi.commons.name.NameFactoryImpl$NameImpl",91,2912
"java.util.Locale",89,2848
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Delegator$ForLoadedExecutableParameterType",89,2136
"net.bytebuddy.implementation.bytecode.StackManipulation[]",88,2328
"sun.util.locale.BaseLocale",88,2816
"net.bytebuddy.description.method.ParameterDescription$Latent",86,4128
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant",85,2040
"jdk.internal.org.objectweb.asm.MethodWriter",80,17920
"java.lang.reflect.Type[]",77,2104
"java.lang.String[]",76,2816
"org.apache.jackrabbit.spi.commons.ChildInfoImpl",74,1776
"net.bytebuddy.description.method.ParameterList$ForTokens",69,1656
"jdk.internal.math.FDBigInteger",68,2176
"net.bytebuddy.description.annotation.AnnotationList$ForLoadedAnnotations",68,1632
"jdk.internal.org.objectweb.asm.Type[]",67,1360
"net.bytebuddy.implementation.bytecode.StackManipulation$Compound",67,1072
"java.lang.PublicMethods$Key",65,1560
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Detached",64,1536
"java.util.Collections$1",63,1512
"net.bytebuddy.dynamic.Transformer$ForMethod$TransformedMethod$TransformedParameterList",61,1464
"java.lang.invoke.LambdaForm$Name",60,1920
"net.bytebuddy.matcher.ElementMatcher[]",60,1440
"java.lang.annotation.Annotation[]",56,912
"sun.reflect.generics.tree.TypeArgument[]",54,944
"java.lang.reflect.Method[]",52,2920
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Substitutor$ForDetachment",50,800
"sun.reflect.generics.factory.CoreReflectionFactory",50,1200
"sun.reflect.generics.tree.SimpleClassTypeSignature",50,1200
"net.bytebuddy.matcher.StringMatcher",48,1152
"jdk.internal.org.objectweb.asm.FieldWriter",47,3008
"org.apache.jackrabbit.spi.commons.NodeInfoImpl",47,2256
"sun.reflect.generics.parser.SignatureParser",47,1128
"sun.reflect.generics.tree.ClassTypeSignature",47,752
"java.util.LinkedHashMap$LinkedValues",46,736
"net.bytebuddy.description.method.ParameterDescription$TypeSubstituting",46,1472
"net.bytebuddy.matcher.NameMatcher",45,720
"java.util.HashMap$ValueIterator",44,1760
"java.util.StringJoiner",43,1720
"net.bytebuddy.dynamic.Transformer$ForMethod$TransformedMethod$TransformedParameter",42,1344
"java.lang.reflect.TypeVariable[]",41,696
"java.util.HashMap$KeySet",41,656
"net.bytebuddy.matcher.ElementMatcher$Junction$Conjunction",41,656
"sun.reflect.annotation.AnnotatedTypeFactory$AnnotatedTypeBaseImpl",41,1312
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",40,1280
"java.lang.reflect.Parameter[]",39,1032
"java.util.Collections$SingletonSet",39,624
"sun.reflect.generics.visitor.Reifier",39,936
"jdk.internal.loader.AbstractClassLoaderValue$Sub",38,912
"net.bytebuddy.description.method.MethodDescription$Latent",38,2128
"sun.reflect.generics.scope.ClassScope",37,888
"java.lang.Class$ReflectionData",36,2304
"java.lang.reflect.Constructor[]",36,704
"jdk.internal.org.objectweb.asm.Type",36,1152
"net.bytebuddy.matcher.EqualityMatcher",35,560
"org.apache.jackrabbit.spi.Name[]",35,560
"net.bytebuddy.description.method.ParameterList$ForLoadedExecutable$OfMethod",34,816
"net.bytebuddy.description.type.TypeList$Generic$ForLoadedTypes$OfTypeVariables",34,816
"net.bytebuddy.implementation.bind.MethodDelegationBinder$ParameterBinding$Anonymous",34,816
"java.lang.Character$UnicodeBlock",33,528
"net.bytebuddy.description.method.MethodDescription$SignatureToken",33,1056
"net.bytebuddy.description.method.MethodDescription$Token",33,1848
"java.lang.invoke.MemberName",32,1536
"java.lang.reflect.ProxyGenerator$ProxyMethod",32,1280
"net.bytebuddy.description.type.TypeList$Generic$ForDetachedTypes",31,744
"sun.reflect.annotation.AnnotationInvocationHandler",31,744
"java.nio.HeapByteBuffer",30,1680
