"Name","Instance Count","Size (bytes)"
"org.apache.jackrabbit.spi.commons.name.NamePath",20626,825040
"byte[]",17546,3214944
"java.lang.String",10090,242160
"org.apache.jackrabbit.spi.commons.value.DefaultQValue",3420,82080
"org.apache.jackrabbit.spi.commons.PropertyInfoImpl",3380,108160
"java.lang.StringBuilder",2246,53904
"java.util.HashMap$Node",2148,68736
"java.net.URL",1632,104448
"org.apache.jackrabbit.spi.commons.identifier.AbstractIdFactory$PropertyIdImpl",1628,52096
"java.lang.Object[]",1566,52320
"org.apache.jackrabbit.spi.commons.identifier.AbstractIdFactory$NodeIdImpl",1350,32400
"org.apache.jackrabbit.spi.QValue[]",1210,29040
"java.util.ArrayList",1201,28824
"net.bytebuddy.description.type.TypeDescription$ForLoadedType",1180,47200
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",1158,64848
"int[]",1083,44904
"java.lang.Class[]",1052,26328
"java.util.AbstractList$Itr",1045,33440
"java.util.concurrent.ConcurrentHashMap$Node",1043,33376
"net.bytebuddy.description.type.TypeDescription$Generic$OfNonGenericType$ForLoadedType",935,22440
"java.util.ArrayList$Itr",837,26784
"char[]",797,337888
"java.io.File",756,24192
"jdk.internal.org.objectweb.asm.Label",535,29960
"java.lang.Object",524,8384
"net.bytebuddy.description.type.TypeList$Generic$Explicit",416,9984
"net.bytebuddy.description.ByteCodeElement$Token$TokenList",381,9144
"java.util.Arrays$ArrayList",332,7968
"java.lang.Class",314,100480
"java.util.LinkedHashMap$Entry",306,12240
"net.bytebuddy.implementation.bytecode.StackManipulation$Size",287,6888
"jdk.internal.org.objectweb.asm.Frame",278,13344
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$OfMethodParameter",247,7904
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$ForLoadedReturnType",244,5856
"jdk.internal.org.objectweb.asm.Edge",231,5544
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Substitutor$ForAttachment",220,5280
"net.bytebuddy.description.method.MethodDescription$ForLoadedMethod",213,6816
"java.util.HashMap$Node[]",203,15632
"net.bytebuddy.description.annotation.AnnotationList$Explicit",199,4776
"java.lang.reflect.Method",193,16984
"sun.util.locale.LocaleObjectCache$CacheEntry",184,7360
"net.bytebuddy.description.type.TypeList$Explicit",178,4272
"java.util.HashMap",177,8496
"java.util.AbstractList$ListItr",173,5536
"jdk.internal.org.objectweb.asm.ByteVector",166,3984
"java.util.LinkedHashMap",157,8792
"java.util.zip.ZipFile$ZipFileInputStream",152,8512
"net.bytebuddy.description.method.ParameterDescription$ForLoadedParameter$OfMethod",151,4832
"java.util.Arrays$ArrayItr",150,3600
"java.lang.PublicMethods$MethodList",149,3576
"java.security.SecureClassLoader$CodeSourceKey",141,2256
"java.lang.invoke.MethodType",136,5440
"java.lang.ref.SoftReference",134,5360
"jdk.internal.org.objectweb.asm.Handler",133,5320
"java.util.WeakHashMap$Entry",131,5240
"net.bytebuddy.dynamic.Transformer$ForMethod$TransformedMethod$AttachmentVisitor",131,2096
"java.security.CodeSource",130,5200
"java.util.HashSet",130,2080
"java.security.SecureClassLoader$1",128,3072
"java.util.jar.JarFile$JarFileEntry",128,13312
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",127,6096
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Delegator$ForLoadedMethodReturnType",126,2016
"java.util.zip.CRC32",121,1936
"java.util.zip.ZipFile$InflaterCleanupAction",117,2808
"net.bytebuddy.jar.asm.SymbolTable$Entry",117,6552
"jdk.internal.loader.URLClassPath$JarLoader$2",114,4560
"net.bytebuddy.description.method.MethodDescription$TypeToken",110,2640
"java.util.Locale",109,3488
"java.util.zip.ZipFile$ZipFileInflaterInputStream",109,6104
"net.bytebuddy.description.method.ParameterList$TypeSubstituting",104,3328
"sun.util.locale.BaseLocale",104,3328
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Delegator$ForLoadedExecutableParameterType",101,2424
