"Name","Instance Count","Size (bytes)"
"org.apache.jackrabbit.spi.commons.name.path.NamePath",18461,738440
"byte[]",17656,3680136
"java.lang.String",11553,277272
"java.util.HashMap$Node",3267,104544
"org.apache.jackrabbit.spi.commons.info.property.PropertyInfoImpl",2815,90080
"org.apache.jackrabbit.spi.commons.identifier.AbstractIdFactory$PropertyIdImpl",2716,86912
"org.apache.jackrabbit.spi.commons.value.DefaultQValue",2679,64296
"org.apache.jackrabbit.spi.commons.identifier.AbstractIdFactory$NodeIdImpl",2456,58944
"org.apache.jackrabbit.spi.QValue[]",2382,57168
"java.lang.StringBuilder",2254,54096
"java.net.URL",1607,102848
"java.lang.Object[]",1557,59632
"net.bytebuddy.description.type.TypeDescription$ForLoadedType",1181,47240
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",1166,65296
"java.util.ArrayList",1150,27600
"java.util.concurrent.ConcurrentHashMap$Node",1043,33376
"java.lang.Class[]",1041,26544
"int[]",1022,39304
"java.util.AbstractList$Itr",969,31008
"net.bytebuddy.description.type.TypeDescription$Generic$OfNonGenericType$ForLoadedType",946,22704
"java.util.ArrayList$Itr",829,26528
"char[]",755,327136
"java.io.File",716,22912
"java.lang.Object",552,8832
"jdk.internal.org.objectweb.asm.Label",521,29176
"net.bytebuddy.description.type.TypeList$Generic$Explicit",409,9816
"net.bytebuddy.description.ByteCodeElement$Token$TokenList",389,9336
"jdk.internal.org.objectweb.asm.Frame",320,15360
"java.util.Arrays$ArrayList",304,7296
"java.lang.Class",299,95680
"java.util.LinkedHashMap$Entry",275,11000
"net.bytebuddy.implementation.bytecode.StackManipulation$Size",272,6528
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$ForLoadedReturnType",258,6192
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Substitutor$ForAttachment",258,6192
"jdk.internal.org.objectweb.asm.Edge",227,5448
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$OfMethodParameter",223,7136
"net.bytebuddy.description.type.TypeList$Explicit",203,4872
"java.lang.reflect.Method",197,17336
"net.bytebuddy.description.method.MethodDescription$ForLoadedMethod",197,6304
"sun.util.locale.LocaleObjectCache$CacheEntry",197,7880
"java.util.AbstractList$ListItr",185,5920
"java.util.HashMap$Node[]",184,19904
"java.util.HashMap",180,8640
"java.lang.PublicMethods$MethodList",161,3864
"java.util.Arrays$ArrayItr",159,3816
"net.bytebuddy.description.method.ParameterDescription$ForLoadedParameter$OfMethod",156,4992
"jdk.internal.org.objectweb.asm.Handler",155,6200
"net.bytebuddy.description.annotation.AnnotationList$Explicit",154,3696
"java.lang.ref.SoftReference",153,6120
"java.util.LinkedHashMap",146,8176
"java.security.CodeSource",141,5640
"java.security.SecureClassLoader$CodeSourceKey",139,2224
"jdk.internal.org.objectweb.asm.ByteVector",135,3240
"net.bytebuddy.dynamic.Transformer$ForMethod$TransformedMethod$AttachmentVisitor",134,2144
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",130,6240
"java.util.zip.CRC32",129,2064
"net.bytebuddy.description.method.ParameterList$TypeSubstituting",125,4000
"java.util.zip.ZipFile$ZipFileInputStream",124,6944
"jdk.internal.loader.URLClassPath$JarLoader$2",124,4960
"java.lang.invoke.MethodType",123,4920
"java.util.WeakHashMap$Entry",123,4920
"java.util.jar.JarFile$JarFileEntry",122,12688
"java.security.SecureClassLoader$1",121,2904
"net.bytebuddy.description.method.MethodDescription$TypeToken",118,2832
"java.util.zip.ZipFile$InflaterCleanupAction",113,2712
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Delegator$ForLoadedMethodReturnType",112,1792
"net.bytebuddy.jar.asm.SymbolTable$Entry",111,6216
"java.util.HashSet",109,1744
"java.util.zip.ZipFile$ZipFileInflaterInputStream",108,6048
"java.util.Locale",105,3360
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Delegator$ForLoadedExecutableParameterType",102,2448
"sun.util.locale.BaseLocale",100,3200
"sun.util.locale.BaseLocale$Key",98,3136
"net.bytebuddy.description.annotation.AnnotationList$ForLoadedAnnotations",90,2160
"java.util.AbstractList$SubList",89,2848
"net.bytebuddy.description.method.ParameterDescription$Latent",88,4224
"java.util.HashMap$KeyIterator",85,3400
"java.lang.reflect.Type[]",82,2296
"net.bytebuddy.dynamic.Transformer$ForMethod$TransformedMethod$TransformedParameterList",81,1944
"org.apache.jackrabbit.spi.commons.info.ChildInfoImpl",80,1920
"jdk.internal.org.objectweb.asm.MethodWriter",79,17696
"net.bytebuddy.implementation.bytecode.StackManipulation[]",77,2016
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant",73,1752
"java.lang.String[]",70,4056
"jdk.internal.math.FDBigInteger",68,2176
"jdk.internal.org.objectweb.asm.Type[]",68,1328
"net.bytebuddy.implementation.bytecode.StackManipulation$Compound",68,1088
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Detached",67,1608
"net.bytebuddy.description.method.ParameterList$ForTokens",66,1584
"org.apache.jackrabbit.spi.commons.name.NameFactoryImpl$NameImpl",66,2112
"java.lang.PublicMethods$Key",65,1560
"java.lang.invoke.LambdaForm$Name",64,2048
"java.util.Collections$1",62,1488
"java.lang.annotation.Annotation[]",57,936
"java.lang.reflect.Method[]",57,2312
"sun.reflect.generics.tree.TypeArgument[]",55,920
"net.bytebuddy.description.method.ParameterDescription$TypeSubstituting",54,1728
"net.bytebuddy.matcher.ElementMatcher[]",54,1296
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Substitutor$ForDetachment",53,848
"sun.reflect.generics.tree.SimpleClassTypeSignature",52,1248
"sun.reflect.generics.visitor.Reifier",50,1200
"net.bytebuddy.implementation.bind.MethodDelegationBinder$ParameterBinding$Anonymous",48,1152
"net.bytebuddy.matcher.StringMatcher",48,1152
"sun.reflect.generics.tree.ClassTypeSignature",48,768
"org.apache.jackrabbit.spi.commons.info.property.NodeInfoImpl",47,2256
"java.util.HashMap$ValueIterator",46,1840
"jdk.internal.org.objectweb.asm.FieldWriter",46,2944
"sun.reflect.generics.parser.SignatureParser",45,1080
"java.util.HashMap$KeySet",44,704
"sun.reflect.annotation.AnnotatedTypeFactory$AnnotatedTypeBaseImpl",44,1408
"net.bytebuddy.matcher.NameMatcher",43,688
"org.apache.jackrabbit.spi.Name[]",43,688
"sun.reflect.generics.factory.CoreReflectionFactory",43,1032
"java.util.LinkedHashMap$LinkedValues",42,672
"net.bytebuddy.dynamic.Transformer$ForMethod$TransformedMethod$TransformedParameter",42,1344
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",41,1312
"net.bytebuddy.matcher.ElementMatcher$Junction$Conjunction",41,656
"java.lang.reflect.Parameter[]",39,1032
"java.lang.reflect.TypeVariable[]",39,656
"java.lang.reflect.Constructor[]",37,784
"jdk.internal.org.objectweb.asm.Type",37,1184
"jdk.internal.loader.AbstractClassLoaderValue$Sub",35,840
"net.bytebuddy.description.type.TypeList$Generic$ForDetachedTypes",33,792
"java.lang.reflect.ProxyGenerator$ProxyMethod",32,1280
"net.bytebuddy.description.method.MethodDescription$SignatureToken",32,1024
"net.bytebuddy.description.type.TypeDescription$Generic$LazyProjection$WithResolvedErasure",32,1024
"net.bytebuddy.description.type.TypeDescription$Generic$OfParameterizedType$Latent",32,1024
"java.util.Collections$SingletonSet",31,496
"net.bytebuddy.description.method.ParameterList$ForLoadedExecutable$OfMethod",31,744
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Harmonizer$ForJavaMethod$Token",31,744
"net.bytebuddy.matcher.EqualityMatcher",31,496
"java.lang.Byte",29,464
"sun.reflect.annotation.AnnotationParser$1",29,696
"sun.reflect.generics.scope.ClassScope",28,672
"net.bytebuddy.description.field.FieldDescription$Latent",27,1080
"net.bytebuddy.description.type.TypeDescription$Generic$OfNonGenericType$ForErasure",27,648
"java.lang.Class$ReflectionData",26,1664
"java.lang.Short",26,416
"java.util.StringJoiner",26,1040
"java.util.concurrent.ConcurrentHashMap",26,1664
"net.bytebuddy.description.type.TypeList$Generic$ForDetachedTypes$OfTypeVariables",26,832
"java.lang.Package",25,800
"net.bytebuddy.description.method.MethodDescription$Latent",25,1400
"java.lang.Character$UnicodeBlock",24,384
"net.bytebuddy.description.annotation.AnnotationDescription$ForLoadedAnnotation",24,576
"net.bytebuddy.jar.asm.Type",24,768
"net.bytebuddy.jar.asm.TypeReference",24,384
