"Name","Instance Count","Size (bytes)"
"byte[]",1169,502608
"java.lang.String",724,17376
"java.util.concurrent.ConcurrentHashMap$Node",504,16128
"java.util.HashMap$Node",432,13824
"java.lang.Class[]",226,4872
"java.lang.Object",193,3088
"sun.util.locale.LocaleObjectCache$CacheEntry",186,7440
"java.lang.Class",162,51840
"java.util.TreeMap$Entry",158,6320
"org.apache.jackrabbit.spi.commons.name.NameFactoryImpl$NameImpl",127,4064
"java.lang.ref.SoftReference",120,4800
"java.lang.String[]",113,4344
"java.lang.Object[]",112,12736
"java.util.Locale",109,3488
"sun.util.locale.BaseLocale",101,3232
"sun.util.locale.BaseLocale$Key",100,3200
"int[]",88,7168
"jdk.internal.math.FDBigInteger",68,2176
"java.lang.invoke.LambdaForm$Name",47,1504
"java.nio.StringCharBuffer",42,2352
"java.util.StringJoiner",40,1600
"java.lang.StringBuilder",37,888
"org.apache.maven.surefire.api.util.internal.ClassMethod",34,816
"jdk.internal.reflect.DelegatingMethodAccessorImpl",32,512
"char[]",31,8576
"java.lang.Long",31,744
"java.lang.invoke.MethodType",31,1240
"java.util.LinkedHashMap$Entry",30,1200
"java.lang.Class$ReflectionData",28,1792
"java.lang.invoke.BoundMethodHandle$Species_LL",28,1120
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",27,864
"java.lang.Byte",26,416
"java.lang.Short",26,416
"java.math.MutableBigInteger",26,624
"java.util.ArrayList",26,624
"java.lang.Character$UnicodeBlock",24,384
"java.util.stream.ReduceOps$3",23,736
"java.lang.reflect.Constructor[]",21,504
"java.util.stream.ReduceOps$3ReducingSink",21,672
"java.util.stream.ReferencePipeline$3$1",20,480
"java.util.stream.Collectors$$Lambda$83.0x0000000100136798",16,384
"jdk.internal.reflect.NativeConstructorAccessorImpl",16,512
"java.lang.invoke.DirectMethodHandle",15,480
"java.math.BigInteger",15,600
"java.util.stream.ReferencePipeline$Head",15,840
"jdk.internal.reflect.DelegatingConstructorAccessorImpl",15,240
"com.sun.org.apache.xml.internal.serializer.EncodingInfo",14,336
"java.lang.invoke.BoundMethodHandle$Species_LJ",14,560
"java.lang.reflect.Constructor",14,1008
"java.lang.reflect.Method[]",14,1288
"jdk.internal.reflect.NativeMethodAccessorImpl",14,448
"java.util.HashMap",13,624
"java.util.Spliterators$ArraySpliterator",13,416
"java.util.stream.Collectors$CollectorImpl",13,416
"java.util.stream.ReferencePipeline$3",13,832
"java.io.ObjectStreamField",12,480
"java.lang.invoke.LambdaForm",12,576
"java.lang.reflect.Method",12,1056
"java.util.concurrent.ConcurrentHashMap$Node[]",12,5056
"java.net.URL",11,704
"java.util.jar.Attributes$Name",11,264
"jdk.internal.module.ServicesCatalog$ServiceProvider",11,264
"org.apache.maven.surefire.api.util.internal.ImmutableMap$Node",11,264
"char[][]",10,240
"java.lang.ref.SoftReference[]",10,760
"java.util.concurrent.ConcurrentHashMap",10,640
"boolean[]",9,464
"java.io.File",9,288
"java.util.HashMap$Node[]",9,928
"long[]",9,384
"java.lang.Package",8,256
"java.lang.invoke.LambdaForm$Name[]",8,376
"java.security.CodeSource",8,320
"java.lang.invoke.BoundMethodHandle$Species_LLLLL",7,336
"java.lang.invoke.LambdaForm$NamedFunction",7,168
"java.util.ArrayList$Itr",7,224
"java.util.Formatter$FixedString",7,224
"java.util.LinkedList",7,224
"java.util.WeakHashMap",7,336
"jdk.internal.module.SystemModuleFinders$SystemModuleReader",7,168
"org.apache.jackrabbit.spi.commons.name.JcrPath",7,168
"sun.nio.fs.WindowsFileAttributes",7,448
"sun.util.calendar.Gregorian$Date",7,672
"java.lang.NoSuchMethodException",6,240
"java.lang.Package$VersionInfo",6,240
"java.lang.RuntimePermission",6,144
"java.lang.invoke.BoundMethodHandle$Species_L",6,192
"java.lang.invoke.MethodTypeForm",6,192
"java.lang.ref.ReferenceQueue$Lock",6,96
"java.security.Principal[]",6,96
"java.security.ProtectionDomain$Key",6,96
"java.util.GregorianCalendar",6,672
"java.util.concurrent.ConcurrentLinkedQueue$Node",6,144
"java.io.ClassCache$CacheRef",5,200
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLL",5,280
"java.util.Formatter",5,160
"java.util.Formatter$FormatSpecifier",5,200
"java.util.ImmutableCollections$List12",5,120
"java.util.concurrent.ConcurrentLinkedQueue",5,120
"java.util.concurrent.CopyOnWriteArrayList",5,120
"org.apache.jackrabbit.spi.commons.name.JcrName",5,120
"org.apache.jackrabbit.spi.commons.name.NamePath",5,200
"org.apache.jackrabbit.spi.commons.value.QValueTest",5,120
"sun.security.provider.PolicyFile$PolicyEntry",5,120
