"Name","Instance Count","Size (bytes)"
"byte[]",3663,1279264
"java.lang.String",3031,72744
"java.lang.Object[]",638,30688
"java.util.ArrayList",556,13344
"java.util.concurrent.ConcurrentHashMap$Node",524,16768
"java.util.HashMap$Node",519,16608
"org.apache.jackrabbit.spi.commons.name.NameFactoryImpl$NameImpl",495,15840
"java.lang.Class[]",299,6392
"java.lang.String[]",287,11808
"int[]",286,63352
"java.lang.Object",205,3280
"char[]",203,51720
"java.lang.StringBuilder",198,4752
"java.nio.StringCharBuffer",198,11088
"java.util.HashMap",191,9168
"sun.util.locale.LocaleObjectCache$CacheEntry",189,7560
"java.lang.Class",183,58560
"java.util.TreeMap$Entry",154,6160
"org.apache.jackrabbit.commons.query.sql2.Parser$ColumnOrWildcard",151,3624
"java.util.StringJoiner",144,5760
"java.lang.ref.SoftReference",133,5320
"java.lang.StringBuffer",120,3840
"java.util.ArrayList$Itr",117,3744
"javax.jcr.query.InvalidQueryException",115,4600
"java.util.Locale",102,3264
"sun.util.locale.BaseLocale",100,3200
"org.apache.jackrabbit.spi.commons.query.xpath.SimpleNode",93,2976
"java.util.stream.ReduceOps$3ReducingSink",89,2848
"sun.util.locale.BaseLocale$Key",88,2816
"java.lang.Integer",87,1392
"org.apache.jackrabbit.spi.commons.query.qom.SelectorImpl",86,2064
"java.util.Formatter$FormatSpecifier",82,3280
"java.util.stream.ReferencePipeline$3$1",81,1944
"java.util.stream.ReduceOps$3",76,2432
"java.util.Formatter$FixedString",73,2336
"java.util.stream.Collectors$CollectorImpl",70,2240
"java.util.stream.Collectors$$Lambda$83.0x00000001001765c0",68,1632
"jdk.internal.math.FDBigInteger",68,2176
"org.apache.jackrabbit.spi.commons.query.qom.ColumnImpl",68,2176
"java.util.concurrent.ConcurrentLinkedQueue$Node",66,1584
"java.util.stream.ReferencePipeline$Head",65,3640
"java.lang.Long",63,1512
"java.util.Spliterators$ArraySpliterator",63,2016
"java.util.stream.ReferencePipeline$3",62,3968
"org.apache.jackrabbit.spi.commons.query.qom.ColumnImpl[]",62,1512
"java.lang.reflect.Method",61,5368
"javax.jcr.query.qom.Column[]",59,1424
"java.net.URL",54,3456
"org.apache.maven.surefire.api.util.internal.ClassMethod",53,1272
"java.math.BigInteger",52,2080
"java.util.LinkedHashMap$Entry",51,2040
"org.apache.jackrabbit.spi.commons.query.qom.SelectorImpl[]",51,1224
"java.lang.invoke.LambdaForm$Name",49,1568
"java.util.HashMap$Node[]",48,5440
"org.junit.runner.Description",45,1440
