"Name","Instance Count","Size (bytes)"
"byte[]",3496,477984
"java.lang.String",3076,73824
"java.lang.Object[]",536,27312
"java.util.concurrent.ConcurrentHashMap$Node",530,16960
"java.util.ArrayList",494,11856
"java.util.HashMap$Node",493,15776
"org.apache.jackrabbit.spi.commons.name.NameFactoryImpl$NameImpl",483,15456
"int[]",356,67136
"java.lang.Class[]",311,6656
"java.lang.String[]",266,11040
"java.lang.StringBuilder",217,5208
"java.lang.Object",208,3328
"java.nio.StringCharBuffer",193,10808
"sun.util.locale.LocaleObjectCache$CacheEntry",186,7440
"java.lang.Class",181,57920
"char[]",176,31344
"java.util.HashMap",163,7824
"org.apache.jackrabbit.commons.query.sql2.Parser$ColumnOrWildcard",153,3672
"java.util.TreeMap$Entry",146,5840
"java.lang.ref.SoftReference",144,5760
"java.lang.StringBuffer",139,4448
"java.util.StringJoiner",125,5000
"javax.jcr.query.InvalidQueryException",117,4680
"java.util.Formatter$FixedString",106,3392
"sun.util.locale.BaseLocale",105,3360
"java.util.Locale",102,3264
"java.lang.Integer",99,1584
"java.util.ArrayList$Itr",98,3136
"sun.util.locale.BaseLocale$Key",98,3136
"java.util.stream.ReferencePipeline$Head",84,4704
"java.util.Formatter$FormatSpecifier",83,3320
"java.util.stream.ReferencePipeline$3",82,5248
"java.lang.reflect.Method",81,7128
"org.apache.jackrabbit.spi.commons.query.qom.selector.SelectorImpl",78,1872
"java.util.stream.Collectors$$Lambda$83.0x0000000100136dd0",77,1848
"org.apache.jackrabbit.spi.commons.query.xpath.SimpleNode",77,2464
"java.util.Spliterators$ArraySpliterator",71,2272
"java.util.stream.Collectors$CollectorImpl",71,2272
"java.util.stream.ReferencePipeline$3$1",71,1704
"java.util.stream.ReduceOps$3",66,2112
"org.apache.jackrabbit.spi.commons.query.qom.structure.ColumnImpl",64,2048
"java.lang.Long",62,1488
"java.util.concurrent.ConcurrentLinkedQueue$Node",61,1464
"org.apache.jackrabbit.spi.commons.query.qom.structure.ColumnImpl[]",61,1480
"java.util.stream.ReduceOps$3ReducingSink",58,1856
"java.net.URL",57,3648
"java.util.Formatter",56,1792
"java.lang.invoke.LambdaForm$Name",55,1760
"org.apache.maven.surefire.api.util.internal.ClassMethod",55,1320
"java.math.BigInteger",54,2160
"org.junit.runner.Description",54,1728
"org.apache.jackrabbit.spi.commons.query.qom.selector.SelectorImpl[]",50,1200
"java.util.LinkedHashMap$Entry",48,1920
"java.math.MutableBigInteger",42,1008
"java.lang.Character$UnicodeBlock",41,656
"javax.jcr.query.qom.Column[]",37,904
"java.lang.invoke.BoundMethodHandle$Species_LL",31,1240
"java.util.HashMap$Node[]",30,3200
"org.apache.jackrabbit.spi.commons.query.qom.structure.OrderingImpl[]",30,512
"org.apache.maven.surefire.api.util.internal.ImmutableMap$Node",30,720
"java.io.File",29,928
"java.nio.HeapByteBuffer",29,1624
"java.lang.invoke.MethodType",27,1080
"java.lang.Short",26,416
"java.util.Arrays$ArrayItr",26,624
"java.lang.Byte",25,400
"java.lang.ref.WeakReference",25,800
"java.util.concurrent.ConcurrentLinkedQueue",25,600
"org.apache.jackrabbit.spi.commons.query.xpath.Token",24,1152
"java.lang.annotation.Annotation[]",22,352
"org.apache.jackrabbit.spi.commons.query.qom.condition.property.PropertyValueImpl",22,528
"java.util.Arrays$ArrayList",21,504
"java.util.concurrent.ConcurrentHashMap$MapEntry",21,504
"org.apache.jackrabbit.spi.commons.query.qom.query.QueryObjectModelTree",21,840
"org.apache.jackrabbit.spi.commons.query.qom.query.QueryObjectModelTree$1",21,336
"java.lang.Class$ReflectionData",20,1280
"java.lang.ref.SoftReference[]",19,1576
"java.util.concurrent.CopyOnWriteArrayList$COWIterator",19,456
"java.lang.reflect.Constructor[]",18,432
"org.apache.jackrabbit.spi.commons.query.xpath.Node[]",18,448
"java.lang.PublicMethods$MethodList",17,408
"org.apache.jackrabbit.spi.commons.query.sql2.ParserTest$QOM",17,272
"org.apache.maven.surefire.api.report.SimpleReportEntry",17,952
"java.lang.invoke.BoundMethodHandle$Species_LJ",16,640
"java.util.HashMap$Values",16,256
"org.apache.jackrabbit.spi.commons.value.DefaultQValue",16,384
"java.lang.ThreadLocal$ThreadLocalMap$Entry",15,480
"java.lang.reflect.Method[]",15,856
"java.security.CodeSource",15,600
"java.util.jar.Attributes$Name",15,360
"jdk.internal.reflect.DelegatingMethodAccessorImpl",15,240
"org.apache.jackrabbit.commons.query.qom.Order[]",15,360
"org.apache.jackrabbit.spi.commons.query.qom.structure.OrderingImpl",15,360
"sun.nio.cs.UTF_8$Encoder",15,720
"com.sun.org.apache.xml.internal.serializer.EncodingInfo",14,336
"java.lang.NoSuchMethodException",14,560
"java.lang.invoke.MethodTypeForm",14,448
"java.lang.reflect.Constructor",14,1008
"jdk.internal.reflect.NativeMethodAccessorImpl",14,448
"boolean[]",13,792
"java.security.SecureClassLoader$CodeSourceKey",13,208
"long[]",13,616
"java.lang.invoke.DirectMethodHandle",12,384
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",12,384
"java.util.concurrent.ConcurrentHashMap",12,768
"jdk.internal.reflect.DelegatingConstructorAccessorImpl",12,192
"org.apache.jackrabbit.commons.query.qom.JoinType[]",12,384
"org.apache.maven.surefire.booter.spi.EventChannelEncoder$StackTrace",12,288
"java.io.FileDescriptor",11,440
"java.lang.invoke.LambdaForm$NamedFunction",11,264
"jdk.internal.module.ServicesCatalog$ServiceProvider",11,264
"jdk.internal.reflect.NativeConstructorAccessorImpl",11,352
"org.apache.jackrabbit.spi.commons.value.adapter.QValueValue",11,264
"org.apache.maven.surefire.api.util.internal.ImmutableMap",11,264
"org.apache.maven.surefire.report.ClassMethodIndexer$$Lambda$96.0x000000010015eed8",11,264
"char[][]",10,240
"java.io.ObjectStreamField",10,400
"java.lang.invoke.LambdaForm",10,480
"java.util.HashMap$ValueIterator",10,400
"java.util.concurrent.ConcurrentHashMap$Node[]",10,9152
"junit.framework.TestResult$1",10,240
"java.lang.Package",9,288
"java.lang.RuntimePermission",9,216
"java.util.regex.Pattern$$Lambda$80.0x0000000100131280",9,144
"org.apache.jackrabbit.spi.commons.name.path.NamePath",9,360
"org.apache.jackrabbit.spi.commons.query.qom.join.EquiJoinConditionImpl",9,288
"org.apache.jackrabbit.spi.commons.query.qom.operand.text.LiteralImpl",9,216
"java.io.FileCleanable",8,448
"java.io.FileInputStream",8,256
"java.io.RandomAccessFile",8,256
"java.security.SecureClassLoader$1",8,192
"java.util.ArrayDeque",8,192
"java.util.GregorianCalendar",8,896
"java.util.jar.JarFile",8,448
"org.apache.jackrabbit.spi.commons.query.qom.join.JoinImpl",8,256
"java.io.FileInputStream$1",7,112
"java.lang.invoke.BoundMethodHandle$Species_L",7,224
"java.lang.invoke.LambdaForm$Name[]",7,504
"java.util.LinkedList",7,224
"java.util.regex.Pattern$BmpCharProperty",7,168
"org.apache.jackrabbit.spi.commons.query.LocationStepQueryNode",7,224
"org.junit.runner.notification.RunNotifier$9",7,224
"sun.util.calendar.Gregorian$Date",7,672
"sun.util.calendar.ZoneInfo",7,392
"java.lang.invoke.MethodHandleImpl$AsVarargsCollector",6,240
"java.math.BigDecimal",6,240
"java.security.Permissions",6,144
"java.security.ProtectionDomain",6,240
"java.util.regex.Pattern$GroupHead[]",6,336
"java.util.regex.Pattern$TreeInfo",6,144
"java.util.stream.IntPipeline$10$1",6,144
"jdk.internal.module.SystemModuleFinders$SystemModuleReader",6,144
"org.apache.jackrabbit.spi.commons.query.qom.condition.ComparisonImpl",6,192
"org.apache.jackrabbit.spi.commons.value.adapter.QValueTest",6,144
"org.junit.runner.notification.RunNotifier$5",6,192
"ch.qos.logback.classic.Logger",5,240
"ch.qos.logback.core.joran.spi.ElementSelector",5,80
"java.lang.StringLatin1$CharsSpliterator",5,160
"java.util.Calendar$Builder",5,280
"java.util.PropertyPermission",5,160
"java.util.regex.Matcher",5,360
"java.util.zip.ZipFile$CleanableResource",5,160
"org.apache.jackrabbit.commons.query.qom.Operator[]",5,240
"org.apache.jackrabbit.spi.commons.name.factory.JcrName",5,120
"org.apache.jackrabbit.spi.commons.name.path.jcr.JcrPath",5,120
"org.apache.jackrabbit.spi.commons.name.path.jcr.PathTest$NotAncestor",5,120
"com.jprofiler.agent.util.aa$a",4,96
"java.io.ByteArrayInputStream",4,128
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLL",4,224
"java.lang.invoke.LambdaFormEditor",4,64
