"Time [s]","Process load","System load"
0.0,0,0
1.0,20.68,27.83
2.0,18.59,25.49
3.01,12.97,15.95
4.01,19.06,25.93
5.01,18.46,24.84
6.02,15.85,20.11
7.02,24.8,33.61
8.03,28.74,35.9
9.03,29.16,31.9
10.03,24.7,32.25
11.03,26.12,33.65
12.04,26.84,28.91
13.04,28.48,34.73
14.04,24.8,31.15
15.04,28.45,31.44
16.04,23.69,29.82
17.05,30.53,38.33
18.05,6.62,9.21
19.05,2.07,7.38
20.06,1.17,6.35
21.06,1.29,2.58
22.07,20.16,28.09
23.07,24.48,29.02
24.07,18.97,21.69
25.08,21.66,27.36
26.08,31.99,39.02
27.08,25.13,28.9
28.08,27.54,37.29
29.08,27.44,33.94
30.09,24.04,27.67
31.09,23.54,29.78
32.09,26.58,33.2
33.1,26.27,30.8
34.1,24.16,30.79
35.11,29.57,36.05
36.11,18.75,21.61
37.11,3.76,10.51
38.12,17.24,23.47
39.12,21.61,23.3
40.12,21,26.46
41.13,20.23,30.99
42.13,19.42,23.44
43.13,20.05,28
44.13,7.02,15.23
45.13,1.56,4.16
46.13,2.59,8.97
47.14,1.42,7.38
48.14,6.24,9.62
49.15,1.68,6.73
50.15,1.43,8.2
51.15,1.68,5.57
52.16,8.16,16.31
53.16,12.57,17.63
54.17,19.06,22.95
55.17,19,23.43
56.17,17.05,22.91
57.17,17.95,21.85
58.17,15.96,20.77
59.18,23.39,29.1
60.18,23,27.16
61.18,16.36,23.77
62.18,20.96,27.35
63.18,24.58,28.22
64.19,18.17,23.23
65.19,16.21,23.6
66.19,15.34,18.73
67.19,14.28,19.99
68.19,18.1,25.25
69.2,14.52,17.77
70.2,12.82,20.59
71.21,10.92,16
72.21,11.83,26.93
73.21,15.43,30.73
74.22,14.14,20.38
75.22,11.42,17.65
76.22,14.45,18.61
77.22,10.64,16.49
78.23,16.1,21.54
79.23,15.03,18.29
80.23,23.13,30.79
81.24,18.4,23.33
82.24,19.47,27
83.25,20.1,26.85
84.25,27.34,36.45
85.25,19.3,25
86.26,21.29,29.07
87.26,19.43,23.19
88.26,18.22,20.96
89.26,17.29,25.49
90.26,19.38,25.1
91.27,23.95,28.25
92.27,25.14,32.78
93.27,20.5,30.11
94.28,19.75,23.12
95.28,16.13,21.71
96.28,12.58,18.28
97.29,19.18,19.32
98.29,17.94,23.93
99.29,18.95,24.54
100.3,15.32,18.05
101.3,15.21,20.29
102.3,18.36,25.65
103.3,15.06,17.8
104.3,24.95,38.46
105.3,20.55,26.66
106.31,19.59,27.51
107.31,25.93,33.59
108.31,26.63,33.14
109.32,25.29,29.43
110.32,29.78,36.55
111.32,22.72,28.68
112.33,26.22,31.03
113.33,27.57,34.85
114.33,19.06,24.64
115.34,26.2,29.95
116.34,35.47,42.1
117.34,26.54,36.81
118.34,31.34,35.89
119.35,30.64,39.98
120.35,28.77,35.15
121.35,31.93,36.61
122.37,26.52,32.54
123.37,29.86,35.7
124.38,26.45,29.44
125.38,24.77,29.57
126.38,23.49,28.55
127.39,25.29,29.05
128.39,13.89,23.37
