"Name","Instance Count","Size (bytes)"
"java.util.HashMap$Node",23888,764416
"java.lang.String",21739,521736
"org.apache.jackrabbit.spi.commons.name.NamePath",18787,751480
"byte[]",17101,5639824
"java.util.HashMap",6544,314112
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry",5276,168832
"java.util.LinkedHashMap$Entry",4786,191440
"org.apache.derby.impl.store.raw.data.StoredRecordHeader",4744,151808
"java.util.HashMap$Node[]",4483,519992
"org.apache.jackrabbit.core.cache.ConcurrentCache$E",4469,107256
"java.util.ArrayList",3622,86928
"org.apache.derby.impl.store.raw.data.RecordId",3607,86568
"java.lang.Object[]",3560,262504
"java.util.concurrent.ConcurrentHashMap$Node",3320,106240
"org.apache.jackrabbit.core.query.lucene.DocId$PlainDocId",3277,52432
"java.lang.ref.ReferenceQueue",3244,103808
"java.lang.ref.SoftReference",3111,124440
"org.apache.commons.collections4.map.AbstractHashedMap$HashEntry[]",3099,4395888
"java.lang.ref.ReferenceQueue$Lock",3088,49408
"org.apache.jackrabbit.util.WeakIdentityCollection$WeakRef",3012,120480
"org.apache.commons.collections4.map.AbstractReferenceMap$SoftRef",2847,113880
"java.lang.Object",2556,40896
"org.apache.commons.collections4.map.ReferenceMap",2301,165672
"org.apache.jackrabbit.core.id.NodeId",2213,70816
"org.apache.commons.collections4.map.AbstractLinkedMap$LinkEntry",2003,80120
"org.apache.jackrabbit.jcr2spi.hierarchy.LinkedEntries$LinkNode",1834,58688
"java.util.TreeMap$Entry",1827,73080
"org.apache.commons.collections4.map.AbstractReferenceMap$WeakRef",1819,58208
"long[]",1699,63776
"java.util.HashSet",1692,27072
"java.util.LinkedHashMap$LinkedValues",1622,25952
"int[]",1571,197896
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceValues",1546,24736
"org.apache.jackrabbit.core.cache.ConcurrentCache$1",1541,98624
"org.apache.jackrabbit.core.id.PropertyId",1241,29784
"java.util.LinkedList$Node",1211,29064
"java.util.concurrent.locks.ReentrantLock",1090,17440
"java.util.TreeSet",1069,17104
"java.util.TreeMap",1060,50880
"org.apache.jackrabbit.core.value.InternalValue",1055,25320
"org.apache.jackrabbit.core.persistence.util.NodePropBundle$ChildNodeEntry",1044,25056
"java.util.concurrent.locks.ReentrantLock$NonfairSync",1017,32544
"org.apache.jackrabbit.core.journal.MemoryJournal$MemoryRecord",981,23544
"org.apache.derby.impl.services.cache.ClockPolicy$Holder",962,30784
"org.apache.derby.impl.services.cache.CacheEntry",961,38440
"char[]",956,300640
"java.util.HashMap$KeySet",915,14640
"java.lang.Class[]",887,19176
"java.util.concurrent.atomic.AtomicLong",803,19272
"org.apache.derby.impl.services.uuid.BasicUUID",797,25504
"java.util.HashMap$Values",781,12496
"org.apache.jackrabbit.spi.commons.name.PathMap$Element",778,31120
"org.apache.jackrabbit.core.value.InternalValue[]",774,18328
"org.apache.jackrabbit.spi.commons.nodetype.PropertyDefinitionImpl",770,24640
"org.apache.jackrabbit.core.state.PropertyState",756,30240
"org.apache.jackrabbit.spi.commons.QPropertyDefinitionImpl",751,42056
"org.apache.jackrabbit.spi.commons.name.PathMap$Element[]",742,17808
"java.util.BitSet",727,17448
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping",725,17400
"org.apache.jackrabbit.util.WeakIdentityCollection",724,23168
"org.apache.jackrabbit.core.state.ChildNodeEntry",718,22976
"java.util.zip.CRC32",686,10976
"org.apache.jackrabbit.util.WeakIdentityCollection$WeakRef[]",685,27664
"org.apache.jackrabbit.core.CachingHierarchyManager$LRUEntry",681,21792
"java.util.TreeMap$KeySet",635,10160
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping[]",627,15048
"java.lang.Class",622,199040
"org.apache.commons.collections4.map.LinkedMap",614,34384
"org.apache.jackrabbit.spi.Name[]",581,176400
"java.util.LinkedList",575,18400
"org.apache.derby.catalog.types.TypeDescriptorImpl",573,22920
"org.apache.jackrabbit.jcr2spi.hierarchy.PropertyEntryImpl",552,22080
"org.apache.derby.iapi.store.raw.PageKey",543,13032
"boolean[]",542,14536
"org.apache.derby.iapi.services.io.ArrayInputStream",532,17024
"org.apache.derby.iapi.types.DataTypeDescriptor",527,12648
"org.apache.derby.impl.sql.compile.SQLParser$JJCalls",517,16544
"org.apache.derby.catalog.types.BaseTypeIdImpl",509,16288
"org.apache.jackrabbit.spi.commons.name.NameFactoryImpl$NameImpl",505,16160
"org.apache.derby.iapi.services.io.FormatIdInputStream",499,23952
"org.apache.jackrabbit.jcr2spi.state.PropertyState",499,23952
"org.apache.derby.impl.store.raw.data.StoredRecordHeader[]",497,60120
"org.apache.jackrabbit.jcr2spi.hierarchy.ChildNodeEntriesImpl$NameMap",497,11928
"org.apache.jackrabbit.jcr2spi.hierarchy.ChildPropertyEntriesImpl",494,11856
"org.apache.jackrabbit.spi.QValue[]",494,11672
"org.apache.jackrabbit.jcr2spi.hierarchy.ChildNodeAttic",477,7632
"org.apache.jackrabbit.jcr2spi.hierarchy.ChildNodeEntriesImpl",477,15264
"org.apache.jackrabbit.jcr2spi.hierarchy.NodeEntryImpl",477,30528
"org.apache.jackrabbit.jcr2spi.hierarchy.LinkedEntries",465,18600
"org.apache.jackrabbit.jcr2spi.state.PropertyState$PropertyData",440,10560
"java.util.concurrent.ConcurrentHashMap",435,27840
"org.apache.jackrabbit.core.state.NodeState",422,27008
"java.lang.Long",419,10056
"java.util.LinkedHashMap",419,23464
"org.apache.jackrabbit.core.nodetype.NodeTypeImpl",405,16200
"org.apache.derby.impl.store.raw.data.StoredPage",401,76992
"java.lang.String[]",396,19816
"java.util.LinkedHashSet",393,6288
"org.apache.jackrabbit.spi.commons.QNodeTypeDefinitionImpl",384,18432
"java.lang.StringBuffer",383,12256
"java.util.concurrent.CopyOnWriteArrayList",377,9048
"java.lang.ref.WeakReference",375,12000
"org.apache.jackrabbit.jcr2spi.nodetype.NodeTypeImpl",368,14720
"java.util.Collections$SynchronizedMap",366,11712
"org.apache.jackrabbit.core.persistence.util.NodePropBundle$PropertyEntry",363,11616
"org.apache.jackrabbit.jcr2spi.nodetype.EffectiveNodeTypeImpl",353,14120
"org.apache.derby.iapi.services.io.FormatableBitSet",350,8400
"java.util.LinkedHashMap$LinkedKeySet",346,5536
"java.util.Hashtable$Entry",343,10976
"org.apache.jackrabbit.jcr2spi.security.authorization.PrivilegeImpl",338,10816
"org.apache.derby.iapi.store.raw.ContainerKey",335,10720
"org.apache.derby.iapi.types.DataValueDescriptor[]",314,13304
"java.util.Collections$SynchronizedSet",312,7488
"org.apache.lucene.index.FieldInfo",308,9856
"java.util.concurrent.ConcurrentHashMap$Node[]",304,93824
"org.apache.derby.iapi.types.SQLLongint",293,7032
"java.util.concurrent.atomic.AtomicInteger",291,4656
"org.apache.derby.impl.store.raw.data.StoredRecordHeader$OverflowInfo",287,9184
"org.apache.jackrabbit.spi.commons.nodetype.NodeDefinitionImpl",284,6816
"org.apache.commons.collections4.map.AbstractHashedMap$Values",280,4480
"java.util.regex.Pattern$BmpCharPredicate$$Lambda$110.0x00000001001dc1b8",276,6624
"java.util.HashMap$EntrySet",273,4368
"org.apache.jackrabbit.core.persistence.util.NodePropBundle",263,14728
"com.sun.org.apache.xerces.internal.xni.QName",254,8128
"java.lang.StackTraceElement",249,11952
"org.apache.jackrabbit.test.LogPrintWriter$NullWriter",247,5928
"org.apache.jackrabbit.spi.commons.conversion.GenerationalCache",241,9640
"org.apache.jackrabbit.jcr2spi.state.NodeState",238,11424
"org.apache.jackrabbit.spi.commons.QNodeDefinitionImpl",238,9520
"java.lang.StringBuilder",237,5688
"org.apache.jackrabbit.core.virtual.VirtualPropertyState",235,11280
"java.util.Map[]",226,14464
"org.apache.jackrabbit.test.LogPrintWriter",224,10752
"org.apache.maven.surefire.api.util.internal.ClassMethod",224,5376
"org.apache.derby.iapi.services.io.ArrayOutputStream",211,6752
"org.apache.derby.iapi.sql.dictionary.ColumnDescriptor",210,18480
"org.apache.derby.impl.io.DirFile",207,8280
"org.apache.jackrabbit.spi.QValueConstraint[]",204,5280
"org.apache.jackrabbit.core.security.authorization.AbstractCompiledPermissions$Result",203,6496
"java.util.ArrayList$Itr",202,6464
"org.apache.derby.iapi.store.raw.FetchDescriptor",202,8080
"sun.util.locale.LocaleObjectCache$CacheEntry",198,7920
"org.apache.tika.mime.MimeType",195,10920
"java.io.FileDescriptor",193,7720
"java.util.regex.Pattern$$Lambda$109.0x00000001001dbf38",193,4632
"org.apache.derby.iapi.services.io.FormatIdOutputStream",193,7720
"org.apache.derby.impl.store.access.btree.LeafControlRow",189,12096
"org.apache.derby.iapi.sql.dictionary.IndexRowGenerator",188,4512
"java.io.FileCleanable",186,10416
"org.apache.tika.mime.MediaType",185,5920
"org.apache.jackrabbit.spi.commons.conversion.ParsingPathResolver",182,4368
"org.apache.derby.impl.sql.GenericColumnDescriptor",179,7160
"java.lang.invoke.BoundMethodHandle$Species_LL",178,7120
"javax.security.auth.Subject$SecureSet",174,4176
"org.apache.jackrabbit.spi.commons.conversion.DefaultNamePathResolver",166,3984
"org.apache.derby.impl.store.raw.data.AllocationCache",164,6560
"jdk.internal.reflect.NativeMethodAccessorImpl",162,5184
"org.apache.jackrabbit.spi.commons.nodetype.constraint.StringConstraint",160,3840
"org.apache.jackrabbit.core.state.StateChangeDispatcher",158,3792
"sun.nio.ch.NativeThreadSet",155,3720
"java.util.regex.Pattern",154,13552
"jdk.internal.reflect.DelegatingMethodAccessorImpl",154,2464
"org.apache.derby.catalog.types.IndexDescriptorImpl",154,4928
"org.apache.jackrabbit.spi.commons.conversion.ParsingNameResolver",154,3696
"org.apache.lucene.index.CompoundFileReader$FileEntry",154,4928
"java.util.regex.Pattern$Slice",153,3672
"org.apache.derby.impl.io.DirRandomAccessFile",153,6120
"org.apache.commons.collections4.map.LRUMap",152,9728
"org.apache.derby.impl.store.raw.data.AllocExtent[]",151,3624
"java.util.WeakHashMap$Entry[]",150,12256
"sun.nio.ch.FileChannelImpl",145,10440
"java.nio.channels.spi.AbstractInterruptibleChannel$1",140,2240
"java.util.Collections$UnmodifiableRandomAccessList",139,3336
"org.apache.derby.impl.store.raw.data.AllocExtent",139,11120
"java.util.WeakHashMap",138,6624
"org.apache.derby.impl.store.access.CacheableConglomerate",138,3312
"org.apache.derby.impl.store.raw.data.RAFContainer4",137,28496
"java.util.Collections$SynchronizedCollection",133,3192
"org.apache.derby.impl.store.raw.data.AllocPage",131,32488
