"Time [s]","Process load","System load"
0.0,0,0
1.0,20.33,30.58
2.01,17.39,21.55
3.01,13.87,21.65
4.01,16.38,22.5
5.01,17.84,22.65
6.02,17,22.59
7.02,23.77,33.13
8.02,25.2,29.49
9.03,23.91,28.58
10.03,25.49,33.95
11.03,24.64,31.77
12.03,24.65,32.96
13.04,26.71,35.79
14.04,27.78,33.1
15.05,26.09,34.01
16.05,28.25,38.8
17.05,25.86,29.1
18.05,26.69,34.64
19.05,26.69,36.19
20.05,20.67,25.1
21.06,26.38,32.87
22.06,23.73,29.83
23.06,24.32,28.48
24.07,18.56,24.4
25.07,26.27,33.17
26.07,23.99,28.66
27.07,27.6,34.37
28.07,24.86,33.06
29.07,18.99,23.55
30.08,5.96,13.23
31.08,12.85,19.86
32.08,17.43,20.81
33.09,14.91,21.53
34.09,12.31,20.1
35.09,13.8,21.74
36.09,10.12,13.9
37.1,13.09,19.83
38.1,11.29,15.96
39.1,12.97,18.04
40.11,15.33,23.12
41.11,17.82,22.37
42.11,25.15,31.38
43.12,24.04,31.96
44.12,28.06,33.52
45.12,22.16,25.54
46.12,21.22,30.73
47.13,20.27,26.24
48.13,24.95,30.14
49.13,22.17,29.69
50.14,20.4,24.82
51.14,20.16,24.05
52.14,25.24,31.45
53.15,21.46,25.75
54.15,20.67,24.05
55.15,17.94,24.2
56.15,20.99,26.68
57.16,24.29,28.33
58.16,23.39,32.61
59.16,22.65,29.03
60.16,22.13,27.21
61.16,21.59,29
62.17,20.22,25.41
63.17,18.04,21.8
64.17,22.76,29.52
65.17,22.79,29.43
66.18,18.32,21.83
67.18,18,23.31
68.18,24.45,30.96
69.19,18.82,23.75
70.19,20.05,27.6
71.19,22.59,29.07
72.19,19.2,23.1
73.19,16.89,22.08
74.2,17.69,26.4
75.2,18.65,21.25
76.21,17.11,23.33
77.21,16,24.06
78.21,17.77,20.22
79.22,12.69,17.49
80.22,21.71,27.43
81.22,17.69,21.47
82.22,23.76,28.04
83.23,15.9,21.97
84.23,18.83,23.26
85.23,14.31,19.63
86.23,16,22.24
87.24,19.36,24.3
88.24,12.74,17.81
89.24,17.26,23.37
90.25,16.37,20.92
91.25,16.71,19.69
92.25,20.5,25.83
93.26,15.56,21.26
94.26,2.47,5.98
95.26,2.07,9.09
96.26,2.21,7.01
97.27,3.12,6.11
98.27,13.28,21.61
99.27,11.68,17.39
100.27,2.59,5.2
101.28,2.34,8.42
102.28,3.62,8.93
103.29,12.32,17.51
104.29,4.81,11.19
105.29,1.81,5.97
106.29,1.56,6.1
107.29,1.82,7.93
108.3,16.27,21.35
109.3,22.61,27.16
110.3,19.3,23.19
111.31,11.69,18.57
112.31,15.23,18.35
113.31,16.99,21.78
114.31,21.71,28.35
115.32,21.03,24.01
116.33,15.56,21
117.33,17.21,22.36
118.34,15.98,18.97
119.34,16.1,21.16
120.34,14.64,20.23
121.35,16.71,19.95
122.35,17.26,21.8
123.36,15.6,22.63
124.36,14.28,17.26
125.36,20.1,24.25
126.37,18.52,24.61
127.39,18.03,22.64
128.39,18.14,22.54
129.39,16.53,21.87
130.4,20.75,26.58
131.4,28.88,31.87
132.41,19.73,26.47
133.41,26.38,36.51
134.41,18.43,21.93
135.42,26.97,33.72
136.42,22.87,30.14
137.43,14.64,17.87
138.43,18.48,24.48
139.43,23.34,31.77
140.43,26.17,29.42
141.43,28.71,37.03
142.44,29.88,35.73
143.44,34.5,38.77
144.44,28.94,35.17
145.45,22.82,27.62
146.45,32.97,40.63
147.45,31.47,40.71
148.46,28.2,33.13
149.46,30.18,35.49
150.46,26.17,32.16
151.47,25.05,28.29
152.47,12.96,22.69
153.54,9.76,16.11
