"Time [s]","Committed size","Free size","Used size"
0.0,258048000,250880000,7168000
1.0,258048000,233600000,24448000
2.0,30720000,22400000,8320000
3.01,30720000,9525000,21195000
4.01,30720000,14589000,16131000
5.01,144384000,113897000,30487000
6.01,144384000,75246000,69138000
7.01,144384000,46825000,97559000
8.01,144384000,100870000,43514000
9.01,144384000,75404000,68980000
10.01,144384000,45714000,98670000
11.01,144384000,93193000,51191000
12.01,144384000,61449000,82935000
13.01,144384000,104675000,39709000
14.02,144384000,71334000,73050000
15.02,144384000,110981000,33403000
16.02,144384000,81282000,63102000
17.02,144384000,42076000,102308000
18.02,144384000,73858000,70526000
19.02,144384000,35433000,108951000
20.02,144384000,67466000,76918000
21.02,144384000,64767000,79617000
22.02,144384000,67380000,77004000
23.02,144384000,61606000,82778000
24.02,144384000,42237000,102147000
25.03,144384000,81159000,63225000
26.03,144384000,41839000,102545000
27.05,144384000,76090000,68294000
28.05,144384000,37193000,107191000
29.05,144384000,57350000,87034000
30.05,144384000,28484000,115900000
31.05,144384000,59895000,84489000
32.05,144384000,27314000,117070000
33.06,144384000,61879000,82505000
34.06,144384000,57874000,86510000
35.06,144384000,30541000,113843000
36.06,144384000,59201000,85183000
37.06,144384000,39796000,104588000
38.06,144384000,52040000,92344000
39.06,144384000,56937000,87447000
40.06,144384000,52260000,92124000
41.06,144384000,52025000,92359000
42.06,144384000,51923000,92461000
43.06,144384000,51904000,92480000
44.06,144384000,50101000,94283000
45.07,144384000,43292000,101092000
46.07,144384000,37111000,107273000
47.07,144384000,33787000,110597000
48.07,144384000,22335000,122049000
49.07,144384000,18504000,125880000
50.07,144384000,14836000,129548000
51.07,217088000,77381000,139707000
52.07,217088000,61154000,155934000
53.07,217088000,73829000,143259000
54.07,217088000,41577000,175511000
55.07,217088000,41562000,175526000
56.08,217088000,41438000,175650000
57.08,217088000,41425000,175663000
58.08,217088000,43119000,173969000
59.08,217088000,64883000,152205000
60.08,217088000,35172000,181916000
61.08,217088000,62227000,154861000
62.08,217088000,54490000,162598000
63.08,217088000,66564000,150524000
64.08,217088000,47821000,169267000
65.08,217088000,34712000,182376000
66.08,217088000,38896000,178192000
67.09,217088000,37359000,179729000
68.09,217088000,46286000,170802000
69.09,217088000,29128000,187960000
70.09,217088000,26132000,190956000
71.09,217088000,24843000,192245000
72.09,262144000,98705000,163439000
73.09,262144000,82420000,179724000
74.09,262144000,62244000,199900000
75.09,262144000,91833000,170311000
76.09,262144000,74840000,187304000
77.1,262144000,39809000,222335000
78.1,262144000,39714000,222430000
79.1,262144000,81921000,180223000
80.1,262144000,88816000,173328000
81.1,262144000,55254000,206890000
82.1,262144000,85026000,177118000
83.1,262144000,41593000,220551000
84.1,262144000,90841000,171303000
85.1,262144000,41018000,221126000
86.11,262144000,87927000,174217000
87.11,262144000,75825000,186319000
88.11,262144000,40292000,221852000
89.11,262144000,40279000,221865000
90.11,262144000,37498000,224646000
91.11,262144000,37485000,224659000
92.11,262144000,89512000,172632000
93.11,262144000,82845000,179299000
94.11,262144000,67363000,194781000
95.11,262144000,84018000,178126000
96.12,262144000,59312000,202832000
97.12,262144000,78691000,183453000
98.12,262144000,36173000,225971000
99.12,262144000,76692000,185452000
100.12,262144000,38574000,223570000
101.12,262144000,65870000,196274000
102.12,262144000,42590000,219554000
103.12,262144000,57470000,204674000
104.12,262144000,66261000,195883000
105.12,262144000,65549000,196595000
106.12,262144000,40591000,221553000
107.12,262144000,55640000,206504000
108.12,262144000,48103000,214041000
109.12,262144000,36417000,225727000
110.12,262144000,46283000,215861000
111.12,262144000,34643000,227501000
112.12,262144000,24616000,237528000
113.13,262144000,48606000,213538000
114.13,262144000,34410000,227734000
115.13,262144000,48797000,213347000
116.13,262144000,35709000,226435000
117.13,262144000,53804000,208340000
118.13,262144000,37906000,224238000
119.13,262144000,48759000,213385000
120.13,262144000,49159000,212985000
121.13,262144000,48422000,213722000
122.13,262144000,41999000,220145000
123.13,262144000,46494000,215650000
124.14,262144000,44046000,218098000
125.14,262144000,46626000,215518000
126.14,262144000,36728000,225416000
127.14,262144000,34812000,227332000
128.14,262144000,32449000,229695000
129.14,262144000,41348000,220796000
130.42,262144000,33867000,228277000
