"Name","Instance Count","Size (bytes)"
"java.util.HashMap$Node",22480,719360
"java.lang.String",20590,494160
"org.apache.jackrabbit.spi.commons.name.NamePath",16805,672200
"byte[]",16083,5404608
"java.util.HashMap",5991,287568
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry",5123,163936
"java.util.LinkedHashMap$Entry",4943,197720
"org.apache.jackrabbit.core.cache.ConcurrentCache$E",4783,114792
"org.apache.derby.impl.store.raw.data.StoredRecordHeader",4549,145568
"java.util.HashMap$Node[]",4222,473480
"java.util.concurrent.ConcurrentHashMap$Node",3472,111104
"java.lang.Object[]",3466,260784
"org.apache.derby.impl.store.raw.data.RecordId",3404,81696
"org.apache.jackrabbit.core.query.lucene.DocId$PlainDocId",3277,52432
"java.util.ArrayList",3239,77736
"org.apache.commons.collections4.map.AbstractHashedMap$HashEntry[]",3163,4146288
"java.lang.ref.ReferenceQueue",2952,94464
"java.lang.ref.ReferenceQueue$Lock",2949,47184
"java.lang.ref.SoftReference",2857,114280
"org.apache.commons.collections4.map.AbstractReferenceMap$SoftRef",2756,110240
"java.lang.Object",2546,40736
"org.apache.jackrabbit.core.id.NodeId",2341,74912
"org.apache.commons.collections4.map.ReferenceMap",2308,166176
"org.apache.jackrabbit.util.WeakIdentityCollection$WeakRef",2247,89880
"org.apache.jackrabbit.jcr2spi.hierarchy.LinkedEntries$LinkNode",1877,60064
"org.apache.commons.collections4.map.AbstractLinkedMap$LinkEntry",1690,67600
"int[]",1668,214624
"org.apache.commons.collections4.map.AbstractReferenceMap$WeakRef",1591,50912
"long[]",1554,58064
"org.apache.jackrabbit.core.cache.ConcurrentCache$1",1526,97664
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceValues",1502,24032
"java.util.LinkedHashMap$LinkedValues",1496,23936
"java.util.TreeMap$Entry",1492,59680
"java.util.HashSet",1435,22960
"java.util.LinkedList$Node",1263,30312
"org.apache.jackrabbit.core.id.PropertyId",1210,29040
"org.apache.jackrabbit.core.persistence.util.NodePropBundle$ChildNodeEntry",1151,27624
"org.apache.derby.impl.services.cache.ClockPolicy$Holder",1079,34528
"java.util.concurrent.locks.ReentrantLock$NonfairSync",1034,33088
"java.util.concurrent.locks.ReentrantLock",1026,16416
"org.apache.jackrabbit.core.journal.MemoryJournal$MemoryRecord",968,23232
"org.apache.derby.impl.services.cache.CacheEntry",964,38560
"char[]",919,181544
"org.apache.jackrabbit.core.value.InternalValue",890,21360
"java.lang.Class[]",884,19064
"org.apache.jackrabbit.spi.commons.name.PathMap$Element",838,33520
"org.apache.derby.impl.services.uuid.BasicUUID",835,26720
"java.util.HashMap$KeySet",833,13328
"java.util.TreeMap",823,39504
"java.util.TreeSet",803,12848
"java.util.HashMap$Values",778,12448
