"Time [s]","Process load","System load"
0.0,0,0
1.0,17.02,23.39
2.01,22.45,33.49
3.01,14.93,18.95
4.01,13.51,21.7
5.02,23.49,30.89
6.02,15.8,19.69
7.02,16,23.41
8.03,27.98,34.59
9.03,27.96,34.46
10.04,30.08,36.57
11.04,28.06,36.51
12.04,23.49,27.13
13.04,24.09,31.76
14.05,26.12,33.79
15.05,25.09,29.27
16.05,25.75,32.64
17.05,19.86,27.65
18.05,11.56,13.12
19.06,11.71,17.81
20.06,16.25,22.5
21.06,13.12,16.63
22.06,13.36,19.6
23.07,11.93,18.41
24.07,12.72,15.18
25.07,14.4,19.99
26.08,13.5,19.86
27.08,15.57,18.03
28.09,12.58,16.99
29.09,24.81,32.36
30.09,21.46,25.62
31.09,23.09,28.79
32.1,22.17,30.34
33.1,24.47,28.77
34.1,30.61,36.83
35.11,23.38,31.31
36.11,23.86,29.31
37.11,26.69,31.76
38.12,9.6,15.83
39.12,2.2,7.13
40.12,1.29,6.24
41.13,1.94,7.9
42.13,16.53,28.25
43.13,20.92,25.6
44.13,26.69,32.55
45.13,20.14,25.98
46.14,2.2,4.41
47.14,2.35,7.68
48.14,3.24,7.66
49.14,11.33,15.75
50.14,23.23,28.04
51.15,23.91,30.02
52.15,20.23,25.41
53.16,19.45,26.97
54.16,16.74,21.94
55.16,20.77,23.1
56.17,24.66,30.37
57.17,23.99,36.05
58.17,19.63,24.32
59.17,17.43,24.06
60.18,24.48,31.74
61.18,16.74,19.34
62.18,21.85,30.43
63.19,15.32,20.92
64.19,21.87,25.65
65.19,22.56,28.14
66.19,23.75,29.07
67.2,18.17,21.28
68.2,16.12,20.94
69.2,18.82,26.47
70.21,17.55,20.94
71.21,14.82,21.18
72.21,20.24,28.04
73.21,19.08,22.84
74.22,17.24,24.37
75.22,19.51,23.54
76.22,27.02,31.45
77.23,25.44,32.45
78.23,24.77,37.21
79.23,12.08,16.37
80.23,1.43,7.15
81.24,1.81,8.18
82.24,5.7,9.08
83.24,5.85,11.32
84.25,17.78,25.57
85.25,15.73,18.86
86.25,18.23,23.69
87.25,22.15,28.11
88.25,3.25,6.38
89.25,25.26,30.59
90.26,12.35,17.69
91.26,21.94,26.22
92.26,21.52,27.09
93.27,21.53,27.24
94.27,22.11,27.05
95.27,17.56,22.62
96.28,20.85,26.94
97.28,18.43,23.11
98.28,18.82,22.71
99.29,20.37,26.29
100.3,18.54,25.16
101.3,20.44,24.21
102.3,15.17,22.3
103.31,16.08,21.01
104.31,18.33,20.67
105.31,18.73,24.97
106.32,20.61,26.46
107.32,19.19,23.33
108.32,18.48,26.56
109.32,16.93,22.65
110.33,16.09,18.69
111.33,17.15,24.04
112.33,15.96,22.32
113.34,20.72,23.83
114.34,24.81,33.53
115.34,17.8,23.64
116.34,18.97,23.65
117.35,14.91,20.1
118.35,14.55,20.27
119.35,22.5,25.62
120.36,17.5,22.55
121.36,20.27,26.12
122.36,15.47,18.47
123.36,19.32,24.37
124.37,14.97,20.57
125.37,14.31,17.82
126.37,13.63,18.06
127.37,20.01,29.49
128.38,16.46,20.1
129.38,18.56,25.19
130.38,22.87,34.95
131.39,22.54,27.33
132.39,22.74,29.88
133.39,22.71,29.86
134.39,26.79,31.74
135.4,18.56,22.19
136.4,20.53,27.29
137.4,23.23,31.54
138.41,18.73,22.5
139.41,24.05,30.17
140.41,29.4,33.81
141.41,28.35,32
142.42,21.65,29.69
143.42,25.75,34.08
144.42,27.65,31.15
145.43,34.88,43.57
146.43,30.7,35.38
147.43,23.36,28.16
148.43,24.51,32.29
149.44,25.78,29.41
150.44,16.24,26.12
