"Time [s]","Committed size","Free size","Used size"
0.0,258048000,250880000,7168000
1.0,258048000,233890000,24158000
2.01,30720000,22378000,8342000
3.01,30720000,14318000,16402000
4.01,30720000,16983000,13737000
5.01,30720000,9083000,21637000
6.02,34816000,10718000,24098000
7.02,149504000,121524000,27980000
8.02,149504000,96279000,53225000
9.03,149504000,78229000,71275000
10.03,149504000,53363000,96141000
11.04,149504000,107723000,41781000
12.04,149504000,71486000,78018000
13.04,149504000,117431000,32073000
14.04,149504000,81053000,68451000
15.04,149504000,45065000,104439000
16.05,149504000,74797000,74707000
17.05,149504000,42386000,107118000
18.05,149504000,34414000,115090000
19.06,149504000,109594000,39910000
20.06,149504000,58476000,91028000
21.06,149504000,101356000,48148000
22.06,149504000,92956000,56548000
23.07,149504000,49346000,100158000
24.07,149504000,77800000,71704000
25.07,149504000,97113000,52391000
26.07,149504000,94940000,54564000
27.08,149504000,94262000,55242000
28.08,149504000,93762000,55742000
29.08,149504000,93762000,55742000
30.09,149504000,56824000,92680000
31.09,149504000,81499000,68005000
32.1,149504000,81438000,68066000
33.1,149504000,81304000,68200000
34.1,149504000,81300000,68204000
35.11,149504000,57798000,91706000
36.11,149504000,93976000,55528000
37.11,149504000,78590000,70914000
38.11,149504000,84512000,64992000
39.12,149504000,84491000,65013000
40.12,149504000,83056000,66448000
41.12,149504000,83026000,66478000
42.13,149504000,49653000,99851000
43.13,149504000,36723000,112781000
44.14,149504000,55448000,94056000
45.14,149504000,82820000,66684000
46.14,149504000,70478000,79026000
47.14,149504000,73633000,75871000
48.15,149504000,73913000,75591000
49.15,149504000,60072000,89432000
50.15,149504000,44161000,105343000
51.15,152576000,60361000,92215000
52.16,152576000,55734000,96842000
53.16,152576000,48867000,103709000
54.17,152576000,41944000,110632000
55.17,152576000,38577000,113999000
56.17,152576000,27148000,125428000
57.17,152576000,34351000,118225000
58.18,152576000,35392000,117184000
59.18,152576000,25112000,127464000
60.18,152576000,27020000,125556000
61.18,152576000,21621000,130955000
62.19,152576000,21741000,130835000
63.19,152576000,19418000,133158000
64.19,152576000,16616000,135960000
65.19,152576000,14998000,137578000
66.2,152576000,15193000,137383000
67.2,234496000,37702000,196794000
68.2,234496000,62098000,172398000
69.2,234496000,63345000,171151000
70.21,234496000,88101000,146395000
71.21,234496000,89954000,144542000
72.21,234496000,41506000,192990000
73.21,234496000,79972000,154524000
74.22,234496000,32616000,201880000
75.22,234496000,71043000,163453000
76.22,234496000,74405000,160091000
77.23,234496000,61395000,173101000
78.23,234496000,34460000,200036000
79.23,234496000,60440000,174056000
80.23,234496000,47069000,187427000
81.24,234496000,32767000,201729000
82.24,234496000,32218000,202278000
83.25,234496000,35280000,199216000
84.25,234496000,37418000,197078000
85.25,234496000,39612000,194884000
86.26,234496000,31844000,202652000
87.26,234496000,26741000,207755000
88.26,234496000,29452000,205044000
89.26,234496000,24177000,210319000
90.27,262144000,95469000,166675000
91.27,262144000,92674000,169470000
92.28,262144000,53639000,208505000
93.28,262144000,93150000,168994000
94.28,262144000,73197000,188947000
95.29,262144000,89794000,172350000
96.29,262144000,87076000,175068000
97.29,262144000,47807000,214337000
98.3,262144000,62320000,199824000
99.3,262144000,52271000,209873000
100.3,262144000,76250000,185894000
101.3,262144000,57496000,204648000
102.3,262144000,65514000,196630000
103.31,262144000,69844000,192300000
104.31,262144000,56063000,206081000
105.31,262144000,53809000,208335000
106.31,262144000,46356000,215788000
107.31,262144000,47376000,214768000
108.32,262144000,65380000,196764000
109.32,262144000,53952000,208192000
110.32,262144000,44148000,217996000
111.32,262144000,65145000,196999000
112.33,262144000,43227000,218917000
113.33,262144000,63853000,198291000
114.33,262144000,43308000,218836000
115.33,262144000,57989000,204155000
116.33,262144000,58235000,203909000
117.34,262144000,38247000,223897000
118.34,262144000,42357000,219787000
119.34,262144000,43951000,218193000
120.34,262144000,48503000,213641000
121.35,262144000,52669000,209475000
122.37,262144000,51474000,210670000
123.37,262144000,42153000,219991000
