"Name","Instance Count","Size (bytes)"
"java.util.HashMap$Node",24742,791744
"java.lang.String",22728,545472
"org.apache.jackrabbit.spi.commons.name.path.NamePath",18621,744840
"byte[]",18274,5829896
"java.util.HashMap",6578,315744
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry",5084,162688
"java.util.LinkedHashMap$Entry",5056,202240
"org.apache.jackrabbit.core.cache.concurrent.ConcurrentCache$E",4979,119496
"java.util.HashMap$Node[]",4529,522032
"org.apache.derby.impl.store.raw.data.StoredRecordHeader",4480,143360
"java.util.ArrayList",3893,93432
"java.util.concurrent.ConcurrentHashMap$Node",3816,122112
"java.lang.Object[]",3675,248224
"org.apache.jackrabbit.core.query.lucene.DocId$PlainDocId",3277,52432
"org.apache.derby.impl.store.raw.data.RecordId",3265,78360
"java.lang.ref.ReferenceQueue$Lock",3235,51760
"java.lang.ref.ReferenceQueue",3207,102624
"java.lang.ref.SoftReference",3207,128280
"org.apache.commons.collections4.map.AbstractHashedMap$HashEntry[]",3132,4420928
"org.apache.jackrabbit.util.WeakIdentityCollection$WeakRef",2999,119960
"org.apache.commons.collections4.map.AbstractReferenceMap$SoftRef",2857,114280
"java.lang.Object",2671,42736
"org.apache.commons.collections4.map.ReferenceMap",2391,172152
"org.apache.jackrabbit.core.id.NodeId",2351,75232
"org.apache.commons.collections4.map.AbstractLinkedMap$LinkEntry",2005,80200
"org.apache.jackrabbit.jcr2spi.hierarchy.LinkedEntries$LinkNode",1979,63328
"java.util.TreeMap$Entry",1794,71760
"long[]",1719,64792
"java.util.HashSet",1693,27088
"int[]",1674,252416
"org.apache.commons.collections4.map.AbstractReferenceMap$WeakRef",1659,53088
"org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceValues",1595,25520
"java.util.LinkedHashMap$LinkedValues",1564,25024
"org.apache.jackrabbit.core.cache.concurrent.ConcurrentCache$1",1556,99584
"java.util.LinkedList$Node",1353,32472
"java.util.concurrent.locks.ReentrantLock",1230,19680
"org.apache.jackrabbit.core.id.PropertyId",1180,28320
"java.util.concurrent.locks.ReentrantLock$NonfairSync",1140,36480
"java.util.TreeSet",1122,17952
"org.apache.derby.impl.services.cache.ClockPolicy$Holder",1078,34496
"char[]",1070,275544
"org.apache.derby.impl.services.cache.CacheEntry",1056,42240
"java.util.TreeMap",1043,50064
"org.apache.jackrabbit.core.value.InternalValue",1037,24888
"java.util.HashMap$KeySet",1020,16320
"org.apache.jackrabbit.core.persistence.util.NodePropBundle$ChildNodeEntry",993,23832
"org.apache.jackrabbit.core.journal.MemoryJournal$MemoryRecord",943,22632
"org.apache.derby.impl.services.uuid.BasicUUID",900,28800
"java.util.HashMap$Values",860,13760
"java.lang.Class[]",829,17912
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping",806,19344
"org.apache.jackrabbit.spi.commons.nodetype.definition.property.PropertyDefinitionImpl",759,24288
"org.apache.jackrabbit.spi.commons.name.path.map.PathMap$Element",756,30240
"org.apache.jackrabbit.core.CachingHierarchyManager$LRUEntry",754,24128
"java.util.concurrent.atomic.AtomicLong",753,18072
"org.apache.jackrabbit.util.WeakIdentityCollection$WeakRef[]",735,29400
"org.apache.jackrabbit.core.value.InternalValue[]",734,17184
"org.apache.jackrabbit.spi.commons.name.path.map.PathMap$Element[]",733,17592
"org.apache.jackrabbit.spi.commons.definition.QPropertyDefinitionImpl",723,40488
"java.util.zip.CRC32",715,11440
"org.apache.jackrabbit.core.state.ChildNodeEntry",712,22784
"java.util.BitSet",703,16872
"org.apache.jackrabbit.core.query.PropertyTypeRegistry$TypeMapping[]",703,16872
"org.apache.jackrabbit.util.WeakIdentityCollection",689,22048
"java.util.TreeMap$KeySet",672,10752
"org.apache.jackrabbit.core.state.PropertyState",664,26560
"java.lang.StackTraceElement",625,30000
"java.lang.Class",618,197760
"org.apache.jackrabbit.spi.Name[]",614,254888
"java.util.LinkedList",612,19584
"org.apache.commons.collections4.map.LinkedMap",608,34048
"boolean[]",595,17264
"org.apache.derby.iapi.store.raw.PageKey",593,14232
"org.apache.derby.catalog.types.TypeDescriptorImpl",592,23680
"org.apache.derby.iapi.services.io.ArrayInputStream",582,18624
"org.apache.derby.iapi.services.io.FormatIdInputStream",582,27936
"org.apache.derby.catalog.types.BaseTypeIdImpl",575,18400
"org.apache.derby.impl.sql.compile.SQLParser$JJCalls",575,18400
"org.apache.derby.impl.store.raw.data.StoredRecordHeader[]",574,67280
"org.apache.derby.iapi.types.DataTypeDescriptor",526,12624
"org.apache.jackrabbit.jcr2spi.hierarchy.PropertyEntryImpl",518,20720
"java.util.ArrayList$Itr",501,16032
"org.apache.jackrabbit.jcr2spi.hierarchy.ChildNodeAttic",501,8016
"org.apache.jackrabbit.jcr2spi.hierarchy.NodeEntryImpl",501,32064
"java.lang.String[]",497,32568
"org.apache.jackrabbit.jcr2spi.hierarchy.LinkedEntries",495,19800
"org.apache.jackrabbit.jcr2spi.hierarchy.ChildNodeEntriesImpl$NameMap",492,11808
"org.apache.jackrabbit.jcr2spi.hierarchy.ChildNodeEntriesImpl",488,15616
"org.apache.jackrabbit.jcr2spi.hierarchy.ChildPropertyEntriesImpl",488,11712
"org.apache.jackrabbit.spi.QValue[]",482,11448
"java.util.concurrent.ConcurrentHashMap",474,30336
"org.apache.jackrabbit.jcr2spi.state.PropertyState",469,22512
"org.apache.jackrabbit.jcr2spi.state.PropertyState$PropertyData",461,11064
"org.apache.jackrabbit.spi.commons.name.NameFactoryImpl$NameImpl",457,14624
"java.lang.StringBuilder",451,10824
"java.lang.ref.WeakReference",441,14112
"java.util.LinkedHashMap",439,24584
"org.apache.jackrabbit.core.state.NodeState",414,26496
"org.apache.derby.impl.store.raw.data.StoredPage",410,78720
"org.apache.jackrabbit.core.nodetype.NodeTypeImpl",406,16240
"java.util.Hashtable$Entry",404,12928
"java.lang.Long",401,9624
"java.util.concurrent.CopyOnWriteArrayList",395,9480
"org.apache.derby.iapi.services.io.FormatableBitSet",383,9192
"java.util.LinkedHashMap$LinkedKeySet",379,6064
"org.apache.derby.iapi.types.DataValueDescriptor[]",377,15448
"java.util.Collections$SynchronizedMap",375,12000
"java.util.LinkedHashSet",371,5936
"org.apache.jackrabbit.core.persistence.util.NodePropBundle$PropertyEntry",364,11648
"org.apache.jackrabbit.spi.commons.definition.QNodeTypeDefinitionImpl",364,17472
"org.apache.derby.iapi.types.SQLLongint",358,8592
"java.lang.StringBuffer",347,11104
"java.lang.Integer",346,5536
"org.apache.jackrabbit.jcr2spi.nodetype.NodeTypeImpl",343,13720
"org.apache.derby.iapi.store.raw.ContainerKey",340,10880
"org.apache.lucene.index.FieldInfo",339,10848
"org.apache.jackrabbit.jcr2spi.security.authorization.PrivilegeImpl",336,10752
"org.apache.derby.impl.store.raw.data.StoredRecordHeader$OverflowInfo",316,10112
"org.apache.jackrabbit.core.query.lucene.DocId$UUIDDocId",316,7584
"java.util.concurrent.ConcurrentHashMap$Node[]",313,96368
"java.util.Collections$SynchronizedSet",304,7296
"org.apache.jackrabbit.spi.commons.nodetype.definition.node.NodeDefinitionImpl",301,7224
"org.apache.jackrabbit.jcr2spi.nodetype.EffectiveNodeTypeImpl",300,12000
"java.util.concurrent.CopyOnWriteArrayList$COWIterator",291,6984
"org.apache.jackrabbit.core.persistence.util.NodePropBundle",289,16184
"java.util.regex.Pattern$BmpCharPredicate$$Lambda$110.0x00000001001cc850",287,6888
"java.util.concurrent.atomic.AtomicInteger",286,4576
"com.sun.org.apache.xerces.internal.xni.QName",282,9024
"java.util.HashMap$EntrySet",281,4496
"org.apache.commons.collections4.map.AbstractHashedMap$Values",275,4400
"java.util.Map[]",268,17136
"org.apache.maven.surefire.api.util.internal.ClassMethod",254,6096
"org.apache.derby.iapi.sql.dictionary.ColumnDescriptor",253,22264
"org.apache.jackrabbit.jcr2spi.state.NodeState",249,11952
"org.apache.jackrabbit.core.virtual.VirtualPropertyState",248,11904
"org.apache.derby.iapi.sql.dictionary.IndexRowGenerator",244,5856
"org.apache.jackrabbit.spi.commons.definition.QNodeDefinitionImpl",241,9640
"org.apache.derby.iapi.store.raw.FetchDescriptor",225,9000
"org.apache.jackrabbit.test.LogPrintWriter$NullWriter",223,5352
"org.apache.jackrabbit.test.LogPrintWriter",222,10656
"org.apache.derby.impl.io.DirFile",217,8680
"org.apache.jackrabbit.spi.commons.conversion.GenerationalCache",212,8480
"java.io.FileDescriptor",211,8440
"org.apache.derby.iapi.services.io.ArrayOutputStream",209,6688
"java.io.FileCleanable",207,11592
"org.apache.jackrabbit.spi.QValueConstraint[]",207,5312
"org.apache.derby.catalog.types.IndexDescriptorImpl",206,6592
"sun.util.locale.LocaleObjectCache$CacheEntry",206,8240
"org.apache.derby.iapi.services.io.FormatIdOutputStream",203,8120
"javax.security.auth.Subject$SecureSet",199,4776
"org.apache.jackrabbit.core.security.authorization.AbstractCompiledPermissions$Result",199,6368
"java.util.regex.Pattern$$Lambda$109.0x00000001001cc5d0",194,4656
"org.apache.derby.impl.sql.GenericColumnDescriptor",194,7760
"java.util.WeakHashMap$Entry[]",184,15232
"com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer",183,5856
"java.lang.invoke.BoundMethodHandle$Species_LL",181,7240
"org.apache.jackrabbit.core.state.StateChangeDispatcher",181,4344
"org.apache.tika.mime.MimeType",176,9856
"org.apache.derby.impl.store.access.btree.LeafControlRow",174,11136
"org.apache.jackrabbit.spi.commons.conversion.ParsingPathResolver",173,4152
"org.apache.jackrabbit.spi.commons.conversion.ParsingNameResolver",171,4104
"org.apache.jackrabbit.spi.commons.conversion.DefaultNamePathResolver",169,4056
