"Time [s]","Committed size","Free size","Used size"
0.0,258048000,250880000,7168000
1.0,258048000,242857000,15191000
2.0,258048000,237358000,20690000
3.0,258048000,237358000,20690000
4.0,258048000,237358000,20690000
5.0,258048000,237358000,20690000
6.01,258048000,237358000,20690000
7.01,258048000,237358000,20690000
8.01,258048000,237358000,20690000
9.01,258048000,237358000,20690000
10.01,258048000,237248000,20800000
11.01,258048000,231495000,26553000
12.01,258048000,231495000,26553000
13.01,258048000,231495000,26553000
14.02,258048000,231495000,26553000
15.02,258048000,231495000,26553000
16.02,258048000,231495000,26553000
17.02,258048000,231495000,26553000
18.02,258048000,231495000,26553000
19.02,258048000,231495000,26553000
20.02,258048000,231495000,26553000
21.02,258048000,231495000,26553000
22.02,258048000,231495000,26553000
23.02,258048000,231495000,26553000
24.02,258048000,237092000,20956000
