"Name","Instance Count","Size (bytes)"
"java.lang.Integer",24689,395024
"byte[]",9773,1765256
"java.lang.String",5405,129720
"java.lang.StringBuilder",2966,71184
"java.lang.Object[]",1336,71576
"java.util.HashMap$Node",643,20576
"java.util.concurrent.ConcurrentHashMap$Node",638,20416
"java.lang.String[]",521,18648
"java.util.ArrayList",512,12288
"char[]",369,119064
"java.lang.Object",318,5088
"java.net.URL",290,18560
"int[]",245,46424
"java.io.File",237,7584
"sun.util.locale.LocaleObjectCache$CacheEntry",204,8160
"java.lang.StackTraceElement",193,9264
"org.apache.commons.vfs2.provider.local.WindowsFileName",191,10696
"java.lang.ref.SoftReference",167,6680
"java.lang.Class[]",142,3288
"java.lang.Class",135,43200
"sun.util.locale.BaseLocale$Key",109,3488
"java.lang.ref.WeakReference",106,3392
"java.util.Locale",99,3168
"sun.util.locale.BaseLocale",88,2816
"sun.nio.fs.WindowsFileAttributes",78,4992
"java.lang.invoke.LambdaForm$Name",72,2304
"java.nio.file.FileTreeWalker$Event",70,2240
"com.sun.org.apache.xerces.internal.dom.DeferredTextImpl",68,2720
"java.util.ArrayList$Itr",68,2176
"com.sun.org.apache.xerces.internal.xni.QName",67,2144
"com.sun.org.apache.xerces.internal.dom.DeferredAttrImpl",63,2520
"java.util.HashMap",60,2880
"sun.nio.fs.WindowsDirectoryStream",59,2832
"sun.nio.fs.WindowsDirectoryStream$WindowsDirectoryIterator",59,1888
"sun.nio.fs.WindowsNativeDispatcher$FirstFile",58,1856
"java.lang.invoke.MethodType",52,2080
"java.lang.Long",50,1200
"java.lang.ref.Finalizer",49,1960
"java.io.FileDescriptor",48,1920
"java.security.Provider$ServiceKey",48,1152
"java.util.HashMap$Node[]",47,531376
"sun.nio.fs.WindowsPath",47,1880
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",45,2160
"java.util.LinkedHashMap$Entry",44,1760
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",42,1344
"com.sun.org.apache.xerces.internal.dom.AttributeMap",41,984
"org.apache.commons.vfs2.FileObject[]",41,2032
"java.io.FileCleanable",40,2240
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",40,2240
"sun.nio.fs.WindowsPathParser$Result",40,960
"com.sun.org.apache.xerces.internal.dom.DeferredElementImpl",39,2184
"org.apache.commons.vfs2.FileName[]",36,1232
"sun.nio.fs.WindowsPath$WindowsPathWithAttributes",36,1728
"com.sun.org.apache.xerces.internal.util.PropertyState",35,840
"org.apache.commons.vfs2.provider.local.LocalFile",35,1960
"com.sun.org.apache.xerces.internal.dom.DeepNodeListImpl",33,1320
"java.math.BigInteger",31,1240
"java.nio.file.FileTreeWalker$DirectoryNode",29,928
"com.sun.org.apache.xerces.internal.util.FeatureState",28,672
"java.lang.Byte",26,416
"java.lang.Short",25,400
"java.util.WeakHashMap$Entry",25,1000
"com.sun.org.apache.xerces.internal.util.XMLStringBuffer",24,576
"jdk.xml.internal.SecuritySupport$$Lambda$102.0x00000001001730a8",24,384
"org.apache.commons.vfs2.cache.FileSystemAndNameKey",24,576
"sun.nio.ch.NativeThreadSet",23,552
"java.lang.Character$UnicodeBlock",21,336
"java.nio.StringCharBuffer",21,1176
"java.util.HashMap$EntrySet",21,336
"sun.nio.ch.FileChannelImpl$Closer",20,320
"com.sun.org.apache.xerces.internal.xni.XMLString",19,456
"java.util.TreeMap",19,912
"java.lang.invoke.LambdaForm",18,864
"org.apache.jackrabbit.core.data.CachingDataRecord",18,432
"sun.nio.fs.WindowsFileAttributeViews$Basic",18,432
"java.io.FileOutputStream",17,544
