"Time [s]","Committed size","Free size","Used size"
0.0,258048000,250880000,7168000
1.01,258048000,242488000,15560000
2.01,258048000,237279000,20769000
3.01,258048000,237279000,20769000
4.01,258048000,237279000,20769000
5.02,258048000,237279000,20769000
6.02,258048000,237279000,20769000
7.02,258048000,237279000,20769000
8.03,258048000,237279000,20769000
9.03,258048000,237279000,20769000
10.03,258048000,237271000,20777000
11.03,258048000,231514000,26534000
12.04,258048000,231514000,26534000
13.04,258048000,231514000,26534000
14.04,258048000,231514000,26534000
15.04,258048000,231514000,26534000
16.05,258048000,231514000,26534000
17.05,258048000,231514000,26534000
18.05,258048000,231514000,26534000
19.06,258048000,231514000,26534000
20.06,258048000,231514000,26534000
21.06,258048000,231514000,26534000
22.06,258048000,231514000,26534000
23.07,258048000,231514000,26534000
24.07,258048000,237906000,20142000
