"Name","Instance Count","Size (bytes)"
"java.lang.Integer",24708,395328
"byte[]",10009,1582840
"java.lang.String",5265,126360
"java.lang.StringBuilder",2978,71472
"java.lang.Object[]",1173,63720
"java.util.concurrent.ConcurrentHashMap$Node",603,19296
"java.lang.String[]",580,21952
"java.util.HashMap$Node",578,18496
"java.util.ArrayList",500,12000
"char[]",384,126696
"java.lang.Object",329,5264
"java.net.URL",288,18432
"java.io.File",241,7712
"sun.util.locale.LocaleObjectCache$CacheEntry",206,8240
"java.lang.StackTraceElement",188,9024
"java.lang.ref.SoftReference",174,6960
"int[]",154,27984
"org.apache.commons.vfs2.provider.local.WindowsFileName",148,8288
"java.lang.Class",133,42560
"java.lang.Class[]",130,3048
"java.lang.ref.WeakReference",105,3360
"sun.util.locale.BaseLocale$Key",103,3296
"java.util.Locale",99,3168
"sun.util.locale.BaseLocale",99,3168
"com.sun.org.apache.xerces.internal.xni.QName",86,2752
"sun.nio.fs.WindowsFileAttributes",83,5312
"java.lang.invoke.LambdaForm$Name",73,2336
"java.util.ArrayList$Itr",73,2336
"jdk.internal.math.FDBigInteger",68,2176
"java.nio.file.FileTreeWalker$Event",62,1984
"com.sun.org.apache.xerces.internal.dom.AttributeMap",60,1440
"java.util.HashMap",57,2736
"com.sun.org.apache.xerces.internal.dom.DeferredElementImpl",56,3136
"com.sun.org.apache.xerces.internal.dom.DeferredTextImpl",54,2160
"java.lang.Long",54,1296
"sun.nio.fs.WindowsDirectoryStream",54,2592
"sun.nio.fs.WindowsDirectoryStream$WindowsDirectoryIterator",54,1728
"java.io.FileDescriptor",53,2120
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",51,1632
"sun.nio.fs.WindowsNativeDispatcher$FirstFile",50,1600
"java.security.Provider$ServiceKey",49,1176
"org.apache.commons.vfs2.FileObject[]",47,2232
"sun.nio.fs.WindowsPath",46,1840
"java.math.BigInteger",45,1800
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",45,2160
"java.util.LinkedHashMap$Entry",44,1760
"java.lang.Character$UnicodeBlock",41,656
"java.lang.ref.Finalizer",41,1640
"sun.nio.fs.WindowsPathParser$Result",39,936
"com.sun.org.apache.xerces.internal.dom.DeferredAttrImpl",38,1520
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",38,2128
"java.io.FileCleanable",37,2072
"java.lang.invoke.MethodType",36,1440
"java.util.HashMap$Node[]",36,278960
"org.apache.commons.vfs2.cache.FileSystemAndNameKey",32,768
"com.sun.org.apache.xerces.internal.util.PropertyState",31,744
"sun.nio.fs.WindowsPath$WindowsPathWithAttributes",31,1488
"com.sun.org.apache.xerces.internal.util.FeatureState",30,720
"com.sun.org.apache.xerces.internal.util.XMLStringBuffer",30,720
"org.apache.commons.vfs2.provider.local.LocalFile",30,1680
"com.sun.org.apache.xerces.internal.dom.DeepNodeListImpl",29,1160
"java.nio.file.FileTreeWalker$DirectoryNode",28,896
"java.lang.Byte",27,432
"org.apache.commons.vfs2.FileName[]",27,904
"java.lang.Short",25,400
"java.util.concurrent.ConcurrentHashMap",23,1472
"com.sun.org.apache.xerces.internal.xni.XMLString",22,528
"java.lang.Class$ReflectionData",22,1408
"java.nio.StringCharBuffer",22,1232
"java.util.WeakHashMap$Entry",22,880
"sun.nio.ch.FileChannelImpl$Closer",22,352
"java.util.Arrays$ArrayList",21,504
"java.util.concurrent.ConcurrentHashMap$Node[]",21,12016
"org.apache.commons.vfs2.events.CreateEvent",21,336
"java.util.HashMap$EntrySet",20,320
"java.security.Provider$Service",19,1216
"org.apache.jackrabbit.core.data.CachingDataRecord",19,456
"sun.nio.ch.NativeThreadSet",19,456
"sun.nio.fs.WindowsFileAttributeViews$Basic",19,456
"java.lang.ClassNotFoundException",18,720
"java.util.HashMap$KeyIterator",18,720
"java.util.HashSet",18,288
"jdk.xml.internal.SecuritySupport$$Lambda$102.0x0000000100132e68",18,288
"sun.nio.fs.NativeBuffer",18,576
"java.lang.invoke.LambdaForm$Name[]",17,968
"java.lang.ref.SoftReference[]",17,1336
"java.util.HashMap$KeySet",17,272
"java.io.ObjectOutputStream$HandleTable",16,640
"java.lang.invoke.LambdaForm$NamedFunction",16,384
"sun.nio.ch.FileChannelImpl",16,1152
"sun.nio.fs.NativeBuffer$Deallocator",16,384
"sun.security.pkcs11.SunPKCS11$Descriptor",16,512
"com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$NameMap[]",15,480
"java.io.FileOutputStream$1",15,240
"java.util.Hashtable$Entry",15,480
"java.util.jar.Attributes$Name",15,360
"java.io.FileInputStream$1",14,224
"java.lang.invoke.DirectMethodHandle",14,448
"java.security.Provider$UString",14,336
"long[]",14,648
"sun.nio.ch.FileDispatcherImpl",14,224
"java.lang.StringBuffer",13,416
"java.lang.invoke.LambdaForm",13,624
"java.lang.invoke.LambdaFormEditor$TransformKey",13,312
"java.lang.invoke.MethodTypeForm",13,416
"java.util.TreeMap",13,624
"java.util.zip.ZipFile$CleanableResource",13,416
"java.io.DataOutputStream",12,480
"java.io.FileOutputStream",12,384
"java.io.ObjectOutputStream$ReplaceTable",12,288
"java.lang.invoke.BoundMethodHandle$Species_LL",12,480
"java.lang.ref.ReferenceQueue",12,384
"java.lang.reflect.Method",12,1056
"org.apache.log4j.spi.LoggingEvent",12,864
"com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$Limit[]",11,616
"java.io.FileInputStream",11,352
"java.io.ObjectOutputStream$BlockDataOutputStream",11,440
"java.lang.Package$VersionInfo",11,440
"java.lang.ThreadLocal$ThreadLocalMap$Entry",11,352
"java.lang.Throwable",11,440
"java.lang.invoke.LambdaFormEditor",11,176
"jdk.internal.module.ServicesCatalog$ServiceProvider",11,264
"char[][]",10,240
"com.sun.org.apache.xerces.internal.util.AugmentationsImpl",10,160
"java.lang.invoke.MethodHandleNatives$CallSiteContext",10,320
