"Time [s]","Committed size","Free size","Used size"
0.0,258048000,250880000,7168000
1.0,258048000,243296000,14752000
2.0,258048000,237154000,20894000
3.0,258048000,237154000,20894000
4.0,258048000,237154000,20894000
5.0,258048000,237154000,20894000
6.01,258048000,237154000,20894000
7.01,258048000,237154000,20894000
8.01,258048000,237154000,20894000
9.01,258048000,237154000,20894000
10.01,258048000,237152000,20896000
11.01,258048000,231514000,26534000
12.01,258048000,231514000,26534000
13.01,258048000,231514000,26534000
14.01,258048000,231514000,26534000
15.01,258048000,231514000,26534000
16.01,258048000,231514000,26534000
17.02,258048000,231514000,26534000
18.02,258048000,231514000,26534000
19.02,258048000,231514000,26534000
20.02,258048000,231514000,26534000
21.02,258048000,231514000,26534000
22.02,258048000,231514000,26534000
23.02,258048000,231514000,26534000
24.02,258048000,240358000,17690000
