"Name","Instance Count","Size (bytes)"
"java.lang.Integer",24734,395744
"byte[]",9901,1712680
"java.lang.String",5170,124080
"java.lang.StringBuilder",2931,70344
"java.lang.Object[]",1199,65032
"java.util.concurrent.ConcurrentHashMap$Node",633,20256
"java.util.ArrayList",581,13944
"java.util.HashMap$Node",567,18144
"java.lang.String[]",454,14184
"char[]",352,131256
"java.lang.Object",344,5504
"java.net.URL",292,18688
"java.io.File",243,7776
"int[]",198,31592
"org.apache.commons.vfs2.provider.local.WindowsFileName",195,10920
"sun.util.locale.LocaleObjectCache$CacheEntry",186,7440
"java.lang.StackTraceElement",179,8592
"java.lang.ref.SoftReference",177,7080
"java.lang.Class",147,47040
"java.lang.Class[]",125,3056
"java.lang.ref.WeakReference",117,3744
"sun.util.locale.BaseLocale",105,3360
"java.util.Locale",102,3264
"sun.util.locale.BaseLocale$Key",98,3136
"sun.nio.fs.WindowsFileAttributes",85,5440
"com.sun.org.apache.xerces.internal.dom.DeferredTextImpl",77,3080
"com.sun.org.apache.xerces.internal.dom.DeferredAttrImpl",64,2560
"java.nio.file.FileTreeWalker$Event",64,2048
"java.util.HashMap",63,3024
"java.util.HashMap$Node[]",63,532296
"com.sun.org.apache.xerces.internal.dom.AttributeMap",62,1488
"com.sun.org.apache.xerces.internal.dom.DeferredElementImpl",62,3472
"java.lang.invoke.LambdaForm$Name",61,1952
"sun.nio.fs.WindowsDirectoryStream",61,2928
"sun.nio.fs.WindowsDirectoryStream$WindowsDirectoryIterator",58,1856
"java.security.Provider$ServiceKey",56,1344
"java.io.FileDescriptor",55,2200
"java.util.ArrayList$Itr",55,1760
"com.sun.org.apache.xerces.internal.xni.QName",54,1728
"sun.nio.fs.WindowsNativeDispatcher$FirstFile",52,1664
"sun.nio.fs.WindowsPath",45,1800
"java.lang.Long",44,1056
"java.util.LinkedHashMap$Entry",44,1760
"java.lang.Character$UnicodeBlock",41,656
"java.lang.invoke.MethodType",41,1640
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",41,1312
"java.math.BigInteger",41,1640
"com.sun.org.apache.xerces.internal.util.PropertyState",40,960
"org.apache.commons.vfs2.FileName[]",39,1104
"sun.nio.fs.WindowsPathParser$Result",39,936
"java.lang.ref.Finalizer",38,1520
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",36,1728
"org.apache.commons.vfs2.cache.FileSystemAndNameKey",35,840
"org.apache.commons.vfs2.FileObject[]",33,1256
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",32,1792
"sun.nio.fs.WindowsPath$WindowsPathWithAttributes",32,1536
"java.io.FileCleanable",30,1680
"java.nio.file.FileTreeWalker$DirectoryNode",27,864
"java.lang.Byte",26,416
"java.lang.Short",26,416
"com.sun.org.apache.xerces.internal.dom.DeepNodeListImpl",24,960
"com.sun.org.apache.xerces.internal.util.FeatureState",24,576
"java.lang.invoke.LambdaForm$NamedFunction",22,528
"java.util.WeakHashMap$Entry",22,880
"java.util.concurrent.ConcurrentHashMap",22,1408
"java.nio.StringCharBuffer",21,1176
"java.security.Provider$Service",21,1344
"org.apache.commons.vfs2.provider.local.LocalFile",21,1176
"com.sun.org.apache.xerces.internal.util.XMLStringBuffer",20,480
"java.lang.ref.SoftReference[]",20,1432
"java.security.Provider$UString",20,480
"sun.nio.ch.FileChannelImpl$Closer",20,320
"java.lang.invoke.LambdaForm",19,912
"java.io.ObjectOutputStream$HandleTable",18,720
"sun.nio.fs.NativeBuffer",18,576
"sun.nio.fs.WindowsFileAttributeViews$Basic",18,432
"java.io.ObjectOutputStream$ReplaceTable",16,384
"java.util.HashMap$KeySet",16,256
"jdk.xml.internal.SecuritySupport$$Lambda$102.0x0000000100132e68",16,256
"sun.nio.fs.NativeBuffer$Deallocator",16,384
"java.io.FileOutputStream$1",15,240
"java.util.jar.Attributes$Name",15,360
"com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$NameMap[]",14,448
"java.io.FileOutputStream",14,448
"java.lang.StringBuffer",14,448
"java.util.Arrays$ArrayList",14,336
"java.util.HashMap$EntrySet",14,224
"java.util.HashMap$KeyIterator",14,560
"java.util.zip.ZipFile$CleanableResource",14,448
"java.lang.Class$ReflectionData",13,832
"java.lang.reflect.Method",13,1144
"java.nio.HeapByteBuffer",13,728
"java.nio.channels.Channels$1",13,416
"java.util.Hashtable$Entry",13,416
"java.util.concurrent.ConcurrentHashMap$Node[]",13,2224
"jdk.internal.reflect.NativeConstructorAccessorImpl",13,416
"long[]",13,416
"org.apache.commons.vfs2.events.CreateEvent",13,208
"org.apache.jackrabbit.core.data.AsyncUploadCacheResult",13,312
"sun.nio.ch.FileChannelImpl",13,936
"sun.nio.ch.FileDispatcherImpl",13,208
"sun.nio.ch.NativeThreadSet",13,312
"com.sun.org.apache.xerces.internal.xni.XMLString",12,288
