"Time [s]","Process load","System load"
0.0,0,0
1.01,12.22,25.23
2.01,14.44,40.32
3.01,2.33,24.4
4.01,2.46,18.93
5.02,1.16,23.39
6.02,1.42,22.15
7.03,1.81,18.15
8.03,2.2,23.58
9.03,2.6,24.35
10.04,2.07,17.41
11.04,0.9,20.61
12.04,0.52,19.88
13.04,0.51,18.44
14.05,0.65,20.75
15.05,0.25,18.94
16.06,1.42,20.36
17.06,16.14,40.23
18.06,9.76,30.07
19.06,7.27,23
20.06,14.56,45
21.07,2.98,21.31
22.07,8.7,31.7
23.07,8.33,27.34
24.07,14.02,36.73
25.08,11.04,28.59
26.08,13.64,38.33
27.08,8.19,26.92
28.08,2.72,20.49
29.09,3.5,29.99
30.09,2.46,21.13
31.09,2.2,25.34
32.1,1.82,20.53
33.1,1.68,24.04
34.1,1.56,21.54
35.11,1.68,21.55
36.11,2.33,18.98
37.11,1.3,21.22
38.11,11.71,36.68
39.11,0.51,18.03
40.12,0.39,21.07
41.12,0,21.91
42.12,0.64,18.55
43.13,0.25,22.28
44.13,0.26,17.54
45.13,0,19.36
46.13,0.12,21.35
47.13,0,20.57
48.14,0.39,19.1
49.14,0.52,22.39
50.14,0,18.28
51.14,1.16,12.87
52.15,0.64,6.21
53.15,0.52,5.73
54.15,0.78,5.71
55.16,0.12,7.25
56.16,1.17,6.22
57.17,0.64,8.43
58.17,0,7.77
59.17,1.17,8.3
60.18,0.64,4.82
61.18,0.39,6.88
62.18,0.51,3.5
63.18,1.29,8.58
64.19,0.78,8.81
65.19,0.64,4.29
66.19,0.52,5.85
67.2,1.29,9.58
68.2,0.64,4.42
69.2,1.04,5.85
70.2,0.39,6.35
71.21,10.27,14.31
72.21,8.56,12.06
73.21,7.12,15.3
74.22,1.17,5.7
75.22,0.51,8.59
76.22,1.03,8.31
77.23,0.39,4.27
78.23,0.9,5.72
79.23,0.91,5.7
80.23,0.78,4.03
81.24,0.9,4.79
82.24,0.9,7.52
83.24,0.78,3.5
84.25,0.78,5.07
85.25,0.64,6.99
86.25,0.64,5.32
87.26,0.52,6.23
88.26,0.38,6.22
89.26,1.82,6.88
90.27,0.25,4.41
91.27,0.78,6.63
92.27,1.43,4.81
93.27,10.55,16.92
94.28,11.66,17.77
95.28,9.99,14.28
96.28,10.11,12.57
97.29,11.42,16.74
98.29,11.2,17.05
99.29,9.97,15.15
100.3,10,14.68
101.3,4.03,9.89
102.3,0.52,5.83
103.31,0.39,4.4
104.31,1.94,9.85
105.31,1.94,9.1
106.31,1.82,8.84
107.32,0.9,8.44
108.32,1.95,6.36
109.32,8.71,16.26
110.33,5.83,16.85
111.33,1.29,5.57
112.33,2.73,9.36
113.34,13.34,23.57
114.34,10.53,16.52
115.34,14.05,20.02
116.34,19.52,24.86
117.34,11.97,15.74
118.35,9.58,12.04
119.35,9.33,14.4
120.36,12.7,18.01
121.36,12.84,16.6
122.36,8.7,14.94
123.37,8.69,15.06
124.37,8.56,11.93
125.37,19.14,24.35
126.37,18.06,23.39
127.38,11.42,17.52
128.38,16.13,20.29
129.38,20.24,25.57
130.39,11.93,17.24
131.39,9.75,14.05
132.39,9.47,13.76
133.39,8.82,13.74
134.4,12.46,19.73
135.4,12.95,15.02
136.41,9.49,13.52
137.41,12.5,17.45
138.41,9.21,12.98
139.41,12.24,15.62
140.41,9.11,13.66
141.42,11.4,16.45
142.42,10.34,12.28
143.42,15.08,19.51
144.43,17.12,28.27
145.43,20.22,24.9
146.44,20.1,25.54
147.44,18.71,26.24
148.44,17.18,33.33
149.45,17.92,29.72
150.45,18.15,25.68
151.45,18.06,26.63
152.45,18.21,25.49
153.46,17.89,29.3
154.46,17.67,26.63
155.47,19.06,25.03
156.47,17.93,22.22
157.47,17.45,27.47
158.47,17.77,27.9
159.47,17.67,22.08
160.48,17.49,25.52
161.48,16.92,25.91
162.48,18.43,23.36
163.49,18.98,26.66
164.49,19.71,29.44
165.49,17.67,23.39
166.49,17.57,22.65
167.49,18.6,25.63
168.5,17.04,24.7
169.5,18.48,21.48
170.5,19.27,27.08
171.5,20.75,27.75
172.5,18.35,28.12
173.5,17.7,23.7
174.51,20,30.01
175.51,19.23,28.98
176.51,19.04,33.68
177.52,18.95,25.05
178.52,17.79,24.95
179.52,17.43,22.76
180.52,18.16,25.54
181.53,18.17,26.35
182.53,19.49,23.65
183.53,18.2,27.7
184.54,15.84,25.31
185.54,28.27,32.29
186.55,9.59,14.78
187.55,10.91,18.57
188.55,11.82,15.59
189.55,11.66,15.17
190.56,10.54,25.91
191.56,11.01,31.09
192.56,8.96,22.87
193.57,9.74,31.31
194.57,8.57,27.81
195.57,12.85,31.02
196.58,10.75,29.8
197.58,11.71,29.04
198.58,10.12,28.04
199.59,10.52,29.88
200.59,11.42,32.58
201.59,10.11,27.88
202.6,9.98,27.35
203.6,10.66,29.13
204.61,9.46,29.41
205.61,9.21,24.27
206.61,9.88,26.77
207.61,10.14,30.69
208.62,8.92,26.51
209.62,10.25,27
210.63,8.84,29.88
211.63,9.59,27.88
212.64,13.35,32.55
213.64,13.6,35.36
214.65,14.13,35.27
215.65,11.27,27.1
216.65,9.63,27.31
217.66,8.54,25.91
218.66,9.61,25.73
219.66,9.9,29.42
220.66,9.89,29.81
221.66,8.59,28.38
222.67,9.71,23.97
223.67,8.33,33.07
224.67,10,35.34
225.67,9.36,24.71
226.67,11.97,33.94
227.68,10.36,29.79
