"Time [s]","Committed size","Free size","Used size"
0.0,258048000,249172000,8876000
1.01,258048000,251546000,6502000
2.01,258048000,243898000,14150000
3.01,258048000,242508000,15540000
4.01,258048000,241954000,16094000
5.01,258048000,208968000,49080000
6.01,258048000,192249000,65799000
7.01,258048000,159262000,98786000
8.01,258048000,159044000,99004000
9.02,258048000,156164000,101884000
10.02,258048000,155850000,102198000
11.02,258048000,155850000,102198000
12.02,258048000,155850000,102198000
13.02,258048000,155850000,102198000
14.02,258048000,155850000,102198000
15.02,258048000,155850000,102198000
16.03,258048000,154867000,103181000
17.03,28672000,11522000,17150000
18.03,30720000,19822000,10898000
19.03,145408000,137775000,7633000
20.03,145408000,67226000,78182000
21.03,145408000,71846000,73562000
22.03,145408000,91421000,53987000
23.03,145408000,113886000,31522000
24.03,145408000,131421000,13987000
25.03,145408000,129402000,16006000
26.03,145408000,78225000,67183000
27.03,145408000,92964000,52444000
28.03,145408000,87678000,57730000
29.03,145408000,81953000,63455000
30.04,145408000,75390000,70018000
31.04,145408000,68406000,77002000
32.04,145408000,62682000,82726000
33.04,145408000,56958000,88450000
34.04,145408000,133802000,11606000
35.04,145408000,127950000,17458000
36.04,145408000,123211000,22197000
37.04,145408000,69206000,76202000
38.04,145408000,67114000,78294000
39.04,145408000,67114000,78294000
40.04,145408000,66879000,78529000
41.04,145408000,66879000,78529000
42.05,145408000,66877000,78531000
43.05,145408000,66877000,78531000
44.05,145408000,66874000,78534000
45.05,145408000,66874000,78534000
46.05,145408000,66864000,78544000
47.05,145408000,66864000,78544000
48.05,145408000,66861000,78547000
49.05,145408000,66861000,78547000
50.05,145408000,66299000,79109000
51.05,145408000,66299000,79109000
52.05,145408000,66296000,79112000
53.05,145408000,66289000,79119000
54.06,145408000,66286000,79122000
55.06,145408000,66286000,79122000
56.06,145408000,66283000,79125000
57.06,145408000,66283000,79125000
58.06,145408000,66281000,79127000
59.06,145408000,66281000,79127000
60.06,145408000,86602000,58806000
61.06,145408000,74397000,71011000
62.06,145408000,74117000,71291000
63.06,145408000,74114000,71294000
64.06,145408000,74111000,71297000
65.06,145408000,74108000,71300000
66.07,145408000,73968000,71440000
67.07,145408000,73962000,71446000
68.07,145408000,73822000,71586000
69.07,145408000,73820000,71588000
70.07,145408000,124035000,21373000
71.07,145408000,138375000,7033000
72.07,145408000,74885000,70523000
73.07,145408000,93209000,52199000
74.07,145408000,93209000,52199000
75.07,145408000,93204000,52204000
76.07,145408000,93204000,52204000
77.08,145408000,93199000,52209000
78.08,145408000,93199000,52209000
79.08,145408000,93196000,52212000
80.08,145408000,93130000,52278000
81.08,145408000,93127000,52281000
82.08,145408000,93124000,52284000
83.08,145408000,93122000,52286000
84.08,145408000,93119000,52289000
85.08,145408000,93117000,52291000
86.08,145408000,93114000,52294000
87.08,145408000,93111000,52297000
88.09,145408000,93109000,52299000
89.09,145408000,93106000,52302000
90.09,145408000,93106000,52302000
91.09,145408000,92541000,52867000
92.09,145408000,78412000,66996000
93.09,145408000,98317000,47091000
94.09,145408000,70719000,74689000
95.09,145408000,85481000,59927000
96.09,145408000,87291000,58117000
97.09,145408000,57341000,88067000
98.09,145408000,110576000,34832000
99.1,145408000,81359000,64049000
100.1,145408000,131550000,13858000
101.1,145408000,131550000,13858000
102.1,145408000,131545000,13863000
103.1,145408000,131545000,13863000
104.1,145408000,115193000,30215000
105.1,145408000,112447000,32961000
106.1,145408000,110231000,35177000
107.1,145408000,109724000,35684000
108.1,145408000,107844000,37564000
109.1,145408000,104625000,40783000
110.1,145408000,99417000,45991000
111.11,145408000,98111000,47297000
112.11,145408000,89684000,55724000
113.11,145408000,126759000,18649000
114.11,145408000,86726000,58682000
115.11,176128000,94705000,81423000
116.11,229376000,96733000,132643000
117.11,333824000,149228000,184596000
118.11,401408000,281834000,119574000
119.11,483328000,435579000,47749000
120.12,483328000,157944000,325384000
121.12,483328000,194018000,289310000
122.12,483328000,435778000,47550000
123.12,483328000,400983000,82345000
124.12,483328000,423450000,59878000
125.12,483328000,185870000,297458000
126.12,483328000,428770000,54558000
127.12,483328000,435740000,47588000
128.12,483328000,329237000,154091000
129.12,483328000,240111000,243217000
130.12,483328000,209404000,273924000
131.12,483328000,207351000,275977000
132.12,483328000,179702000,303626000
133.13,483328000,179653000,303675000
134.13,483328000,183701000,299627000
135.13,483328000,245150000,238178000
136.13,483328000,283035000,200293000
137.13,483328000,304557000,178771000
138.13,483328000,332159000,151169000
139.13,483328000,298356000,184972000
140.13,483328000,202078000,281250000
141.13,483328000,202038000,281290000
142.13,483328000,177456000,305872000
143.13,483328000,315315000,168013000
144.13,483328000,435234000,48094000
145.13,483328000,274701000,208627000
146.13,483328000,152677000,330651000
147.14,483328000,298215000,185113000
148.14,483328000,435341000,47987000
149.14,483328000,278673000,204655000
150.14,483328000,435296000,48032000
151.14,483328000,424082000,59246000
152.14,483328000,434346000,48982000
153.14,483328000,299179000,184149000
154.14,483328000,225476000,257852000
155.14,483328000,434352000,48976000
156.14,483328000,425097000,58231000
157.15,483328000,429201000,54127000
158.15,483328000,422122000,61206000
159.15,483328000,435297000,48031000
160.15,483328000,326826000,156502000
161.15,483328000,155818000,327510000
162.15,483328000,278657000,204671000
163.15,483328000,428147000,55181000
164.15,483328000,282772000,200556000
165.15,483328000,424080000,59248000
166.15,483328000,231522000,251806000
167.16,483328000,355454000,127874000
168.16,483328000,299083000,184245000
169.16,483328000,274562000,208766000
170.16,483328000,256092000,227236000
171.16,483328000,250956000,232372000
172.16,483328000,259158000,224170000
173.16,483328000,232532000,250796000
174.16,483328000,413751000,69577000
175.17,483328000,252017000,231311000
176.17,483328000,354380000,128948000
177.17,483328000,179305000,304023000
178.17,483328000,378991000,104337000
179.17,483328000,193649000,289679000
180.17,483328000,339000000,144328000
181.17,483328000,191515000,291813000
182.17,483328000,366722000,116606000
183.17,483328000,171052000,312276000
184.17,483328000,341036000,142292000
185.17,483328000,171070000,312258000
186.18,483328000,336985000,146343000
187.18,483328000,169006000,314322000
188.18,483328000,401435000,81893000
189.18,483328000,255948000,227380000
190.18,483328000,391009000,92319000
191.18,483328000,435114000,48214000
192.18,483328000,169896000,313432000
193.18,483328000,238157000,245171000
194.18,483328000,299679000,183649000
195.18,483328000,311772000,171556000
196.18,483328000,381820000,101508000
197.18,483328000,372591000,110737000
198.18,483328000,380772000,102556000
199.19,483328000,434543000,48785000
200.19,483328000,164695000,318633000
201.19,483328000,273209000,210119000
202.19,483328000,317132000,166196000
203.19,483328000,353053000,130275000
204.19,483328000,433961000,49367000
205.19,483328000,168746000,314582000
206.19,483328000,181037000,302291000
207.19,483328000,236313000,247015000
208.19,483328000,272134000,211194000
209.19,483328000,346867000,136461000
210.19,483328000,340713000,142615000
211.19,483328000,350944000,132384000
212.19,483328000,387797000,95531000
213.19,483328000,369358000,113970000
214.19,483328000,390854000,92474000
215.2,483328000,167621000,315707000
216.2,483328000,184995000,298333000
217.2,483328000,426598000,56730000
218.2,483328000,185969000,297359000
219.2,483328000,300635000,182693000
220.2,483328000,365144000,118184000
221.2,483328000,405087000,78241000
222.2,483328000,384598000,98730000
223.2,483328000,418392000,64936000
224.2,483328000,219727000,263601000
225.2,483328000,204367000,278961000
226.2,483328000,420409000,62919000
227.21,483328000,397909000,85419000
228.21,483328000,367191000,116137000
229.21,483328000,221754000,261574000
230.21,483328000,285255000,198073000
231.43,483328000,336290000,147038000
