"Name","Instance Count","Size (bytes)"
"java.util.HashMap$Node",26224,839168
"java.lang.Object[]",25893,1052736
"java.lang.Long",17087,410088
"java.util.ArrayList",15768,378432
"org.zeromq.timer.ZTimer$Timer",10009,160144
"zmq.util.Timers$Timer",9993,399720
"java.lang.Integer",2568,41088
"java.lang.String",1371,32904
"byte[]",1351,1124912
"java.util.concurrent.ConcurrentHashMap$Node",862,27584
"java.nio.HeapByteBuffer",704,39424
"org.hamcrest.core.Is",673,10768
"org.zeromq.ZMQException",664,26560
"zmq.Msg",664,37184
"org.hamcrest.core.IsEqual",663,10608
"java.lang.Object",297,4752
"java.util.LinkedHashMap$Entry",266,10640
"sun.util.locale.LocaleObjectCache$CacheEntry",221,8840
"java.util.HashMap$Node[]",174,13384
"java.lang.Class[]",172,4400
"java.lang.invoke.BoundMethodHandle$Species_LL",151,6040
"java.util.LinkedHashMap",148,9472
"java.lang.ref.SoftReference",138,5520
"java.lang.Class",124,39680
"sun.util.locale.BaseLocale$Key",116,3712
"java.util.Locale",113,3616
"java.lang.invoke.MethodType",111,4440
"sun.util.locale.BaseLocale",105,3360
"jdk.internal.util.WeakReferenceKey",93,2976
"java.lang.invoke.DirectMethodHandle",79,3160
"org.apache.maven.surefire.api.util.internal.ClassMethod",77,1848
"java.util.LinkedHashMap$LinkedValues",76,1824
"jdk.proxy2.$Proxy1",72,1152
"java.lang.invoke.LambdaForm$Name",71,2272
"jdk.internal.reflect.DirectMethodHandleAccessor",67,2144
"int[]",66,6784
"sun.reflect.annotation.AnnotationInvocationHandler",66,1584
"java.security.Provider$ServiceKey",57,1368
"java.lang.String[]",52,4144
"java.nio.StringCharBuffer",47,2632
"java.math.BigInteger",45,1800
"java.util.HashMap",45,2160
"java.lang.reflect.Method[]",36,1672
"org.apache.maven.surefire.api.util.internal.ImmutableMap$Node",36,864
"java.lang.ThreadLocal$ThreadLocalMap$Entry",35,1120
"java.lang.invoke.DirectMethodHandle$Constructor",32,1536
"java.lang.invoke.BoundMethodHandle$Species_LLLL",28,1344
"java.lang.Short",26,416
"java.lang.ref.SoftReference[]",26,1888
"java.util.HashMap$EntrySet",26,416
"java.lang.Byte",25,400
"java.lang.Character$UnicodeBlock",25,400
"java.util.concurrent.locks.ReentrantLock",25,400
"java.util.concurrent.locks.ReentrantLock$NonfairSync",25,800
"char[]",24,7032
"java.lang.invoke.LambdaForm",24,1152
"java.lang.invoke.LambdaForm$Name[]",24,1144
"java.lang.reflect.Method",21,1848
