"Time [s]","Process load","System load"
0.0,0,0
1.0,13.75,42.66
2.0,13.63,33.65
3.01,6.37,28.71
4.01,3.77,30.08
5.01,1.03,17.63
6.02,1.03,20.98
7.02,0.64,22.43
8.02,0.64,17
9.03,1.3,24.25
10.03,4.42,24.47
11.03,1.16,22.45
12.03,0.39,22.63
13.04,1.03,8.3
14.04,0.26,7.91
15.05,0.64,6.35
16.05,0.9,4.02
17.05,9.86,15.56
18.05,9.88,16.78
19.06,7.39,15.82
20.06,5.32,13.77
21.06,13.01,19.77
22.06,4.29,14.58
23.06,9.11,13.54
24.07,10.63,20.36
25.07,10.03,19.4
26.07,14.24,20.2
27.08,15.07,21.96
28.08,3.89,17.77
29.08,1.81,6.62
30.09,1.56,8.05
31.09,1.42,13.73
32.1,1.8,9.33
33.1,0.91,5.96
34.1,1.55,12.5
35.11,1.17,5.05
36.11,2.72,11.67
37.12,1.56,9.98
38.12,8.06,12.36
39.12,5.44,13.6
40.12,0.38,8.56
41.13,0.91,5.19
42.13,0.12,6.74
43.13,0.65,8.7
44.14,0.51,4.66
45.14,0.39,9.48
46.15,0.64,7.13
47.15,0.52,5.32
48.15,0.77,7.15
49.15,0.52,7.01
50.16,0.25,3.76
51.16,1.68,10.11
52.16,1.03,5.32
53.17,0.25,6.62
54.17,0.52,6.87
55.18,0.9,6.49
56.18,0.26,5.85
57.18,1.29,9.07
58.18,0.64,6.76
59.19,0.65,5.98
60.19,0.9,7.13
61.19,0.65,4.4
62.2,0.51,4.15
63.2,0.9,7.26
64.21,0.65,4.8
65.21,0.38,4.15
66.21,1.56,7.26
67.21,0.64,6.11
68.22,0.78,5.05
69.22,0.78,7
70.23,1.03,4.15
71.23,8.31,11.95
72.23,8.29,12.96
73.24,8.55,13.35
74.24,0.51,5.97
75.24,0.39,6.73
76.25,1.03,7.39
77.25,1.03,4.27
78.26,0.52,5.57
79.26,0.25,6.74
80.27,0.78,4.02
81.27,1.16,8.81
82.28,0.52,7.12
83.28,1.16,7.13
84.29,1.42,7.63
85.29,0.26,5.71
86.29,0.77,4.28
87.3,0.39,5.46
88.3,0.25,5.98
89.3,0.91,3.62
90.3,0.39,7.15
91.3,0.51,5.72
92.31,0.91,4.02
93.31,8.18,15.07
94.31,12.08,18.18
95.31,11.05,12.87
96.31,11.69,17.28
97.32,12.35,18.97
98.32,11.83,17.29
99.32,12.23,16.01
100.32,10.8,16.14
101.32,5.33,12.34
102.33,1.03,4.68
103.33,0.25,6.37
104.33,1.29,8.69
105.33,3.25,10.79
106.34,1.29,10.51
107.34,1.3,8.04
108.34,1.29,6.11
109.35,6.88,16.11
110.35,6.89,14.17
111.35,0.9,3.5
112.35,2.21,9.5
113.35,11.04,18.32
114.36,10.26,17
115.36,10.13,17.04
116.36,20.14,26.63
117.36,9.98,14.91
118.37,9.59,10.88
119.37,8.57,14.28
120.37,9.49,14.17
121.37,19.25,24.45
122.38,8.69,14.52
123.38,8.31,14.94
124.38,8.07,11.45
125.39,16.21,19.06
126.39,15.96,22.06
127.39,12.84,19.08
128.4,15.19,18.95
129.4,20.56,27.21
130.4,9.62,17.67
131.41,8.15,11.52
132.41,8.46,14.71
133.41,8.57,15.46
134.41,11.97,14.45
135.41,13.89,17
136.42,8.97,14.43
137.42,10.1,15.15
138.43,9.59,11.66
139.43,9.22,14.02
140.43,9.19,15.54
141.44,11.3,18.32
142.44,8.82,17.77
143.45,15.56,22.16
144.45,18.67,24.12
145.45,20.26,25.98
146.46,17.88,30.05
147.46,17.96,36.32
148.46,16.74,22.59
149.47,18.42,26.22
150.47,21.61,29.81
151.47,17.96,25.13
152.47,19.08,24.14
153.47,17.77,27.1
154.48,18.75,27.08
155.48,18.45,24.95
156.48,19.4,28.25
157.48,18.2,26.79
158.48,18.33,23.67
159.48,17.84,24.86
160.48,18.33,29.78
161.49,18.75,23.56
162.49,19.49,38.46
163.49,18.57,31.18
164.49,17.54,25.34
165.49,17.4,22.09
166.5,17.95,26.92
167.5,18.87,30.34
168.5,18.8,35.14
169.5,18.41,39.81
170.51,20.52,42.23
171.51,20.64,37.9
172.51,19.36,40.16
173.52,18.83,43.78
174.52,18.95,37.77
175.52,17.29,35.9
176.52,18.18,25.59
177.52,18.35,28.12
178.53,18.19,25.85
179.53,20.1,28.14
180.53,16.9,25.88
181.54,16.06,23.7
182.54,22.94,30.08
183.54,10.66,18.08
184.55,8.97,12.74
185.55,10.26,13.63
186.55,10.92,16.13
187.55,9.6,13.87
188.56,9.09,15.34
189.56,8.69,15.43
190.56,8.95,12.07
191.57,9.76,14.45
192.57,9.89,15.6
193.57,9.32,14.64
194.58,8.69,13.48
195.58,8.82,13.75
196.58,11.31,18.71
197.58,8.59,10.8
198.59,8.71,13.91
199.59,9.45,15.54
200.59,8.45,11.44
201.59,7.67,13
202.59,8.45,14.45
203.6,8.83,12.07
204.6,8.95,13.24
205.61,9.08,15.44
206.61,8.58,13.78
207.61,9.5,30.34
208.61,14.05,36.71
209.61,11.05,33.04
210.61,14.94,36.64
211.62,8.94,28.91
212.62,9.6,29.96
213.62,8.03,22.43
214.63,9.08,29.05
215.63,8.69,32.32
216.64,8.82,24.92
217.64,10,28.55
218.64,8.82,30.11
219.64,8.71,26.27
220.65,9.2,27.1
221.65,8.3,29.18
222.65,11.2,28.77
223.68,12.82,36.27
