"Time [s]","Committed size","Free size","Used size"
0.0,258048000,249188000,8860000
1.01,258048000,235601000,22447000
2.01,258048000,247093000,10955000
3.02,258048000,244350000,13698000
4.02,258048000,242951000,15097000
5.02,258048000,242787000,15261000
6.02,258048000,209531000,48517000
7.03,258048000,159885000,98163000
8.03,258048000,159885000,98163000
9.03,258048000,159721000,98327000
10.04,258048000,157227000,100821000
11.04,258048000,157145000,100903000
12.04,258048000,157145000,100903000
13.05,258048000,157145000,100903000
14.05,258048000,157145000,100903000
15.05,258048000,156117000,101931000
16.05,28672000,13507000,15165000
17.06,30720000,20968000,9752000
18.06,30720000,10143000,20577000
19.06,145408000,137352000,8056000
20.07,145408000,109996000,35412000
21.07,145408000,101387000,44021000
22.08,145408000,71022000,74386000
23.08,145408000,73778000,71630000
24.08,145408000,138157000,7251000
25.08,145408000,117070000,28338000
26.08,145408000,70938000,74470000
27.09,145408000,65722000,79686000
28.09,145408000,59578000,85830000
29.09,145408000,136762000,8646000
30.1,145408000,129947000,15461000
31.1,145408000,123536000,21872000
32.1,145408000,117626000,27782000
33.11,145408000,111482000,33926000
34.11,145408000,105753000,39655000
35.12,145408000,101592000,43816000
36.12,145408000,99359000,46049000
37.12,145408000,91390000,54018000
38.13,145408000,74295000,71113000
39.13,145408000,74295000,71113000
40.13,145408000,73940000,71468000
41.13,145408000,73935000,71473000
42.14,145408000,73935000,71473000
43.14,145408000,73935000,71473000
44.14,145408000,73935000,71473000
45.14,145408000,73935000,71473000
46.15,145408000,73930000,71478000
47.15,145408000,73930000,71478000
48.15,145408000,73930000,71478000
49.16,145408000,73930000,71478000
50.16,145408000,73553000,71855000
51.16,145408000,73553000,71855000
52.17,145408000,73553000,71855000
53.17,145408000,73548000,71860000
54.17,145408000,73362000,72046000
55.18,145408000,73362000,72046000
56.18,145408000,73362000,72046000
57.19,145408000,73362000,72046000
58.19,145408000,73357000,72051000
59.19,145408000,73357000,72051000
60.2,145408000,73357000,72051000
61.2,145408000,73357000,72051000
62.2,145408000,73165000,72243000
63.2,145408000,73165000,72243000
64.21,145408000,73165000,72243000
65.21,145408000,73165000,72243000
66.21,145408000,73165000,72243000
67.21,145408000,73161000,72247000
68.22,145408000,73161000,72247000
69.22,145408000,73161000,72247000
70.23,145408000,136361000,9047000
71.23,145408000,86216000,59192000
72.23,145408000,116923000,28485000
73.23,145408000,116923000,28485000
74.23,145408000,116920000,28488000
75.23,145408000,116920000,28488000
76.24,145408000,116918000,28490000
77.24,145408000,116918000,28490000
78.24,145408000,116915000,28493000
79.25,145408000,116915000,28493000
80.25,145408000,116682000,28726000
81.26,145408000,116682000,28726000
82.26,145408000,116679000,28729000
83.26,145408000,116679000,28729000
84.26,145408000,116665000,28743000
85.27,145408000,116105000,29303000
86.27,145408000,116103000,29305000
87.27,145408000,116103000,29305000
88.27,145408000,116100000,29308000
89.28,145408000,116100000,29308000
90.28,145408000,116100000,29308000
91.28,145408000,116098000,29310000
92.29,145408000,135317000,10091000
93.29,145408000,129419000,15989000
94.29,145408000,90164000,55244000
95.3,145408000,84919000,60489000
96.3,145408000,108967000,36441000
97.31,145408000,78586000,66822000
98.31,145408000,131113000,14295000
99.31,145408000,96933000,48475000
100.31,145408000,85306000,60102000
101.32,145408000,85306000,60102000
102.32,145408000,85300000,60108000
103.32,145408000,77363000,68045000
104.33,145408000,68588000,76820000
105.33,145408000,65961000,79447000
106.33,145408000,63655000,81753000
107.33,145408000,61483000,83925000
108.34,145408000,101279000,44129000
109.34,145408000,136498000,8910000
110.34,145408000,134775000,10633000
111.35,145408000,131050000,14358000
112.35,145408000,100669000,44739000
113.35,145408000,136089000,9319000
114.35,176128000,139915000,36213000
115.35,227328000,161868000,65460000
116.35,337920000,245536000,92384000
117.36,405504000,239248000,166256000
118.36,487424000,397127000,90297000
119.36,487424000,400291000,87133000
120.37,487424000,428883000,58541000
121.37,487424000,430895000,56529000
122.37,487424000,373596000,113828000
123.37,487424000,322397000,165027000
124.38,487424000,413452000,73972000
125.38,487424000,235278000,252146000
126.38,487424000,315148000,172276000
127.39,487424000,436000000,51424000
128.4,487424000,315111000,172313000
129.4,487424000,320244000,167180000
130.4,487424000,309993000,177431000
131.41,487424000,187107000,300317000
132.41,487424000,222956000,264468000
133.41,487424000,284306000,203118000
134.41,487424000,339584000,147840000
135.41,487424000,355955000,131469000
136.41,487424000,440919000,46505000
137.42,487424000,186981000,300443000
138.42,487424000,171604000,315820000
139.42,487424000,204413000,283011000
140.42,487424000,292381000,195043000
141.42,487424000,302566000,184858000
142.43,487424000,417486000,69938000
143.43,487424000,273775000,213649000
144.43,487424000,424427000,62997000
145.44,487424000,306655000,180769000
146.44,487424000,431568000,55856000
147.44,487424000,226785000,260639000
148.45,487424000,347607000,139817000
149.45,487424000,170405000,317019000
150.45,487424000,338363000,149061000
151.45,487424000,431524000,55900000
152.46,487424000,255392000,232032000
153.46,487424000,427402000,60022000
154.47,487424000,243094000,244330000
155.47,487424000,360817000,126607000
156.47,487424000,200076000,287348000
157.47,487424000,327032000,160392000
158.47,487424000,440663000,46761000
159.48,487424000,296335000,191089000
160.48,487424000,440663000,46761000
161.48,487424000,257333000,230091000
162.48,487424000,423295000,64129000
163.49,487424000,262488000,224936000
164.49,487424000,440155000,47269000
165.49,487424000,313735000,173689000
166.5,487424000,166269000,321155000
167.5,487424000,301406000,186018000
